"fullName","submittedname","acceptedname","sourceid","score","matchedname","authority","uri","phylum","order","country"
"Portulaca oleracea L.","Portulaca oleracea","Portulaca oleracea","iPlant_TNRS","1","Portulaca oleracea","L.","http://www.tropicos.org/Name/26200154","Tracheophyta","Caryophyllales","IO"
"Portulaca pilosa L.","Portulaca pilosa","Portulaca pilosa","iPlant_TNRS","1","Portulaca pilosa","L.","http://www.tropicos.org/Name/26200157",NA,NA,NA
"Portulaca quadrifida L.","Portulaca quadrifida","Portulaca quadrifida","iPlant_TNRS","1","Portulaca quadrifida","L.","http://www.tropicos.org/Name/26200158",NA,NA,NA
"Potamogeton nodosus Poir.","Potamogeton nodosus","Potamogeton nodosus","iPlant_TNRS","1","Potamogeton nodosus","Poir.","http://www.tropicos.org/Name/26300071",NA,NA,NA
"Prosopis juliflora (Sw.) DC.","Prosopis juliflora","Prosopis juliflora","iPlant_TNRS","1","Prosopis juliflora","(Sw.) DC.","http://www.tropicos.org/Name/13032104",NA,NA,NA
"Prunus cerasifera Ehrh.","Prunus cerasifera","Prunus cerasifera","iPlant_TNRS","1","Prunus cerasifera","Ehrh.","http://www.tropicos.org/Name/27801090",NA,NA,NA
"Psidium guajava L.","Psidium guajava","Psidium guajava","iPlant_TNRS","1","Psidium guajava","L.","http://www.tropicos.org/Name/22101794",NA,NA,NA
"Punica granatum L.","Punica granatum","Punica granatum","iPlant_TNRS","1","Punica granatum","L.","http://www.tropicos.org/Name/26700001",NA,NA,NA
"Rubus rosifolius Sm.","Rubus rosifolius","Rubus rosifolius","iPlant_TNRS","1","Rubus rosifolius","Sm.","http://www.tropicos.org/Name/27803565",NA,NA,NA
"Ruellia tuberosa L.","Ruellia tuberosa","Ruellia tuberosa","iPlant_TNRS","1","Ruellia tuberosa","L.","http://www.tropicos.org/Name/103304",NA,NA,NA
"Russelia equisetiformis Schltdl. & Cham.","Russelia equisetiformis","Russelia equisetiformis","iPlant_TNRS","1","Russelia equisetiformis","Schltdl. & Cham.","http://www.tropicos.org/Name/29200201",NA,NA,NA
"Russelia equisetiformis Schltdl. & Cham.","Russelia equisetiformis","Russelia equisetiformis","iPlant_TNRS","1","Russelia equisetiformis","Schltdl. & Cham.","http://www.tropicos.org/Name/29200201",NA,NA,NA
"Sansevieria hyacinthoides (L.) Druce","Sansevieria hyacinthoides","Sansevieria hyacinthoides","iPlant_TNRS","1","Sansevieria hyacinthoides","(L.) Druce","http://www.tropicos.org/Name/18403241",NA,NA,NA
"Scaevola taccada (Gaertn.) Roxb.","Scaevola taccada","Scaevola taccada","iPlant_TNRS","1","Scaevola taccada","(Gaertn.) Roxb.","http://www.tropicos.org/Name/14600012",NA,NA,NA
"Schefflera actinophylla (Endl.) Harms","Schefflera actinophylla","Schefflera actinophylla","iPlant_TNRS","1","Schefflera actinophylla","(Endl.) Harms","http://www.tropicos.org/Name/2200870",NA,NA,NA
"Schefflera arboricola (Hayata) Merr.","Schefflera arboricola","Schefflera arboricola","iPlant_TNRS","1","Schefflera arboricola","(Hayata) Merr.","http://www.tropicos.org/Name/50309415",NA,NA,NA
"Schinus terebinthifolius Raddi","Schinus terebinthifolius","Schinus terebinthifolius","iPlant_TNRS","1","Schinus terebinthifolius","Raddi","http://www.tropicos.org/Name/100350086",NA,NA,NA
"Setaria barbata (Lam.) Kunth","Setaria barbata","Setaria barbata","iPlant_TNRS","1","Setaria barbata","(Lam.) Kunth","http://www.tropicos.org/Name/25512490",NA,NA,NA
"Sida rhombifolia L.","Sida rhombifolia","Sida rhombifolia","iPlant_TNRS","1","Sida rhombifolia","L.","http://www.tropicos.org/Name/19601093","Tracheophyta","Malvales","IO"
"Sida spinosa L.","Sida spinosa","Sida spinosa","iPlant_TNRS","1","Sida spinosa","L.","http://www.tropicos.org/Name/19600106","Tracheophyta","Malvales","IO"
"Sigesbeckia orientalis L.","Sigesbeckia orientalis","Sigesbeckia orientalis","iPlant_TNRS","1","Sigesbeckia orientalis","L.","http://www.tropicos.org/Name/2703241",NA,NA,NA
"Solanum americanum Mill.","Solanum americanum","Solanum americanum","iPlant_TNRS","1","Solanum americanum","Mill.","http://www.tropicos.org/Name/29600095","Tracheophyta","Solanales","IO"
"Solanum dulcamara L.","Solanum dulcamara","Solanum dulcamara","iPlant_TNRS","1","Solanum dulcamara","L.","http://www.tropicos.org/Name/29600249",NA,NA,NA
"Solanum torvum Sw.","Solanum torvum","Solanum torvum","iPlant_TNRS","1","Solanum torvum","Sw.","http://www.tropicos.org/Name/29600147",NA,NA,NA
"Solanum torvum Sw.","Solanum torvum","Solanum torvum","iPlant_TNRS","1","Solanum torvum","Sw.","http://www.tropicos.org/Name/29600147",NA,NA,NA
"Solanum tuberosum L.","Solanum tuberosum","Solanum tuberosum","iPlant_TNRS","1","Solanum tuberosum","L.","http://www.tropicos.org/Name/29600334",NA,NA,NA
"Sorghum arundinaceum (Desv.) Stapf","Sorghum arundinaceum","Sorghum arundinaceum","iPlant_TNRS","1","Sorghum arundinaceum","(Desv.) Stapf","http://www.tropicos.org/Name/25511509",NA,NA,NA
"Sorghum bicolor (L.) Moench","Sorghum bicolor","Sorghum bicolor","iPlant_TNRS","1","Sorghum bicolor","(L.) Moench","http://www.tropicos.org/Name/25513454",NA,NA,NA
"Sphaerostephanos unitus (L.) Holttum","Sphaerostephanos unitus","Sphaerostephanos unitus","iPlant_TNRS","1","Sphaerostephanos unitus","(L.) Holttum","http://www.tropicos.org/Name/26610181",NA,NA,NA
"Sphagneticola trilobata (L.) Pruski","Sphagneticola trilobata","Sphagneticola trilobata","iPlant_TNRS","1","Sphagneticola trilobata","(L.) Pruski","http://www.tropicos.org/Name/2743714",NA,NA,NA
"Syngonium podophyllum Schott","Syngonium podophyllum","Syngonium podophyllum","iPlant_TNRS","1","Syngonium podophyllum","Schott","http://www.tropicos.org/Name/2104505",NA,NA,NA
"Syngonium podophyllum Schott","Syngonium podophyllum","Syngonium podophyllum","iPlant_TNRS","1","Syngonium podophyllum","Schott","http://www.tropicos.org/Name/2104505",NA,NA,NA
"Syzygium cumini (L.) Skeels","Syzygium cumini","Syzygium cumini","iPlant_TNRS","1","Syzygium cumini","(L.) Skeels","http://www.tropicos.org/Name/22102113",NA,NA,NA
"Syzygium jambos (L.) Alston","Syzygium jambos","Syzygium jambos","iPlant_TNRS","1","Syzygium jambos","(L.) Alston","http://www.tropicos.org/Name/22101929",NA,NA,NA
"Tecoma stans (L.) Juss. ex Kunth","Tecoma stans","Tecoma stans","iPlant_TNRS","1","Tecoma stans","(L.) Juss. ex Kunth","http://www.tropicos.org/Name/3700024",NA,NA,NA
"Tephrosia purpurea (L.) Pers.","Tephrosia purpurea","Tephrosia purpurea","iPlant_TNRS","1","Tephrosia purpurea","(L.) Pers.","http://www.tropicos.org/Name/13033548",NA,NA,NA
"Thunbergia grandiflora Roxb.","Thunbergia grandiflora","Thunbergia grandiflora","iPlant_TNRS","1","Thunbergia grandiflora","Roxb.","http://www.tropicos.org/Name/100139",NA,NA,NA
"Thunbergia grandiflora Roxb.","Thunbergia grandiflora","Thunbergia grandiflora","iPlant_TNRS","1","Thunbergia grandiflora","Roxb.","http://www.tropicos.org/Name/100139",NA,NA,NA
"Tribulus cistoides L.","Tribulus cistoides","Tribulus cistoides","iPlant_TNRS","1","Tribulus cistoides","L.","http://www.tropicos.org/Name/34600034",NA,NA,NA
"Triumfetta rhomboidea Jacq.","Triumfetta rhomboidea","Triumfetta rhomboidea","iPlant_TNRS","1","Triumfetta rhomboidea","Jacq.","http://www.tropicos.org/Name/32200033",NA,NA,NA
"Typha angustifolia L.","Typha angustifolia","Typha angustifolia","iPlant_TNRS","1","Typha angustifolia","L.","http://www.tropicos.org/Name/33200001",NA,NA,NA
"Urena lobata L.","Urena lobata","Urena lobata","iPlant_TNRS","1","Urena lobata","L.","http://www.tropicos.org/Name/19600119",NA,NA,NA
"Urtica dioica L.","Urtica dioica","Urtica dioica","iPlant_TNRS","1","Urtica dioica","L.","http://www.tropicos.org/Name/33400020",NA,NA,NA
"Vigna marina (Burm.) Merr.","Vigna marina","Vigna marina","iPlant_TNRS","1","Vigna marina","(Burm.) Merr.","http://www.tropicos.org/Name/13040425","Tracheophyta","Fabales","IO"
"Vigna trilobata (L.) Verdc.","Vigna trilobata","Vigna trilobata","iPlant_TNRS","1","Vigna trilobata","(L.) Verdc.","http://www.tropicos.org/Name/13040520",NA,NA,NA
"Vigna unguiculata (L.) Walp.","Vigna unguiculata","Vigna unguiculata","iPlant_TNRS","1","Vigna unguiculata","(L.) Walp.","http://www.tropicos.org/Name/13035198",NA,NA,NA
"Vitex trifolia L.","Vitex trifolia","Vitex trifolia","iPlant_TNRS","1","Vitex trifolia","L.","http://www.tropicos.org/Name/33700719",NA,NA,NA
"Youngia japonica (L.) DC.","Youngia japonica","Youngia japonica","iPlant_TNRS","1","Youngia japonica","(L.) DC.","http://www.tropicos.org/Name/2703490",NA,NA,NA
"Zea mays L.","Zea mays","Zea mays","iPlant_TNRS","1","Zea mays","L.","http://www.tropicos.org/Name/25510055",NA,NA,NA
"Zephyranthes candida (Lindl.) Herb.","Zephyranthes candida","Zephyranthes candida","iPlant_TNRS","1","Zephyranthes candida","(Lindl.) Herb.","http://www.tropicos.org/Name/1200064",NA,NA,NA
"Zostera marina L.","Zostera marina","Zostera marina","iPlant_TNRS","1","Zostera marina","L.","http://www.tropicos.org/Name/26300137",NA,NA,NA
