"fullName","submittedname","acceptedname","sourceid","score","matchedname","authority","uri","phylum","order","country"
"Carica papaya L.","Carica papaya","Carica papaya","iPlant_TNRS","1","Carica papaya","L.","http://www.tropicos.org/Name/6100032",NA,NA,NA
"Cascabela thevetia (L.) Lippold","Cascabela thevetia","Cascabela thevetia","iPlant_TNRS","1","Cascabela thevetia","(L.) Lippold","http://www.tropicos.org/Name/1806031",NA,NA,NA
"Cassia fistula L.","Cassia fistula","Cassia fistula","iPlant_TNRS","1","Cassia fistula","L.","http://www.tropicos.org/Name/13028064",NA,NA,NA
"Casuarina equisetifolia L.","Casuarina equisetifolia","Casuarina equisetifolia","iPlant_TNRS","1","Casuarina equisetifolia","L.","http://www.tropicos.org/Name/6400006",NA,NA,NA
"Celosia argentea L.","Celosia argentea","Celosia argentea","iPlant_TNRS","1","Celosia argentea","L.","http://www.tropicos.org/Name/1100326",NA,NA,NA
"Centrosema pubescens Benth.","Centrosema pubescens","Centrosema pubescens","iPlant_TNRS","1","Centrosema pubescens","Benth.","http://www.tropicos.org/Name/13008071",NA,NA,NA
"Ceratopteris thalictroides (L.) Brongn.","Ceratopteris thalictroides","Ceratopteris thalictroides","iPlant_TNRS","1","Ceratopteris thalictroides","(L.) Brongn.","http://www.tropicos.org/Name/26600076",NA,NA,NA
"Cladium mariscus (L.) Pohl","Cladium mariscus","Cladium mariscus","iPlant_TNRS","1","Cladium mariscus","(L.) Pohl","http://www.tropicos.org/Name/9910517",NA,NA,NA
"Clitoria ternatea L.","Clitoria ternatea","Clitoria ternatea","iPlant_TNRS","1","Clitoria ternatea","L.","http://www.tropicos.org/Name/13028697",NA,NA,NA
"Cocos nucifera L.","Cocos nucifera","Cocos nucifera","iPlant_TNRS","1","Cocos nucifera","L.","http://www.tropicos.org/Name/2400007",NA,NA,NA
"Coffea arabica L.","Coffea arabica","Coffea arabica","iPlant_TNRS","1","Coffea arabica","L.","http://www.tropicos.org/Name/27900016",NA,NA,NA
"Colocasia esculenta (L.) Schott","Colocasia esculenta","Colocasia esculenta","iPlant_TNRS","1","Colocasia esculenta","(L.) Schott","http://www.tropicos.org/Name/2102373",NA,NA,NA
"Colubrina asiatica (L.) Brongn.","Colubrina asiatica","Colubrina asiatica","iPlant_TNRS","1","Colubrina asiatica","(L.) Brongn.","http://www.tropicos.org/Name/27500303",NA,NA,NA
"Colubrina asiatica (L.) Brongn.","Colubrina asiatica","Colubrina asiatica","iPlant_TNRS","1","Colubrina asiatica","(L.) Brongn.","http://www.tropicos.org/Name/27500303",NA,NA,NA
"Cordia sebestena L.","Cordia sebestena","Cordia sebestena","iPlant_TNRS","1","Cordia sebestena","L.","http://www.tropicos.org/Name/4000805",NA,NA,NA
"Cordia subcordata Lam.","Cordia subcordata","Cordia subcordata","iPlant_TNRS","1","Cordia subcordata","Lam.","http://www.tropicos.org/Name/4000807",NA,NA,NA
"Crotalaria retusa L.","Crotalaria retusa","Crotalaria retusa","iPlant_TNRS","1","Crotalaria retusa","L.","http://www.tropicos.org/Name/13029476",NA,NA,NA
"Cryptostegia grandiflora R. Br.","Cryptostegia grandiflora","Cryptostegia grandiflora","iPlant_TNRS","1","Cryptostegia grandiflora","R. Br.","http://www.tropicos.org/Name/2600099",NA,NA,NA
"Cucumis anguria L.","Cucumis anguria","Cucumis anguria","iPlant_TNRS","1","Cucumis anguria","L.","http://www.tropicos.org/Name/9200598",NA,NA,NA
"Cucumis melo L.","Cucumis melo","Cucumis melo","iPlant_TNRS","1","Cucumis melo","L.","http://www.tropicos.org/Name/9200439","Tracheophyta","Cucurbitales","IO"
"Cyperus articulatus L.","Cyperus articulatus","Cyperus articulatus","iPlant_TNRS","1","Cyperus articulatus","L.","http://www.tropicos.org/Name/9901131",NA,NA,NA
"Cyperus flavidus Retz.","Cyperus flavidus","Cyperus flavidus","iPlant_TNRS","1","Cyperus flavidus","Retz.","http://www.tropicos.org/Name/9904147",NA,NA,NA
"Cyperus haspan L.","Cyperus haspan","Cyperus haspan","iPlant_TNRS","1","Cyperus haspan","L.","http://www.tropicos.org/Name/9901041",NA,NA,NA
"Cyperus involucratus Rottb.","Cyperus involucratus","Cyperus involucratus","iPlant_TNRS","1","Cyperus involucratus","Rottb.","http://www.tropicos.org/Name/9904832",NA,NA,NA
"Cyperus odoratus L.","Cyperus odoratus","Cyperus odoratus","iPlant_TNRS","1","Cyperus odoratus","L.","http://www.tropicos.org/Name/9901831",NA,NA,NA
"Cyrtomium falcatum (L. f.) C. Presl","Cyrtomium falcatum","Cyrtomium falcatum","iPlant_TNRS","1","Cyrtomium falcatum","(L. f.) C. Presl","http://www.tropicos.org/Name/26602768",NA,NA,NA
"Cyrtomium falcatum (L. f.) C. Presl","Cyrtomium falcatum","Cyrtomium falcatum","iPlant_TNRS","1","Cyrtomium falcatum","(L. f.) C. Presl","http://www.tropicos.org/Name/26602768",NA,NA,NA
"Dactyloctenium aegyptium (L.) Willd.","Dactyloctenium aegyptium","Dactyloctenium aegyptium","iPlant_TNRS","1","Dactyloctenium aegyptium","(L.) Willd.","http://www.tropicos.org/Name/25513580",NA,NA,NA
"Datura metel L.","Datura metel","Datura metel","iPlant_TNRS","1","Datura metel","L.","http://www.tropicos.org/Name/29600006",NA,NA,NA
