"","name","source","Af","Am","As","Aw","Any_A","Cfa","Cfb","Cs","Cw","Notes","TNRSacceptedname","new"
"109","Heimia salicifolia","EULongList",NA,NA,NA,1,1,1,NA,1,1,"",NA,NA
"111","Heliotropium curassavicum","CyprusLongList",1,NA,NA,1,1,1,NA,1,NA,"",NA,NA
"113","Hibiscus mutabilis","EULongList",1,1,1,1,1,1,NA,1,1,"",NA,NA
"114","Homalanthus populifolius","EULongList",1,NA,NA,1,1,1,1,NA,NA,"","Homalanthus populifolius","Y"
"116","Hydrilla verticillata","EULongList",1,NA,NA,1,1,1,1,NA,1,"",NA,NA
"117","Hypericum hypericoides","EULongList",1,NA,NA,1,1,1,NA,NA,NA,"","Hypericum hypericoides","Y"
"121","Imperata cylindrica","EULongList",1,NA,NA,1,1,1,1,1,1,"","Imperata cylindrica","Y"
"122","Iris japonica","EULongList",1,NA,NA,NA,1,1,1,1,1,"*Few af records; botanical gardens at higher alts?","Iris japonica","Y"
"123","Jasminum simplicifolium","EULongList",NA,NA,NA,1,1,1,NA,NA,NA,"","Jasminum simplicifolium","Y"
"125","Kummerowia striata","EULongList",1,NA,NA,1,1,1,NA,1,1,"* from Hawaii","Kummerowia striata","Y"
"127","Leonurus sibiricus","EULongList",1,NA,NA,1,1,1,1,1,1,"","Leonurus japonicus","Y"
"129","Lespedeza cuneata","CyprusLongList",1,NA,NA,1,1,1,1,NA,1,"Lespedeza cuneata; *only tropical record is from Hawaii","Lespedeza cuneata","Y"
"130","Leucaena leucocephala","EULongList",1,1,1,1,1,1,NA,1,1,"",NA,NA
"131","Leucophyllum frutescens","EULongList",1,NA,1,1,1,1,NA,1,NA,"","Leucophyllum frutescens","Y"
"138","Limnobium spongia","CyprusLongList",1,NA,NA,1,1,1,NA,1,NA,"*not many tropical records","Limnobium spongia","Y"
"139","Lindernia dubia","CyprusLongList",NA,1,NA,NA,1,1,1,1,NA,"","Lindernia dubia","Y"
"140","Liriope muscari","EULongList",1,NA,NA,NA,1,1,NA,NA,1,"","Liriope muscari","Y"
"143","Lobelia cardinalis","EULongList",NA,NA,NA,1,1,1,1,NA,NA,"*Mexico only",NA,NA
"148","Lophostemon confertus","EULongList",NA,NA,NA,1,1,1,1,NA,NA,"","Lophostemon confertus","Y"
"149","Ludwigia peploides","CyprusLongList",1,NA,NA,1,1,1,1,1,NA,"","Ludwigia peploides","Y"
"153","Lygodium japonicum","CyprusLongList",NA,1,NA,NA,1,1,NA,NA,1,"",NA,NA
"159","Mallotus philippensis","EULongList",1,1,NA,NA,1,1,NA,NA,1,"","Mallotus philippensis","Y"
"160","Melaleuca quinquenervia","EULongList",1,NA,NA,1,1,1,NA,1,1,"",NA,NA
"162","Micranthemum umbrosum","EULongList",1,NA,NA,1,1,1,NA,NA,1,"","Micranthemum umbrosum","Y"
"163","Microstegium vimineum","CyprusLongList",1,NA,NA,NA,1,1,NA,NA,NA,"*only A Panama Isthmus",NA,NA
"168","Myriophyllum aquaticum","CyprusLongList",1,1,NA,NA,1,1,1,1,NA,"","Myriophyllum aquaticum","Y"
"169","Myriophyllum heterophyllum","CyprusLongList",NA,1,NA,NA,1,1,1,1,1,"",NA,NA
"171","Nasella trichotoma","EU_GB_combined",1,1,NA,1,1,1,1,1,NA,"",NA,NA
"175","Nymphaea odorata","EULongList",1,1,NA,NA,1,1,1,1,1,"",NA,NA
"176","Nymphaea odorata tuberosa","EULongList",1,1,NA,NA,1,1,1,1,1,"","Nymphaea odorata subsp. tuberosa","Y"
"177","Oenothera rosea","CyprusLongList",1,NA,NA,1,1,1,NA,1,1,"*Uncertain, in Mexico and N S Amer.","Oenothera rosea","Y"
"178","Opuntia dillenii","CyprusLongList",1,NA,1,1,1,1,NA,1,NA,"","Opuntia dillenii","Y"
"180","Opuntia humifusa","EULongList",1,NA,NA,1,1,1,1,1,1,"","Opuntia humifusa","Y"
"181","Opuntia maxima","CyprusLongList",1,NA,NA,1,1,1,1,1,1,"Opuntia maxima","Opuntia maxima","Y"
"182","Opuntia monacantha","CyprusLongList",NA,NA,NA,1,1,1,NA,1,1,"","Opuntia monacantha","Y"
"183","Opuntia phaeacantha","CyprusLongList",NA,NA,NA,1,1,1,1,1,1,"",NA,NA
"184","Opuntia stricta","CyprusLongList",1,NA,1,1,1,1,NA,1,NA,"",NA,NA
"186","Oxalis debilis","CyprusLongList",1,1,NA,1,1,1,1,1,NA,"*Most records not in tropics",NA,NA
"187","Parochetus communis","EULongList",NA,1,NA,NA,1,1,NA,NA,1,"","Parochetus communis","Y"
"189","Paspalum urvillei","CyprusLongList",1,1,NA,1,1,1,NA,1,NA,"*Few records from tropics",NA,NA
"190","Passiflora tarminiana","EULongList",1,1,NA,1,1,1,1,1,NA,"","Passiflora tarminiana","Y"
"191","Passiflora tripartita","EULongList",1,NA,NA,NA,1,1,1,NA,1,"","Passiflora tripartita","Y"
"194","Pennisetum setaceum","CyprusLongList",1,NA,NA,1,1,1,1,1,1,"*only in S germany",NA,NA
"197","Phyllostachys aurea","CyprusLongList",NA,1,NA,1,1,1,1,1,NA,"","Phyllostachys bambusoides","Y"
"200","Pinus patula","CyprusLongList",1,NA,NA,1,1,NA,NA,1,1,"","Pinus patula","Y"
"201","Pistia stratiotes","CyprusLongList",1,1,1,1,1,1,1,1,NA,"",NA,NA
"206","Portulaca grandiflora","CyprusLongList",NA,1,1,1,1,1,1,1,1,"",NA,NA
"207","Prosopis juliflora","CyprusLongList",NA,1,1,1,1,NA,NA,NA,NA,"",NA,NA
"208","Prunus campanulata","CyprusLongList",1,NA,NA,1,1,1,NA,NA,NA,"*Hawaii only, possibly philippines","Cerasus campanulata","Y"
"210","Pseudosasa japonica","EULongList",1,NA,NA,NA,1,1,1,1,NA,"*only 1 case in mexico","Pseudosasa japonica","Y"
"211","Pueraria montana","EULongList",1,NA,NA,1,1,1,1,1,1,"",NA,NA
"212","Pueraria montana var. lobata","CyprusLongList",1,NA,NA,1,1,1,1,1,1,"","Pueraria montana var. lobata","Y"
"213","Pyracantha angustifolia","CyprusLongList",1,NA,NA,1,1,1,NA,1,1,"","Pyracantha angustifolia","Y"
"214","Pyracantha koidzumii","EULongList",1,NA,NA,1,1,1,NA,1,NA,"",NA,NA
"215","Rhaphiolepis indica","EULongList",NA,NA,NA,1,1,1,NA,1,1,"","Rhaphiolepis indica","Y"
"220","Rubus rosifolius","CyprusLongList",1,1,NA,1,1,1,1,NA,1,"",NA,NA
"221","Sagittaria montevidensis","EULongList",NA,1,NA,1,1,1,NA,1,1,"",NA,NA
"222","Salix nigra","EULongList",NA,NA,NA,1,1,1,1,1,NA,"","Salix nigra","Y"
"223","Salvinia molesta","CyprusLongList",1,NA,NA,1,1,1,1,1,NA,"","Salvinia molesta","Y"
"229","Senna obtusifolia","CyprusLongList",1,1,1,1,1,1,NA,NA,NA,"","Senna obtusifolia","Y"
"238","Sorghum halepense ","EULongList",NA,NA,NA,1,1,1,1,1,NA,"Sorghum halepense ",NA,NA
"239","Spartina alterniflora","EULongList",1,1,NA,NA,1,1,1,1,NA,"",NA,NA
"240","Sphagneticola trilobata","CyprusLongList",1,1,1,1,1,1,NA,1,NA,"Sphagneticola trilobata",NA,NA
"245","Sporobolus indicus","CyprusLongList",1,1,1,1,1,1,1,NA,NA,"","Sporobolus indicus","Y"
"250","Syagrus romanzoffiana","EULongList",1,NA,NA,1,1,1,NA,1,NA,"",NA,NA
"252","Teline monspeliensis","CyprusLongList",1,NA,NA,1,1,1,1,1,1,"","Genista monspessulana","Y"
"253","Tillandsia usneoides","EULongList",1,1,1,1,1,1,NA,NA,NA,"","Tillandsia usneoides","Y"
