"scientificName","order","matchedname","authority","country_at_risk"
"Fagopyrum esculentum Moench","Caryophyllales","Fagopyrum esculentum","Moench","TC"
"Fuchsia magellanica Lam.","Myrtales","Fuchsia magellanica","Lam.","TC"
"Guettarda speciosa L.","Gentianales","Guettarda speciosa","L.","TC"
"Hedychium coccineum Buch.-Ham. ex Sm.","Zingiberales","Hedychium coccineum","Buch.-Ham. ex Sm.","TC"
"Heimia salicifolia Link","Myrtales","Heimia salicifolia","Link","TC"
"Helianthus tuberosus L.","Asterales","Helianthus tuberosus","L.","TC"
"Hibiscus trionum L.","Malvales","Hibiscus trionum","L.","TC"
"Hydrolea spinosa L.","Solanales","Hydrolea spinosa","L.","TC"
"Hylocereus undatus (Haw.) Britton & Rose","Caryophyllales","Hylocereus undatus","(Haw.) Britton & Rose","TC"
"Hypochaeris glabra L.","Asterales","Hypochaeris glabra","L.","TC"
"Hypochaeris radicata L.","Asterales","Hypochaeris radicata","L.","TC"
"Hyptis brevipes Poit.","Lamiales","Hyptis brevipes","Poit.","TC"
"Indigofera spicata Forssk.","Fabales","Indigofera spicata","Forssk.","TC"
"Ipomoea aquatica Forssk.","Solanales","Ipomoea aquatica","Forssk.","TC"
"Ipomoea purpurea (L.) Roth","Solanales","Ipomoea purpurea","(L.) Roth","TC"
"Jasione montana L.","Asterales","Jasione montana","L.","TC"
"Jasminum sambac (L.) Aiton","Lamiales","Jasminum sambac","(L.) Aiton","TC"
"Juncus bufonius L.","Magnoliales","Juncus bufonius","L.","TC"
"Juncus tenuis Willd.","Magnoliales","Juncus tenuis","Willd.","TC"
"Juniperus virginiana L.","Pinales","Juniperus virginiana","L.","TC"
"Lamium amplexicaule L.","Lamiales","Lamium amplexicaule","L.","TC"
"Lathyrus pratensis L.","Fabales","Lathyrus pratensis","L.","TC"
"Lemna minor L.","Alismatales","Lemna minor","L.","TC"
"Lemna perpusilla Torr.","Alismatales","Lemna perpusilla","Torr.","TC"
"Lobelia laxiflora Kunth","Asterales","Lobelia laxiflora","Kunth","TC"
"Lolium temulentum L.","Poales","Lolium temulentum","L.","TC"
"Lygodium japonicum (Thunb.) Sw.","Schizaeales","Lygodium japonicum","(Thunb.) Sw.","TC"
"Magnolia virginiana L.","Magnoliales","Magnolia virginiana","L.","TC"
"Melastoma malabathricum L.","Myrtales","Melastoma malabathricum","L.","TC"
"Mentha pulegium L.","Lamiales","Mentha pulegium","L.","TC"
"Mentha suaveolens Ehrh.","Lamiales","Mentha suaveolens","Ehrh.","TC"
"Miconia calvescens DC.","Myrtales","Miconia calvescens","DC.","TC"
"Mimosa pigra L.","Fabales","Mimosa pigra","L.","TC"
"Morus alba L.","Rosales","Morus alba","L.","TC"
"Murdannia nudiflora (L.) Brenan","Commelinales","Murdannia nudiflora","(L.) Brenan","TC"
"Musa acuminata Colla","Zingiberales","Musa acuminata","Colla","TC"
