"scientificName","order","matchedname","authority","country_at_risk"
"Acanthospermum hispidum DC.","Asterales","Acanthospermum hispidum","DC.","AI"
"Aeschynomene villosa Poir.","Fabales","Aeschynomene villosa","Poir.","AI"
"Allamanda cathartica L.","Gentianales","Allamanda cathartica","L.","AI"
"Andropogon bicornis L.","Poales","Andropogon bicornis","L.","AI"
"Annona reticulata L.","Magnoliales","Annona reticulata","L.","AI"
"Antigonon leptopus Hook. & Arn.","Caryophyllales","Antigonon leptopus","Hook. & Arn.","AI"
"Brassica juncea (L.) Czern.","Brassicales","Brassica juncea","(L.) Czern.","AI"
"Calliandra surinamensis Benth.","Fabales","Calliandra surinamensis","Benth.","AI"
"Calopogonium mucunoides Desv.","Fabales","Calopogonium mucunoides","Desv.","AI"
"Capsicum annuum L.","Solanales","Capsicum annuum","L.","AI"
"Capsicum frutescens L.","Solanales","Capsicum frutescens","L.","AI"
"Carica papaya L.","Brassicales","Carica papaya","L.","AI"
"Cedrela odorata L.","Sapindales","Cedrela odorata","L.","AI"
"Cissampelos pareira L.","Ranunculales","Cissampelos pareira","L.","AI"
"Citrus medica L.","Sapindales","Citrus medica","L.","AI"
"Cosmos sulphureus Cav.","Asterales","Cosmos sulphureus","Cav.","AI"
"Crepis occidentalis Nutt.","Asterales","Crepis occidentalis","Nutt.","AI"
"Crotalaria micans Link","Fabales","Crotalaria micans","Link","AI"
"Cyperus alopecuroides Rottb.","Poales","Cyperus alopecuroides","Rottb.","AI"
"Cyperus alternifolius L.","Poales","Cyperus alternifolius","L.","AI"
"Cyperus sphacelatus Rottb.","Poales","Cyperus sphacelatus","Rottb.","AI"
"Dactylis glomerata L.","Poales","Dactylis glomerata","L.","AI"
"Digitaria ciliaris (Retz.) Koeler","Poales","Digitaria ciliaris","(Retz.) Koeler","AI"
"Dioscorea alata L.","Dioscoreales","Dioscorea alata","L.","AI"
"Eleocharis retroflexa (Poir.) Urb.","Poales","Eleocharis retroflexa","(Poir.) Urb.","AI"
"Eragrostis amabilis (L.) Wight & Arn.","Poales","Eragrostis amabilis","(L.) Wight & Arn.","AI"
"Euphorbia cotinifolia L.","Malpighiales","Euphorbia cotinifolia","L.","AI"
"Fimbristylis dichotoma (L.) Vahl","Poales","Fimbristylis dichotoma","(L.) Vahl","AI"
"Hibiscus rosa-sinensis L.","Malvales","Hibiscus rosa-sinensis","L.","AI"
"Ipomoea carnea Jacq.","Solanales","Ipomoea carnea","Jacq.","AI"
"Ipomoea hederacea Jacq.","Solanales","Ipomoea hederacea","Jacq.","AI"
"Ipomoea indica (Burm.) Merr.","Solanales","Ipomoea indica","(Burm.) Merr.","AI"
"Lathyrus sativus L.","Fabales","Lathyrus sativus","L.","AI"
"Malachra fasciata Jacq.","Malvales","Malachra fasciata","Jacq.","AI"
"Mikania micrantha Kunth","Asterales","Mikania micrantha","Kunth","AI"
"Mimosa pudica L.","Fabales","Mimosa pudica","L.","AI"
"Morinda citrifolia L.","Gentianales","Morinda citrifolia","L.","AI"
"Moringa oleifera Lam.","Brassicales","Moringa oleifera","Lam.","AI"
"Mucuna pruriens (L.) DC.","Fabales","Mucuna pruriens","(L.) DC.","AI"
"Nerium oleander L.","Gentianales","Nerium oleander","L.","AI"
"Opuntia stricta (Haw.) Haw.","Caryophyllales","Opuntia stricta","(Haw.) Haw.","AI"
"Oxalis debilis Kunth","Oxalidales","Oxalis debilis","Kunth","AI"
"Passiflora edulis Sims","Malpighiales","Passiflora edulis","Sims","AI"
"Physalis pubescens L.","Solanales","Physalis pubescens","L.","AI"
"Pistia stratiotes L.","Alismatales","Pistia stratiotes","L.","AI"
"Plumbago auriculata Lam.","Caryophyllales","Plumbago auriculata","Lam.","AI"
"Portulaca pilosa L.","Caryophyllales","Portulaca pilosa","L.","AI"
"Portulaca quadrifida L.","Caryophyllales","Portulaca quadrifida","L.","AI"
"Quercus ilex L.","Fagales","Quercus ilex","L.","AI"
"Ruscus aculeatus L.","Asparagales","Ruscus aculeatus","L.","AI"
"Salvia coccinea Buc'hoz ex Etl.","Lamiales","Salvia coccinea","Buc'hoz ex Etl.","AI"
"Selaginella plana (Desv. ex Poir.) Hieron.","Selaginellales","Selaginella plana","(Desv. ex Poir.) Hieron.","AI"
"Sida rhombifolia L.","Malvales","Sida rhombifolia","L.","AI"
"Solanum capsicoides All.","Solanales","Solanum capsicoides","All.","AI"
"Solanum tuberosum L.","Solanales","Solanum tuberosum","L.","AI"
"Stachytarpheta cayennensis (Rich.) Vahl","Lamiales","Stachytarpheta cayennensis","(Rich.) Vahl","AI"
"Syngonium podophyllum Schott","Alismatales","Syngonium podophyllum","Schott","AI"
"Syzygium cumini (L.) Skeels","Myrtales","Syzygium cumini","(L.) Skeels","AI"
"Syzygium jambos (L.) Alston","Myrtales","Syzygium jambos","(L.) Alston","AI"
"Thunbergia grandiflora Roxb.","Lamiales","Thunbergia grandiflora","Roxb.","AI"
"Aeschynomene americana L.","Fabales","Aeschynomene americana","L.","AI"
"Amaranthus tricolor L.","Caryophyllales","Amaranthus tricolor","L.","AI"
"Ananas comosus (L.) Merr.","Poales","Ananas comosus","(L.) Merr.","AI"
"Callisia fragrans (Lindl.) Woodson","Commelinales","Callisia fragrans","(Lindl.) Woodson","AI"
"Carthamus tinctorius L.","Asterales","Carthamus tinctorius","L.","AI"
"Centratherum punctatum Cass.","Asterales","Centratherum punctatum","Cass.","AI"
"Cestrum diurnum L.","Solanales","Cestrum diurnum","L.","AI"
"Cleome rutidosperma DC.","Brassicales","Cleome rutidosperma","DC.","AI"
"Corchorus aestuans L.","Malvales","Corchorus aestuans","L.","AI"
"Cucumis dipsaceus Ehrenb. ex Spach","Cucurbitales","Cucumis dipsaceus","Ehrenb. ex Spach","AI"
"Cuscuta umbellata Kunth","Solanales","Cuscuta umbellata","Kunth","AI"
"Cyperus compressus L.","Poales","Cyperus compressus","L.","AI"
"Cyperus esculentus L.","Poales","Cyperus esculentus","L.","AI"
"Euphorbia milii Des Moul.","Malpighiales","Euphorbia milii","Des Moul.","AI"
"Euphorbia serpens Kunth","Malpighiales","Euphorbia serpens","Kunth","AI"
"Festuca rubra L.","Poales","Festuca rubra","L.","AI"
"Foeniculum vulgare Mill.","Apiales","Foeniculum vulgare","Mill.","AI"
"Paspalum distichum L.","Poales","Paspalum distichum","L.","AI"
"Paspalum plicatulum Michx.","Poales","Paspalum plicatulum","Michx.","AI"
"Phalaris arundinacea L.","Poales","Phalaris arundinacea","L.","AI"
"Phaseolus lunatus L.","Fabales","Phaseolus lunatus","L.","AI"
"Rumex maritimus L.","Caryophyllales","Rumex maritimus","L.","AI"
"Salix purpurea L.","Malpighiales","Salix purpurea","L.","AI"
"Solanum elaeagnifolium Cav.","Solanales","Solanum elaeagnifolium","Cav.","AI"
"Tribulus cistoides L.","Zygophyllales","Tribulus cistoides","L.","AI"
"Triumfetta rhomboidea Jacq.","Malvales","Triumfetta rhomboidea","Jacq.","AI"
"Xanthium strumarium L.","Asterales","Xanthium strumarium","L.","AI"
"Yucca gloriosa L.","Asparagales","Yucca gloriosa","L.","AI"
"Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.","Poales","Andropogon glomeratus","(Walter) Britton, Sterns & Poggenb.","AI"
"Ardisia elliptica Thunb.","Ericales","Ardisia elliptica","Thunb.","AI"
"Aristolochia elegans Mast.","Piperales","Aristolochia elegans","Mast.","AI"
"Combretum paniculatum Vent.","Myrtales","Combretum paniculatum","Vent.","AI"
"Commelina benghalensis L.","Commelinales","Commelina benghalensis","L.","AI"
"Crotalaria pallida Aiton","Fabales","Crotalaria pallida","Aiton","AI"
"Dioscorea bulbifera L.","Dioscoreales","Dioscorea bulbifera","L.","AI"
"Euphorbia hyssopifolia L.","Malpighiales","Euphorbia hyssopifolia","L.","AI"
"Hylocereus undatus (Haw.) Britton & Rose","Caryophyllales","Hylocereus undatus","(Haw.) Britton & Rose","AI"
"Hyparrhenia rufa (Nees) Stapf","Poales","Hyparrhenia rufa","(Nees) Stapf","AI"
"Indigofera hirsuta L.","Fabales","Indigofera hirsuta","L.","AI"
"Manihot esculenta Crantz","Malpighiales","Manihot esculenta","Crantz","AI"
"Oxalis barrelieri L.","Oxalidales","Oxalis barrelieri","L.","AI"
"Pachyrhizus erosus (L.) Urb.","Fabales","Pachyrhizus erosus","(L.) Urb.","AI"
"Paspalum paniculatum L.","Poales","Paspalum paniculatum","L.","AI"
"Rottboellia cochinchinensis (Lour.) Clayton","Poales","Rottboellia cochinchinensis","(Lour.) Clayton","AI"
"Russelia equisetiformis Schltdl. & Cham.","Lamiales","Russelia equisetiformis","Schltdl. & Cham.","AI"
"Sansevieria hyacinthoides (L.) Druce","Asparagales","Sansevieria hyacinthoides","(L.) Druce","AI"
"Setaria parviflora (Poir.) Kerguélen","Poales","Setaria parviflora","(Poir.) Kerguélen","AI"
"Sorghum bicolor (L.) Moench","Poales","Sorghum bicolor","(L.) Moench","AI"
"Tridax procumbens L.","Asterales","Tridax procumbens","L.","AI"
"Ageratum houstonianum Mill.","Asterales","Ageratum houstonianum","Mill.","AI"
"Ammannia auriculata Willd.","Myrtales","Ammannia auriculata","Willd.","AI"
"Arundo donax L.","Poales","Arundo donax","L.","AI"
"Avena fatua L.","Poales","Avena fatua","L.","AI"
"Avena sativa L.","Poales","Avena sativa","L.","AI"
"Avena sterilis L.","Poales","Avena sterilis","L.","AI"
"Avena strigosa Schreb.","Poales","Avena strigosa","Schreb.","AI"
"Barleria prionitis L.","Lamiales","Barleria prionitis","L.","AI"
"Barringtonia asiatica (L.) Kurz","Ericales","Barringtonia asiatica","(L.) Kurz","AI"
"Brachiaria eruciformis (Sm.) Griseb.","Poales","Brachiaria eruciformis","(Sm.) Griseb.","AI"
"Cenchrus brownii Roem. & Schult.","Poales","Cenchrus brownii","Roem. & Schult.","AI"
"Cenchrus ciliaris L.","Poales","Cenchrus ciliaris","L.","AI"
"Citrullus lanatus (Thunb.) Matsum. & Nakai","Cucurbitales","Citrullus lanatus","(Thunb.) Matsum. & Nakai","AI"
"Cladium mariscus (L.) Pohl","Poales","Cladium mariscus","(L.) Pohl","AI"
"Crotalaria juncea L.","Fabales","Crotalaria juncea","L.","AI"
"Cucurbita pepo L.","Cucurbitales","Cucurbita pepo","L.","AI"
"Digitaria longiflora (Retz.) Pers.","Poales","Digitaria longiflora","(Retz.) Pers.","AI"
"Epiphyllum phyllanthus (L.) Haw.","Caryophyllales","Epiphyllum phyllanthus","(L.) Haw.","AI"
"Eucalyptus camaldulensis Dehnh.","Myrtales","Eucalyptus camaldulensis","Dehnh.","AI"
"Euphorbia nutans Lag.","Malpighiales","Euphorbia nutans","Lag.","AI"
"Euphorbia tirucalli L.","Malpighiales","Euphorbia tirucalli","L.","AI"
"Ficus altissima Blume","Rosales","Ficus altissima","Blume","AI"
"Ipomoea tricolor Cav.","Solanales","Ipomoea tricolor","Cav.","AI"
"Lactuca serriola L.","Asterales","Lactuca serriola","L.","AI"
"Lagerstroemia indica L.","Myrtales","Lagerstroemia indica","L.","AI"
"Najas marina L.","Alismatales","Najas marina","L.","AI"
"Nelumbo nucifera Gaertn.","Proteales","Nelumbo nucifera","Gaertn.","AI"
"Olea europaea L.","Lamiales","Olea europaea","L.","AI"
"Paspalum virgatum L.","Poales","Paspalum virgatum","L.","AI"
"Pereskia aculeata Mill.","Caryophyllales","Pereskia aculeata","Mill.","AI"
"Phyllanthus urinaria L.","Malpighiales","Phyllanthus urinaria","L.","AI"
"Pteris vittata L.","Polypodiales","Pteris vittata","L.","AI"
"Punica granatum L.","Myrtales","Punica granatum","L.","AI"
"Setaria barbata (Lam.) Kunth","Poales","Setaria barbata","(Lam.) Kunth","AI"
"Solanum villosum Mill.","Solanales","Solanum villosum","Mill.","AI"
"Tradescantia spathacea Sw.","Commelinales","Tradescantia spathacea","Sw.","AI"
"Triticum aestivum L.","Poales","Triticum aestivum","L.","AI"
"Yucca aloifolia L.","Asparagales","Yucca aloifolia","L.","AI"
"Amaranthus hybridus L.","Caryophyllales","Amaranthus hybridus","L.","AI"
"Artemisia vulgaris L.","Asterales","Artemisia vulgaris","L.","AI"
"Avena barbata Pott ex Link","Poales","Avena barbata","Pott ex Link","AI"
"Baccharis halimifolia L.","Asterales","Baccharis halimifolia","L.","AI"
"Barleria cristata L.","Lamiales","Barleria cristata","L.","AI"
"Bauhinia monandra Kurz","Fabales","Bauhinia monandra","Kurz","AI"
"Caesalpinia decapetala (Roth) Alston","Fabales","Caesalpinia decapetala","(Roth) Alston","AI"
"Cardiospermum halicacabum L.","Sapindales","Cardiospermum halicacabum","L.","AI"
"Cassia javanica L.","Fabales","Cassia javanica","L.","AI"
"Cryptostegia madagascariensis Bojer ex Decne.","Gentianales","Cryptostegia madagascariensis","Bojer ex Decne.","AI"
"Cucumis anguria L.","Cucurbitales","Cucumis anguria","L.","AI"
"Digitaria nuda Schumach.","Poales","Digitaria nuda","Schumach.","AI"
"Digitaria violascens Link","Poales","Digitaria violascens","Link","AI"
"Eleocharis interstincta (Vahl) Roem. & Schult.","Poales","Eleocharis interstincta","(Vahl) Roem. & Schult.","AI"
"Gloriosa superba L.","Liliales","Gloriosa superba","L.","AI"
"Hordeum vulgare L.","Poales","Hordeum vulgare","L.","AI"
"Hydrocotyle bonariensis Lam.","Apiales","Hydrocotyle bonariensis","Lam.","AI"
"Impatiens balsamina L.","Ericales","Impatiens balsamina","L.","AI"
"Lantana montevidensis (Spreng.) Briq.","Lamiales","Lantana montevidensis","(Spreng.) Briq.","AI"
"Morus nigra L.","Rosales","Morus nigra","L.","AI"
"Nicotiana glauca Graham","Solanales","Nicotiana glauca","Graham","AI"
"Nicotiana tabacum L.","Solanales","Nicotiana tabacum","L.","AI"
"Oryza rufipogon Griff.","Poales","Oryza rufipogon","Griff.","AI"
"Panicum bergii Arechav.","Poales","Panicum bergii","Arechav.","AI"
"Panicum dichotomiflorum Michx.","Poales","Panicum dichotomiflorum","Michx.","AI"
"Panicum sabulorum Lam.","Poales","Panicum sabulorum","Lam.","AI"
"Phyllanthus niruri L.","Malpighiales","Phyllanthus niruri","L.","AI"
"Phyllanthus tenellus Roxb.","Malpighiales","Phyllanthus tenellus","Roxb.","AI"
"Sambucus canadensis L.","Dipsacales","Sambucus canadensis","L.","AI"
"Sinapis alba L.","Brassicales","Sinapis alba","L.","AI"
"Solanum sisymbriifolium Lam.","Solanales","Solanum sisymbriifolium","Lam.","AI"
"Stachys arvensis L.","Lamiales","Stachys arvensis","L.","AI"
"Themeda quadrivalvis (L.) Kuntze","Poales","Themeda quadrivalvis","(L.) Kuntze","AI"
"Apium graveolens L.","Apiales","Apium graveolens","L.","AI"
"Araucaria heterophylla (Salisb.) Franco","Pinales","Araucaria heterophylla","(Salisb.) Franco","AI"
"Ardisia crenata Sims","Ericales","Ardisia crenata","Sims","AI"
"Asparagus officinalis L.","Asparagales","Asparagus officinalis","L.","AI"
"Asparagus setaceus (Kunth) Jessop","Asparagales","Asparagus setaceus","(Kunth) Jessop","AI"
"Basella alba L.","Caryophyllales","Basella alba","L.","AI"
"Beta vulgaris L.","Caryophyllales","Beta vulgaris","L.","AI"
"Browallia americana L.","Solanales","Browallia americana","L.","AI"
"Buddleja davidii Franch.","Lamiales","Buddleja davidii","Franch.","AI"
"Cardamine flexuosa With.","Brassicales","Cardamine flexuosa","With.","AI"
"Convolvulus arvensis L.","Solanales","Convolvulus arvensis","L.","AI"
"Coreopsis lanceolata L.","Asterales","Coreopsis lanceolata","L.","AI"
"Crotalaria spectabilis Roth","Fabales","Crotalaria spectabilis","Roth","AI"
"Cuphea hyssopifolia Kunth","Myrtales","Cuphea hyssopifolia","Kunth","AI"
"Curcuma longa L.","Zingiberales","Curcuma longa","L.","AI"
"Cyperus imbricatus Retz.","Poales","Cyperus imbricatus","Retz.","AI"
"Cyperus iria L.","Poales","Cyperus iria","L.","AI"
"Eleocharis cellulosa Torr.","Poales","Eleocharis cellulosa","Torr.","AI"
"Equisetum arvense L.","Equisetales","Equisetum arvense","L.","AI"
"Eriobotrya japonica (Thunb.) Lindl.","Rosales","Eriobotrya japonica","(Thunb.) Lindl.","AI"
"Euphorbia thymifolia L.","Malpighiales","Euphorbia thymifolia","L.","AI"
"Fimbristylis littoralis Gaudich.","Poales","Fimbristylis littoralis","Gaudich.","AI"
"Fuirena umbellata Rottb.","Poales","Fuirena umbellata","Rottb.","AI"
"Galinsoga parviflora Cav.","Asterales","Galinsoga parviflora","Cav.","AI"
"Gamochaeta purpurea (L.) Cabrera","Asterales","Gamochaeta purpurea","(L.) Cabrera","AI"
"Hydrocotyle sibthorpioides Lam.","Apiales","Hydrocotyle sibthorpioides","Lam.","AI"
"Hydrocotyle verticillata Thunb.","Apiales","Hydrocotyle verticillata","Thunb.","AI"
"Hyptis lanceolata Poir.","Lamiales","Hyptis lanceolata","Poir.","AI"
"Ipomoea alba L.","Solanales","Ipomoea alba","L.","AI"
"Jatropha podagrica Hook.","Malpighiales","Jatropha podagrica","Hook.","AI"
"Lactuca sativa L.","Asterales","Lactuca sativa","L.","AI"
"Miconia calvescens DC.","Myrtales","Miconia calvescens","DC.","AI"
"Mimosa pigra L.","Fabales","Mimosa pigra","L.","AI"
"Nymphoides indica (L.) Kuntze","Asterales","Nymphoides indica","(L.) Kuntze","AI"
"Ocimum gratissimum L.","Lamiales","Ocimum gratissimum","L.","AI"
"Oryza sativa L.","Poales","Oryza sativa","L.","AI"
"Parmentiera cereifera Seem.","Lamiales","Parmentiera cereifera","Seem.","AI"
"Paspalum pumilum Nees","Poales","Paspalum pumilum","Nees","AI"
"Pinus caribaea Morelet","Pinales","Pinus caribaea","Morelet","AI"
"Polygala paniculata L.","Fabales","Polygala paniculata","L.","AI"
"Potamogeton nodosus Poir.","Alismatales","Potamogeton nodosus","Poir.","AI"
"Pteridium aquilinum (L.) Kuhn","Polypodiales","Pteridium aquilinum","(L.) Kuhn","AI"
"Rhynchospora corymbosa (L.) Britton","Poales","Rhynchospora corymbosa","(L.) Britton","AI"
"Solanum furcatum Dunal","Solanales","Solanum furcatum","Dunal","AI"
"Stachytarpheta urticifolia Sims","Lamiales","Stachytarpheta urticifolia","Sims","AI"
"Tanacetum vulgare L.","Asterales","Tanacetum vulgare","L.","AI"
"Thunbergia laurifolia Lindl.","Lamiales","Thunbergia laurifolia","Lindl.","AI"
"Tragopogon pratensis L.","Asterales","Tragopogon pratensis","L.","AI"
"Vigna hosei (Craib) Backer","Fabales","Vigna hosei","(Craib) Backer","AI"
"Xanthosoma sagittifolium (L.) Schott","Alismatales","Xanthosoma sagittifolium","(L.) Schott","AI"
"Zingiber officinale Roscoe","Zingiberales","Zingiber officinale","Roscoe","AI"
"Abelmoschus moschatus Medik.","Malvales","Abelmoschus moschatus","Medik.","AI"
"Acacia mangium Willd.","Fabales","Acacia mangium","Willd.","AI"
"Acalypha alopecuroidea Jacq.","Malpighiales","Acalypha alopecuroidea","Jacq.","AI"
"Achillea millefolium L.","Asterales","Achillea millefolium","L.","AI"
"Acroceras zizanioides (Kunth) Dandy","Poales","Acroceras zizanioides","(Kunth) Dandy","AI"
"Aeschynomene indica L.","Fabales","Aeschynomene indica","L.","AI"
"Agrostis scabra Willd.","Poales","Agrostis scabra","Willd.","AI"
"Ajuga reptans L.","Lamiales","Ajuga reptans","L.","AI"
"Alcea rosea L.","Malvales","Alcea rosea","L.","AI"
"Allionia incarnata L.","Caryophyllales","Allionia incarnata","L.","AI"
"Allium cepa L.","Asparagales","Allium cepa","L.","AI"
"Alternanthera pungens Kunth","Caryophyllales","Alternanthera pungens","Kunth","AI"
"Ambrosia confertiflora DC.","Asterales","Ambrosia confertiflora","DC.","AI"
"Andropogon virginicus L.","Poales","Andropogon virginicus","L.","AI"
"Anoda cristata (L.) Schltdl.","Malvales","Anoda cristata","(L.) Schltdl.","AI"
"Anthemis cotula L.","Asterales","Anthemis cotula","L.","AI"
"Aristolochia ringens Vahl","Piperales","Aristolochia ringens","Vahl","AI"
"Artemisia absinthium L.","Asterales","Artemisia absinthium","L.","AI"
"Asparagus densiflorus (Kunth) Jessop","Asparagales","Asparagus densiflorus","(Kunth) Jessop","AI"
"Axonopus fissifolius (Raddi) Kuhlm.","Poales","Axonopus fissifolius","(Raddi) Kuhlm.","AI"
"Azolla caroliniana Willd.","Salviniales","Azolla caroliniana","Willd.","AI"
"Baltimora recta L.","Asterales","Baltimora recta","L.","AI"
"Bauhinia variegata L.","Fabales","Bauhinia variegata","L.","AI"
"Brassica oleracea L.","Brassicales","Brassica oleracea","L.","AI"
"Brassica rapa L.","Brassicales","Brassica rapa","L.","AI"
"Bromus catharticus Vahl","Poales","Bromus catharticus","Vahl","AI"
"Bromus tectorum L.","Poales","Bromus tectorum","L.","AI"
"Calyptocarpus vialis Less.","Asterales","Calyptocarpus vialis","Less.","AI"
"Cardamine hirsuta L.","Brassicales","Cardamine hirsuta","L.","AI"
"Caryota mitis Lour.","Arecales","Caryota mitis","Lour.","AI"
"Castilla elastica Sessé","Rosales","Castilla elastica","Sessé","AI"
"Casuarina cunninghamiana Miq.","Cucurbitales","Casuarina cunninghamiana","Miq.","AI"
"Celosia cristata L.","Caryophyllales","Celosia cristata","L.","AI"
"Centaurea cineraria L.","Asterales","Centaurea cineraria","L.","AI"
"Cerastium glomeratum Thuill.","Caryophyllales","Cerastium glomeratum","Thuill.","AI"
"Ceratophyllum demersum L.","Ceratophyllales","Ceratophyllum demersum","L.","AI"
"Ceratopteris pteridoides (Hook.) Hieron.","Polypodiales","Ceratopteris pteridoides","(Hook.) Hieron.","AI"
"Ceratopteris thalictroides (L.) Brongn.","Polypodiales","Ceratopteris thalictroides","(L.) Brongn.","AI"
"Cereus jamacaru DC.","Caryophyllales","Cereus jamacaru","DC.","AI"
"Cestrum nocturnum L.","Solanales","Cestrum nocturnum","L.","AI"
"Cichorium intybus L.","Asterales","Cichorium intybus","L.","AI"
"Clerodendrum thomsoniae Balf.","Lamiales","Clerodendrum thomsoniae","Balf.","AI"
"Conium maculatum L.","Apiales","Conium maculatum","L.","AI"
"Coriandrum sativum L.","Apiales","Coriandrum sativum","L.","AI"
"Cosmos bipinnatus Cav.","Asterales","Cosmos bipinnatus","Cav.","AI"
"Crepis capillaris (L.) Wallr.","Asterales","Crepis capillaris","(L.) Wallr.","AI"
"Crotalaria sagittalis L.","Fabales","Crotalaria sagittalis","L.","AI"
"Croton glandulosus L.","Malpighiales","Croton glandulosus","L.","AI"
"Cucumis melo L.","Cucurbitales","Cucumis melo","L.","AI"
"Cupressus sempervirens L.","Pinales","Cupressus sempervirens","L.","AI"
"Cuscuta indecora Choisy","Solanales","Cuscuta indecora","Choisy","AI"
"Cuscuta pentagona Engelm.","Solanales","Cuscuta pentagona","Engelm.","AI"
"Cyperus amabilis Vahl","Poales","Cyperus amabilis","Vahl","AI"
"Cyperus difformis L.","Poales","Cyperus difformis","L.","AI"
"Cyperus digitatus Roxb.","Poales","Cyperus digitatus","Roxb.","AI"
"Cyperus haspan L.","Poales","Cyperus haspan","L.","AI"
"Cyperus reflexus Vahl","Poales","Cyperus reflexus","Vahl","AI"
"Cyperus virens Michx.","Poales","Cyperus virens","Michx.","AI"
"Daucus carota L.","Apiales","Daucus carota","L.","AI"
"Dichondra micrantha Urb.","Solanales","Dichondra micrantha","Urb.","AI"
"Digitaria eriantha Steud.","Poales","Digitaria eriantha","Steud.","AI"
"Digitaria ischaemum (Schreb.) Muhl.","Poales","Digitaria ischaemum","(Schreb.) Muhl.","AI"
"Dioscorea villosa L.","Dioscoreales","Dioscorea villosa","L.","AI"
"Eleocharis acicularis (L.) Roem. & Schult.","Poales","Eleocharis acicularis","(L.) Roem. & Schult.","AI"
"Eriochloa polystachya Kunth","Poales","Eriochloa polystachya","Kunth","AI"
"Eucalyptus globulus Labill.","Myrtales","Eucalyptus globulus","Labill.","AI"
"Euphorbia peplus L.","Malpighiales","Euphorbia peplus","L.","AI"
"Ficus benjamina L.","Rosales","Ficus benjamina","L.","AI"
"Ficus elastica Roxb. ex Hornem.","Rosales","Ficus elastica","Roxb. ex Hornem.","AI"
"Ficus religiosa L.","Rosales","Ficus religiosa","L.","AI"
"Ficus retusa L.","Rosales","Ficus retusa","L.","AI"
"Fragaria vesca L.","Rosales","Fragaria vesca","L.","AI"
"Fumaria capreolata L.","Ranunculales","Fumaria capreolata","L.","AI"
"Gaillardia pulchella Foug.","Asterales","Gaillardia pulchella","Foug.","AI"
"Galium aparine L.","Gentianales","Galium aparine","L.","AI"
"Gamochaeta pensylvanica (Willd.) Cabrera","Asterales","Gamochaeta pensylvanica","(Willd.) Cabrera","AI"
"Geranium carolinianum L.","Geraniales","Geranium carolinianum","L.","AI"
"Geranium dissectum L.","Geraniales","Geranium dissectum","L.","AI"
"Geranium robertianum L.","Geraniales","Geranium robertianum","L.","AI"
"Geranium rotundifolium L.","Geraniales","Geranium rotundifolium","L.","AI"
"Gmelina arborea Roxb. ex Sm.","Lamiales","Gmelina arborea","Roxb. ex Sm.","AI"
"Gnaphalium polycaulon Pers.","Asterales","Gnaphalium polycaulon","Pers.","AI"
"Helianthus annuus L.","Asterales","Helianthus annuus","L.","AI"
"Heteranthera reniformis Ruiz & Pav.","Commelinales","Heteranthera reniformis","Ruiz & Pav.","AI"
"Hibiscus mutabilis L.","Malvales","Hibiscus mutabilis","L.","AI"
"Hydrocotyle umbellata L.","Apiales","Hydrocotyle umbellata","L.","AI"
"Hymenachne amplexicaulis (Rudge) Nees","Poales","Hymenachne amplexicaulis","(Rudge) Nees","AI"
"Hyparrhenia hirta (L.) Stapf","Poales","Hyparrhenia hirta","(L.) Stapf","AI"
"Hypericum perforatum L.","Malpighiales","Hypericum perforatum","L.","AI"
"Imperata brasiliensis Trin.","Poales","Imperata brasiliensis","Trin.","AI"
"Indigofera jamaicensis Spreng.","Fabales","Indigofera jamaicensis","Spreng.","AI"
"Ipomoea cairica (L.) Sweet","Solanales","Ipomoea cairica","(L.) Sweet","AI"
"Ipomoea lacunosa L.","Solanales","Ipomoea lacunosa","L.","AI"
"Ipomoea violacea L.","Solanales","Ipomoea violacea","L.","AI"
"Ischaemum rugosum Salisb.","Poales","Ischaemum rugosum","Salisb.","AI"
"Juncus effusus L.","Magnoliales","Juncus effusus","L.","AI"
"Lactuca canadensis L.","Asterales","Lactuca canadensis","L.","AI"
"Lapsana communis L.","Asterales","Lapsana communis","L.","AI"
"Larrea divaricata Cav.","Zygophyllales","Larrea divaricata","Cav.","AI"
"Lathyrus clymenum L.","Fabales","Lathyrus clymenum","L.","AI"
"Leersia hexandra Sw.","Poales","Leersia hexandra","Sw.","AI"
"Leucanthemum vulgare Lam.","Asterales","Leucanthemum vulgare","Lam.","AI"
"Linum usitatissimum L.","Malpighiales","Linum usitatissimum","L.","AI"
"Lolium multiflorum Lam.","Poales","Lolium multiflorum","Lam.","AI"
"Lolium perenne L.","Poales","Lolium perenne","L.","AI"
"Lonicera japonica Thunb.","Dipsacales","Lonicera japonica","Thunb.","AI"
"Ludwigia palustris (L.) Elliott","Myrtales","Ludwigia palustris","(L.) Elliott","AI"
"Malva neglecta Wallr.","Malvales","Malva neglecta","Wallr.","AI"
"Malva parviflora L.","Malvales","Malva parviflora","L.","AI"
"Malva sylvestris L.","Malvales","Malva sylvestris","L.","AI"
"Matricaria chamomilla L.","Asterales","Matricaria chamomilla","L.","AI"
"Medicago lupulina L.","Fabales","Medicago lupulina","L.","AI"
"Medicago polymorpha L.","Fabales","Medicago polymorpha","L.","AI"
"Medicago sativa L.","Fabales","Medicago sativa","L.","AI"
"Melilotus albus Medik.","Fabales","Melilotus albus","Medik.","AI"
"Mentha aquatica L.","Lamiales","Mentha aquatica","L.","AI"
"Mentha arvensis L.","Lamiales","Mentha arvensis","L.","AI"
