"species","country_at_risk"
"Acacia auriculiformis","TC"
"Acacia mangium","TC"
"Acacia nilotica","TC"
"Acacia spp","TC"
"Adenanthera pavonina","TC"
"Ageratina adenophora","TC"
"Albizia lebbeck","TC"
"Aleurites fordii","TC"
"Aleurites moluccana","TC"
"Alpinnia allughas","TC"
"Alternanthera philoxeroides","TC"
"Alysicarpus vaginalis","TC"
"Antigonon leptopus","TC"
"Ardisia solanacea","TC"
"Arundo donax","TC"
"Asparagus densiflorus","TC"
"Azadirachta indica","TC"
"Bambusa vulgaris","TC"
"Barringtonia asiatica","TC"
"Bauhinia monandra","TC"
"Bauhinia variegata","TC"
"Bertholettia excelsa","TC"
"Bothriochloa pertusa","TC"
"Boussingaultia leptostachys","TC"
"Brachiara decumbens","TC"
"Calliandra calothyrsus","TC"
"Callinectes sapidus","TC"
"Calotropis procera","TC"
"Cardamine flexuosa","TC"
"Cassia javanica","TC"
"Cherax quadricarinatus","TC"
"Cinnamomum camphora","TC"
"Cinnamomum zeylanicum","TC"
"Cleome gynandra","TC"
"Cleome viscosa","TC"
"Colubrina asiatica","TC"
"Dioscorea alata","TC"
"Echinochloa crus-galli","TC"
"Eichhornia crassipes","TC"
"Eleusine indica","TC"
"Emilia coccinea","TC"
"Emilia fosbergii","TC"
"Emilia sonchifolia","TC"
"Eugenia uniflora","TC"
"Eupatorium adenophorum","TC"
"Flemingia strobilifera","TC"
"Fragaria vesca","TC"
"Gaillardia pulchella","TC"
"Grevillea robusta","TC"
"Haematoxylum campechianum","TC"
"Hedychium coccineum","TC"
"Hedychium coronarium","TC"
"Hedychium gardnerianum","TC"
"Hyparrhenia rufa","TC"
"Indigofera jamaicensis","TC"
"Ischaemum rugosum","TC"
"Jasminum fluminense","TC"
"Jasminum sambac","TC"
"Lantana camara","TC"
"Launaea intybacea","TC"
"Lonicera japonica","TC"
"Ludwigia peruviana","TC"
"Macroptilium atropurpureum","TC"
"Malaleuca spp","TC"
"Malva rotundifolia","TC"
"Mangifera indica","TC"
"Manilkara zapota","TC"
"Melaleuca quinquenervia","TC"
"Melia azedarach","TC"
"Melinis minutiflora","TC"
"Merremia tuberosa","TC"
"Miconia calvescens","TC"
"Mimosa pigra","TC"
"Moghania strobilifera","TC"
