"scientificName","phylum","order","country"
"Moringa oleifera Lam.","Tracheophyta","Brassicales","IO"
"Acalypha indica L.","Tracheophyta","Malpighiales","IO"
"Mercurialis perennis L.","Tracheophyta","Malpighiales","IO"
"Euphorbia hypericifolia L.","Tracheophyta","Malpighiales","IO"
"Euphorbia prostrata Ait.","Tracheophyta","Malpighiales","IO"
"Codiaeum variegatum (L.) A.Juss.","Tracheophyta","Malpighiales","IO"
"Barringtonia asiatica Kurz","Tracheophyta","Ericales","IO"
"Portulaca oleracea L.","Tracheophyta","Caryophyllales","IO"
"Achyranthes aspera L.","Tracheophyta","Caryophyllales","IO"
"Chromolaena odorata (L.) R.M.King & H.Rob.","Tracheophyta","Asterales","IO"
"Cosmos sulphureus Cav.","Tracheophyta","Asterales","IO"
"Pluchea carolinensis G.Don","Tracheophyta","Asterales","IO"
"Erigeron canadensis L.","Tracheophyta","Asterales","IO"
"Corchorus aestuans L.","Tracheophyta","Malvales","IO"
"Malvastrum coromandelianum (L.) Garcke","Tracheophyta","Malvales","IO"
"Ochrosia oppositifolia K.Schum.","Tracheophyta","Gentianales","IO"
"Roylea elegans Wall.","Tracheophyta","Lamiales","IO"
"Indorouchera contestiana (Pierre) Hallier f.","Tracheophyta","Malpighiales","IO"
"Spinifex littoreus Merr.","Tracheophyta","Poales","IO"
"Triumfetta repens (Blume) Merr. & Rolfe","Tracheophyta","Malvales","IO"
"Pteris vittata L.","Tracheophyta","Polypodiales","IO"
"Pteris tripartita Sw.","Tracheophyta","Polypodiales","IO"
"Desmanthus virgatus (L.) Willd.","Tracheophyta","Fabales","IO"
"Phyllanthus urinaria L.","Tracheophyta","Malpighiales","IO"
"Eclipta alba Hassk.","Tracheophyta","Asterales","IO"
"Aster tongolensis Franch.","Tracheophyta","Asterales","IO"
"Tricholepis glaberrima DC.","Tracheophyta","Asterales","IO"
"Bidens alba DC.","Tracheophyta","Asterales","IO"
"Sida rhombifolia L.","Tracheophyta","Malvales","IO"
"Sida spinosa L.","Tracheophyta","Malvales","IO"
"Melaleuca armillaris Sm.","Tracheophyta","Myrtales","IO"
"Cynodon dactylon (L.) Pers.","Tracheophyta","Poales","IO"
"Premna serratifolia L.","Tracheophyta","Lamiales","IO"
"Vitis ficifolia Bunge","Tracheophyta","Vitales","IO"
"Schizaea dichotoma (L.) Sm.","Tracheophyta","Schizaeales","IO"
"Araucaria cookii R.Br. ex D.Don","Tracheophyta","Pinales","IO"
"Helicteres hirsuta Lour.","Tracheophyta","Malvales","IO"
"Crotalaria pallida Aiton","Tracheophyta","Fabales","IO"
"Asplenium tenerum G.Forst.","Tracheophyta","Polypodiales","IO"
"Asplenium falcatum Lam.","Tracheophyta","Polypodiales","IO"
"Dennstaedtia zeylanica (Sw.) Zink ex Fraser-Jenkins & Kandel","Tracheophyta","Polypodiales","IO"
"Solanum nigrum L.","Tracheophyta","Solanales","IO"
"Kyllinga nemoralis J.R. & G.Forst.","Tracheophyta","Poales","IO"
"Cyperus mindorensis (Steud.) Huygh","Tracheophyta","Poales","IO"
"Calophyllum inophyllum L.","Tracheophyta","Malpighiales","IO"
