"","Species.Name","Organism.Type","Broad.Habitat","status","country","iso2code"
"1","Passiflora edulis","Plant - Climber","","exotic","ANGUILLA","AI"
"2","Melia azedarach","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"3","Albizia lebbeck","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"4","Pithecellobium dulce","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"5","Sansevieria hyacinthoides","Plant - Succulent","Terrestrial","exotic","ANGUILLA","AI"
"6","Salix humboldtiana","Plant - Tree","","exotic","ANGUILLA","AI"
"7","Portulaca oleracea","Plant - Succulent","","exotic","ANGUILLA","AI"
"8","Ziziphus mauritiana","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"9","Bothriochloa pertusa","Plant - Grass","Terrestrial","exotic","ANGUILLA","AI"
"10","Ricinus communis","Plant - Shrub","Terrestrial","exotic","ANGUILLA","AI"
"11","Sorghum halepense","Plant - Grass","Terrestrial","exotic","ANGUILLA","AI"
"12","Thymophylla tenuiloba var.
tenuiloba","Plant - Herb","","exotic","ANGUILLA","AI"
"13","Sorghum halepense","Plant - Grass","Terrestrial","exotic","ANGUILLA","AI"
"14","Ricinus communis","Plant - Shrub","Terrestrial","exotic","ANGUILLA","AI"
"15","Oxalis corniculata","Plant - Herb","","exotic","ANGUILLA","AI"
"16","Asystasia gangetica","Plant - Herb","","exotic","ANGUILLA","AI"
"17","Asparagus densiflorus","Plant - Herb","Terrestrial","exotic","ANGUILLA","AI"
"18","Portulaca oleracea","Plant - Succulent","","exotic","ANGUILLA","AI"
"19","Bothriochloa pertusa","Plant - Grass","Terrestrial","invasive","ANGUILLA","AI"
"20","Psidium guajava","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"21","Spondias purpurea","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"22","Acacia farnesiana","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"23","Urochloa maxima","Plant - Grass","Terrestrial","exotic","ANGUILLA","AI"
"24","Leucaena leucocephala","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"25","Asparagus densiflorus","Plant - Herb","Terrestrial","exotic","ANGUILLA","AI"
"26","Tabebuia heterophylla","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"27","Bothriochloa pertusa","Plant - Grass","Terrestrial","invasive","ANGUILLA","AI"
"28","Bothriochloa pertusa","Plant - Grass","Terrestrial","exotic","ANGUILLA","AI"
"29","Antigonon leptopus","Plant - Climber","Terrestrial","exotic","ANGUILLA","AI"
"30","Thymophylla tenuiloba var.
tenuiloba","Plant - Herb","","exotic","ANGUILLA","AI"
"31","Urochloa maxima","Plant - Grass","Terrestrial","exotic","ANGUILLA","AI"
"32","Asystasia gangetica","Plant - Herb","","exotic","ANGUILLA","AI"
"33","Pithecellobium dulce","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"34","Salix humboldtiana","Plant - Tree","","exotic","ANGUILLA","AI"
"35","Sansevieria hyacinthoides","Plant - Succulent","Terrestrial","exotic","ANGUILLA","AI"
"36","Ficus retusa","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"37","Antigonon leptopus","Plant - Climber","Terrestrial","exotic","ANGUILLA","AI"
"38","Gliricidia sepium","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"39","Passiflora edulis","Plant - Climber","","exotic","ANGUILLA","AI"
"40","Annona squamosa","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"41","Acacia nilotica","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"42","Opuntia cochenillifera","Plant - Succulent","","exotic","ANGUILLA","AI"
"43","Opuntia cochenillifera","Plant - Succulent","","exotic","ANGUILLA","AI"
"44","Thevetia peruviana","Plant - Tree","Terrestrial","invasive","ANGUILLA","AI"
"45","Thevetia peruviana","Plant - Tree","Terrestrial","invasive","ANGUILLA","AI"
"46","Launaea intybacea","Plant - Shrub","","exotic","ANGUILLA","AI"
"47","Launaea intybacea","Plant - Shrub","","exotic","ANGUILLA","AI"
"48","Ziziphus mauritiana","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"49","Albizia lebbeck","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"50","Ficus retusa","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"51","Thevetia peruviana","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"52","Spondias purpurea","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"53","Gliricidia sepium","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"54","Annona squamosa","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"55","Alpinia zerumbet","Plant - Herb","","exotic","ANGUILLA","AI"
"56","Sansevieria trifasciata","Plant - Succulent","Terrestrial","exotic","ANGUILLA","AI"
"57","Melia azedarach","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"58","Psidium guajava","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"59","Tabebuia heterophylla","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"60","Acacia nilotica","Plant - Tree","Terrestrial","invasive","ANGUILLA","AI"
"61","Thevetia peruviana","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"62","Sansevieria trifasciata","Plant - Succulent","Terrestrial","exotic","ANGUILLA","AI"
"63","Alpinia zerumbet","Plant - Herb","","exotic","ANGUILLA","AI"
"64","Oxalis corniculata","Plant - Herb","","exotic","ANGUILLA","AI"
"65","Leucaena leucocephala","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"66","Tamarindus indica","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"67","Dioscorea bulbifera","Plant - Vine","","exotic","ANTIGUA AND BARBUDA","AG"
"68","Tradescantia zebrina","Plant - Herb","","exotic","ANTIGUA AND BARBUDA","AG"
"69","Tamarindus indica","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"70","Mangifera indica","Plant - Tree","Terrestrial","invasive","ANTIGUA AND BARBUDA","AG"
"71","Dioscorea bulbifera","Plant - Vine","","exotic","ANTIGUA AND BARBUDA","AG"
"72","Arundo donax","Plant - Grass","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"73","Prosopis juliflora","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"74","Arundo donax","Plant - Grass","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"75","Prosopis juliflora","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"76","Melia azedarach","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"77","Pithecellobium dulce","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"78","Pithecellobium dulce","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"79","Melia azedarach","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"80","Samanea saman","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"81","Samanea saman","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"82","Gliricidia sepium","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"83","Urochloa maxima","Plant - Grass","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"84","Syzygium jambos","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"85","Manilkara zapota","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"86","Flacourtia indica","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"87","Launaea intybacea","Plant - Shrub","","exotic","ANTIGUA AND BARBUDA","AG"
"88","Sesbania bispinosa","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"89","Persea americana","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"90","Albizia procera","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"91","Acacia nilotica","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"92","Tabebuia heterophylla","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"93","Persea americana","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"94","Leucaena leucocephala","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"95","Calotropis procera","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"96","Ricinus communis","Plant - Shrub","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"97","Acacia polyacantha","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"98","Parkia biglobosa","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"99","Syzygium cumini","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"100","Aleurites moluccana","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"101","Artocarpus altilis","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"102","Mangifera indica","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"103","Calotropis procera","Plant - Tree","Terrestrial","invasive","ANTIGUA AND BARBUDA","AG"
"104","Bauhinia tomentosa","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"105","Ricinus communis","Plant - Shrub","Terrestrial","invasive","ANTIGUA AND BARBUDA","AG"
"106","Leucaena diversifolia","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"107","Melia azedarach","Plant - Tree","Terrestrial","invasive","ANTIGUA AND BARBUDA","AG"
"108","Albizia lebbeck","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"109","Ricinus communis","Plant - Shrub","Terrestrial","invasive","ANTIGUA AND BARBUDA","AG"
"110","Azadirachta indica","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"111","Aleurites moluccana","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"112","Ricinus communis","Plant - Shrub","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"113","Flacourtia indica","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"114","Jacaranda mimosifolia","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"115","Melaleuca quinquenervia","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"116","Urochloa maxima","Plant - Grass","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"117","Leucaena diversifolia","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"118","Tabebuia heterophylla","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"119","Manilkara zapota","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"120","Albizia lebbeck","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"121","Albizia procera","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"122","Launaea intybacea","Plant - Shrub","","exotic","ANTIGUA AND BARBUDA","AG"
"123","Acacia nilotica","Plant - Tree","Terrestrial","invasive","ANTIGUA AND BARBUDA","AG"
"124","Leucaena leucocephala","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"125","Carica papaya","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"126","Calotropis procera","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"127","Gliricidia sepium","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"128","Azadirachta indica","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"129","Adenanthera pavonina","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"130","Syzygium jambos","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"131","Melaleuca quinquenervia","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"132","Jatropha curcas","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"133","Calotropis procera","Plant - Tree","Terrestrial","invasive","ANTIGUA AND BARBUDA","AG"
"134","Spondias purpurea","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"135","Acacia farnesiana","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"136","Acacia polyacantha","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"137","Melia azedarach","Plant - Tree","Terrestrial","invasive","ANTIGUA AND BARBUDA","AG"
"138","Jacaranda mimosifolia","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"139","Syzygium cumini","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"140","Carica papaya","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"141","Artocarpus altilis","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"142","Adenanthera pavonina","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"143","Bauhinia tomentosa","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"144","Spondias purpurea","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"145","Mangifera indica","Plant - Tree","Terrestrial","exotic","ANTIGUA AND BARBUDA","AG"
"146","Tamarindus indica","Plant - Tree","Terrestrial","invasive","ANTIGUA AND BARBUDA","AG"
"147","Azadirachta indica","Plant - Tree","Terrestrial","invasive","ANTIGUA AND BARBUDA","AG"
"148","Azadirachta indica","Plant - Tree","Terrestrial","invasive","ANTIGUA AND BARBUDA","AG"
"149","Calotropis procera","Plant - Tree","Terrestrial","exotic","ARUBA","AW"
"150","Samanea saman","Plant - Tree","Terrestrial","exotic","ARUBA","AW"
"151","Calotropis procera","Plant - Tree","Terrestrial","invasive","ARUBA","AW"
"152","Samanea saman","Plant - Tree","Terrestrial","exotic","ARUBA","AW"
"153","Calotropis procera","Plant - Tree","Terrestrial","exotic","ARUBA","AW"
"154","Pithecellobium dulce","Plant - Tree","Terrestrial","exotic","ARUBA","AW"
"155","Prosopis juliflora","Plant - Tree","Terrestrial","exotic","ARUBA","AW"
"156","Pithecellobium dulce","Plant - Tree","Terrestrial","exotic","ARUBA","AW"
"157","Prosopis juliflora","Plant - Tree","Terrestrial","exotic","ARUBA","AW"
"158","Gliricidia sepium","Plant - Tree","Terrestrial","exotic","ARUBA","AW"
"159","Leucaena leucocephala","Plant - Tree","Terrestrial","exotic","ARUBA","AW"
"160","Gliricidia sepium","Plant - Tree","Terrestrial","exotic","ARUBA","AW"
"161","Calotropis procera","Plant - Tree","Terrestrial","invasive","ARUBA","AW"
"162","Leucaena leucocephala","Plant - Tree","Terrestrial","exotic","ARUBA","AW"
"163","Scaevola sericea","Plant - Shrub","Terrestrial","exotic","BAHAMAS","BS"
"164","Syzygium jambos","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"165","Cardamine flexuosa","Plant - Herb","","invasive","BAHAMAS","BS"
"166","Calotropis procera","Plant - Tree","Terrestrial","invasive","BAHAMAS","BS"
"167","Scaevola sericea","Plant - Shrub","Terrestrial","invasive","BAHAMAS","BS"
"168","Scaevola sericea","Plant - Shrub","Terrestrial","invasive","BAHAMAS","BS"
"169","Acacia auriculiformis","Plant - Tree","Terrestrial","invasive","BAHAMAS","BS"
"170","Aleurites moluccana","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"171","Launaea intybacea","Plant - Shrub","","invasive","BAHAMAS","BS"
"172","Leucaena diversifolia","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"173","Syzygium jambos","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"174","Psidium cattleianum","Plant - Tree","","exotic","BAHAMAS","BS"
"175","Hymenaea courbaril","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"176","Calotropis procera","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"177","Calotropis procera","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"178","Albizia procera","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"179","Cardamine flexuosa","Plant - Herb","","invasive","BAHAMAS","BS"
"180","Gliricidia sepium","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"181","Acacia salicina","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"182","Adenanthera pavonina","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"183","Leucaena diversifolia","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"184","Albizia lebbeck","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"185","Leucaena leucocephala","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"186","Gliricidia sepium","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"187","Pithecellobium dulce","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"188","Acacia nilotica","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"189","Albizia lebbeck","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"190","Colocasia esculenta","Plant - Herb","Terrestrial","exotic","BAHAMAS","BS"
"191","Annona squamosa","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"192","Albizia procera","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"193","Carica papaya","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"194","Syzygium cumini","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"195","Colocasia esculenta","Plant - Herb","Terrestrial","exotic","BAHAMAS","BS"
"196","Leucaena leucocephala","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"197","Scaevola sericea","Plant - Shrub","Terrestrial","exotic","BAHAMAS","BS"
"198","Acacia farnesiana","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"199","Annona squamosa","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"200","Acacia salicina","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"201","Launaea intybacea","Plant - Shrub","","invasive","BAHAMAS","BS"
"202","Aleurites moluccana","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"203","Adenanthera pavonina","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"204","Pithecellobium dulce","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"205","Calotropis procera","Plant - Tree","Terrestrial","invasive","BAHAMAS","BS"
"206","Syzygium cumini","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"207","Psidium cattleianum","Plant - Tree","","exotic","BAHAMAS","BS"
"208","Carica papaya","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"209","Impomoea purpurea","Plant - Climber","","exotic","BAHAMAS","BS"
"210","Abrus precatorius","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"211","Arundo donax","Plant - Grass","Terrestrial","exotic","BAHAMAS","BS"
"212","Macroptilium atropurpureum","Plant - Shrub","Terrestrial","invasive","BAHAMAS","BS"
"213","Schefflera actinophylla","Plant - Tree","Terrestrial","invasive","BAHAMAS","BS"
"214","Abrus precatorius","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"215","Dioscorea alata","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"216","Dioscorea alata","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"217","Dioscorea alata","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"218","Acacia auriculiformis","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"219","Dioscorea alata","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"220","Eugenia uniflora","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"221","Antigonon leptopus","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"222","Tabebuia heterophylla","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"223","Lantana camara","Plant - Tree","Terrestrial","invasive","BAHAMAS","BS"
"224","Arundo donax","Plant - Grass","Terrestrial","exotic","BAHAMAS","BS"
"225","Bryophyllum pinnatum","Plant - Herb","Terrestrial","exotic","BAHAMAS","BS"
"226","Solanum torvum","Plant - Herb","Terrestrial","exotic","BAHAMAS","BS"
"227","Solanum torvum","Plant - Herb","Terrestrial","invasive","BAHAMAS","BS"
"228","Ziziphus mauritiana","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"229","Solanum torvum","Plant - Herb","Terrestrial","invasive","BAHAMAS","BS"
"230","Thymophylla tenuiloba var.
tenuiloba","Plant - Herb","","exotic","BAHAMAS","BS"
"231","Sansevieria hyacinthoides","Plant - Succulent","Terrestrial","exotic","BAHAMAS","BS"
"232","Antigonon leptopus","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"233","Panicum repens","Plant - Grass","Terrestrial","exotic","BAHAMAS","BS"
"234","Eichhornia crassipes","Plant - Aquatic","Freshwater","exotic","BAHAMAS","BS"
"235","Leucaena leucocephala","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"236","Schinus terebinthifolius","Plant - Tree","Terrestrial","invasive","BAHAMAS","BS"
"237","Panicum repens","Plant - Grass","Terrestrial","invasive","BAHAMAS","BS"
"238","Jasminum sambac","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"239","Panicum repens","Plant - Grass","Terrestrial","invasive","BAHAMAS","BS"
"240","Tabebuia heterophylla","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"241","Asparagus densiflorus","Plant - Herb","Terrestrial","exotic","BAHAMAS","BS"
"242","Eugenia uniflora","Plant - Tree","Terrestrial","invasive","BAHAMAS","BS"
"243","Antigonon leptopus","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"244","Syngonium podophyllum","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"245","Ziziphus mauritiana","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"246","Melia azedarach","Plant - Tree","Terrestrial","invasive","BAHAMAS","BS"
"247","Syngonium podophyllum","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"248","Mucuna pruriens","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"249","Mucuna pruriens","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"250","Mucuna pruriens","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"251","Mucuna pruriens","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"252","Syngonium podophyllum","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"253","Neyraudia reynaudiana","Plant - Grass","Terrestrial","exotic","BAHAMAS","BS"
"254","Antigonon leptopus","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"255","Eichhornia crassipes","Plant - Aquatic","Freshwater","exotic","BAHAMAS","BS"
"256","Jacaranda mimosifolia","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"257","Passiflora biflora","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"258","Urochloa maxima","Plant - Grass","Terrestrial","exotic","BAHAMAS","BS"
"259","Ricinus communis","Plant - Shrub","Terrestrial","invasive","BAHAMAS","BS"
"260","Pteridium aquilinum","Plant - Fern","Terrestrial","exotic","BAHAMAS","BS"
"261","Jatropha curcas","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"262","Psidium guajava","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"263","Asparagus densiflorus","Plant - Herb","Terrestrial","invasive","BAHAMAS","BS"
"264","Thymophylla tenuiloba var.
tenuiloba","Plant - Herb","","exotic","BAHAMAS","BS"
"265","Passiflora foetida","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"266","Bauhinia variegata","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"267","Passiflora foetida","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"268","Passiflora foetida","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"269","Spathodea campanulata","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"270","Jatropha curcas","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"271","Inga vera","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"272","Callinectes sapidus","Plant - Tree","Marine","exotic","BAHAMAS","BS"
"273","Callinectes sapidus","Plant - Tree","Marine","exotic","BAHAMAS","BS"
"274","Callinectes sapidus","Plant - Tree","Marine","invasive","BAHAMAS","BS"
"275","Callinectes sapidus","Plant - Tree","Marine","invasive","BAHAMAS","BS"
"276","Eichhornia crassipes","Plant - Aquatic","Freshwater","invasive","BAHAMAS","BS"
"277","Sansevieria hyacinthoides","Plant - Succulent","Terrestrial","exotic","BAHAMAS","BS"
"278","Macfadyena unguis-cati","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"279","Jasminum sambac","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"280","Spathodea campanulata","Plant - Tree","Terrestrial","invasive","BAHAMAS","BS"
"281","Colubrina asiatica","Plant - Shrub","Terrestrial","exotic","BAHAMAS","BS"
"282","Jacaranda mimosifolia","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"283","Neyraudia reynaudiana","Plant - Grass","Terrestrial","invasive","BAHAMAS","BS"
"284","Eichhornia crassipes","Plant - Aquatic","Freshwater","invasive","BAHAMAS","BS"
"285","Nephrolepis multiflora","Plant - Fern","Terrestrial","exotic","BAHAMAS","BS"
"286","Nephrolepis multiflora","Plant - Fern","Terrestrial","exotic","BAHAMAS","BS"
"287","Sansevieria hyacinthoides","Plant - Succulent","Terrestrial","invasive","BAHAMAS","BS"
"288","Nephrolepis multiflora","Plant - Fern","Terrestrial","invasive","BAHAMAS","BS"
"289","Schefflera actinophylla","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"290","Sphagneticola trilobata;","Plant - Herb","Terrestrial","invasive","BAHAMAS","BS"
"291","Schefflera actinophylla","Plant - Tree","Terrestrial","invasive","BAHAMAS","BS"
"292","Psidium guajava","Plant - Tree","Terrestrial","invasive","BAHAMAS","BS"
"293","Lantana camara","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"294","Neyraudia reynaudiana","Plant - Grass","Terrestrial","exotic","BAHAMAS","BS"
"295","Neyraudia reynaudiana","Plant - Grass","Terrestrial","invasive","BAHAMAS","BS"
"296","Albizia lebbeck","Plant - Tree","Terrestrial","invasive","BAHAMAS","BS"
"297","Bryophyllum pinnatum","Plant - Herb","Terrestrial","exotic","BAHAMAS","BS"
"298","Passiflora biflora","Plant - Climber","Terrestrial","invasive","BAHAMAS","BS"
"299","Pteridium aquilinum","Plant - Fern","Terrestrial","exotic","BAHAMAS","BS"
"300","Schinus terebinthifolius","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"301","Ricinus communis","Plant - Shrub","Terrestrial","exotic","BAHAMAS","BS"
"302","Pteridium aquilinum","Plant - Fern","Terrestrial","invasive","BAHAMAS","BS"
"303","Sesbania bispinosa","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"304","Melaleuca quinquenervia","Plant - Tree","Terrestrial","exotic","BAHAMAS","BS"
"305","Jasminum sambac","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"306","Passiflora foetida","Plant - Climber","Terrestrial","exotic","BAHAMAS","BS"
"307","Solanum torvum","Plant - Herb","Terrestrial","exotic","BAHAMAS","BS"
