"","Species.Name","Organism.Type","Broad.Habitat","status","country","iso2code"
"1209","Parkia biglobosa","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1210","Jatropha curcas","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1211","Spondias dulcis","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1212","Acacia polystachya","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1213","Caesalpinia decapetala","Plant - Tree","","exotic","DOMINICA","DM"
"1214","Melia azedarach","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1215","Halophila stipulacea","Plant - Aquatic","","exotic","DOMINICA","DM"
"1216","Halophila stipulacea","Plant - Aquatic","","invasive","DOMINICA","DM"
"1217","Calotropis procera","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1218","Portulaca oleracea","Plant - Succulent","","exotic","DOMINICA","DM"
"1219","Mangifera indica","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1220","Calotropis procera","Plant - Tree","Terrestrial","invasive","DOMINICA","DM"
"1221","Caesalpinia decapetala","Plant - Tree","","exotic","DOMINICA","DM"
"1222","Aleurites moluccana","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1223","Samanea saman","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1224","Syzygium cumini","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1225","Albizia lebbeck","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1226","Aleurites moluccana","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1227","Acacia polystachya","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1228","Halophila stipulacea","Plant - Aquatic","","invasive","DOMINICA","DM"
"1229","Adenanthera pavonina","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1230","Melaleuca quinquenervia","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1231","Bauhinia tomentosa","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1232","Acacia farnesiana","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1233","Cinnamomum zeylanicum","Plant - Tree","Terrestrial","exotic","DOMINICA","DM"
"1234","Persea americana","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1235","Bryophyllum pinnatum","Plant - Herb","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1236","Calliandra calothyrsus","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1237","Mangifera indica","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1238","Indigofera jamaicensis","Plant - Shrub","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1239","Calliandra calothyrsus","Plant - Tree","Terrestrial","invasive","DOMINICAN REPUBLIC","DO"
"1240","Miconia calvescens","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1241","Tabebuia heterophylla","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1242","Albizia lebbeck","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1243","Calliandra calothyrsus","Plant - Tree","Terrestrial","invasive","DOMINICAN REPUBLIC","DO"
"1244","Rottboelia exaltata","Plant - Grass","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1245","Tabebuia pentaphylla","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1246","Procambarus clarkii","Plant - Tree
Invertebrate -
Crustacean","Freshwater","exotic","DOMINICAN REPUBLIC","DO"
"1247","Calliandra calothyrsus","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1248","Ludwigia peruviana","Plant - Aquatic","","invasive","DOMINICAN REPUBLIC","DO"
"1249","Syzygium jambos","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1250","Prosopis juliflora","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1251","Rottboelia exaltata","Plant - Grass","Terrestrial","invasive","DOMINICAN REPUBLIC","DO"
"1252","Barringtonia asiatica","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1253","Pachira insignis","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1254","Flacourtia indica","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1255","Samanea saman","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1256","Barringtonia asiatica","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1257","Bauhinia variegata","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1258","Lantana camara","Plant - Tree","Terrestrial","invasive","DOMINICAN REPUBLIC","DO"
"1259","Leucaena leucocephala","Plant - Tree","Terrestrial","invasive","DOMINICAN REPUBLIC","DO"
"1260","Acacia torulosa","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1261","Bothriochloa pertusa","Plant - Grass","Terrestrial","invasive","DOMINICAN REPUBLIC","DO"
"1262","Calotropis procera","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1263","Acacia tumida","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1264","Eleusine indica","Plant - Grass","Terrestrial","invasive","DOMINICAN REPUBLIC","DO"
"1265","Jacaranda mimosifolia","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1266","Tabebuia heterophylla","Plant - Tree","Terrestrial","invasive","DOMINICAN REPUBLIC","DO"
"1267","Albizia procera","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1268","Rottboelia exaltata","Plant - Grass","Terrestrial","invasive","DOMINICAN REPUBLIC","DO"
"1269","Annona squamosa","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1270","Acacia crassicarpa","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1271","Eugenia uniflora","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1272","Spathodea campanulata","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1273","Rottboelia exaltata","Plant - Grass","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1274","Rottboellia cochinchinensis","Plant - Grass","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1275","Tabebuia pentaphylla","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1276","Albizia lebbeck","Plant - Tree","Terrestrial","invasive","DOMINICAN REPUBLIC","DO"
"1277","Clitoria fairchildiana","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1278","Azadirachta indica","Plant - Tree","Terrestrial","invasive","DOMINICAN REPUBLIC","DO"
"1279","Emilia coccinea","Plant - Herb","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1280","Asparagus densiflorus","Plant - Herb","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1281","Pachira insignis","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1282","Malva rotundifolia","Plant - Herb","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1283","Cinnamomum camphora","Plant - Tree","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
"1284","Rottboellia cochinchinensis","Plant - Grass","Terrestrial","invasive","DOMINICAN REPUBLIC","DO"
"1285","Portulaca oleracea","Plant - Succulent","","exotic","DOMINICAN REPUBLIC","DO"
"1286","Cleome gynandra","Plant - Herb","Terrestrial","exotic","DOMINICAN REPUBLIC","DO"
