"matchedname","authority","sourceid","uri","GBIF_id"
"Acacia kelloggiana","A.M. Carter & Rudd","iPlant_TNRS","http://www.tropicos.org/Name/13040589","2980854"
"Acacia lacerans","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13024109","2980480"
"Acacia leucophloea","Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13024164","2978568"
"Acacia longifolia","(Andrews) Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13024183","2978730"
"Acacia macilenta","Rose","iPlant_TNRS","http://www.tropicos.org/Name/13004151","2980499"
"Acacia mearnsii","De Wild.","iPlant_TNRS","http://www.tropicos.org/Name/13037485","2979775"
"Acacia megaladena","Desv.","iPlant_TNRS","http://www.tropicos.org/Name/13024215","2979030"
"Acacia melanoxylon","R. Br.","iPlant_TNRS","http://www.tropicos.org/Name/13024220","2979000"
"Acacia mellifera","(Vahl) Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13024221","9199495"
"Acacia miersii","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13024236","2980292"
"Acacia mikanii","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13024144","2980348"
"Acacia millefolia","S. Watson","iPlant_TNRS","http://www.tropicos.org/Name/13004170","2979969"
"Acacia modesta","Wall.","iPlant_TNRS","http://www.tropicos.org/Name/13024239","2980754"
"Acacia adansonii","(Guill. & Perr.) Brenan","iPlant_TNRS","http://www.tropicos.org/Name/13071140","2978434"
"Acacia oerfota","(Forssk.) Schweinf.","iPlant_TNRS","http://www.tropicos.org/Name/13037232","2978585"
"Acacia paradoxa","DC.","iPlant_TNRS","http://www.tropicos.org/Name/13024320","2981159"
"Acacia pedicellata","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13024328","2980106"
"Acacia pennata","(L.) Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13024333","2978790"
"Acacia pennatula","(Schltdl. & Cham.) Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13024334","2980053"
"Acacia penninervis","Sieber ex DC.","iPlant_TNRS","http://www.tropicos.org/Name/13024335","2978241"
"Acacia pentagona","(Schumach. & Thonn.) Hook. f.","iPlant_TNRS","http://www.tropicos.org/Name/13024339","8941350"
"Acacia piauhiensis","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13024356","2979991"
"Acacia podalyriifolia","A. Cunn. ex G. Don","iPlant_TNRS","http://www.tropicos.org/Name/13024373","2979014"
"Acacia polyacantha","Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13024374","2981165"
"Acacia suma","Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13024374","2981165"
"Acacia campylacantha","(Hochst. ex A. Rich.) Brenan","iPlant_TNRS","http://www.tropicos.org/Name/13072879","2981166"
"Acacia prominens","A. Cunn. ex G. Don","iPlant_TNRS","http://www.tropicos.org/Name/13024391","2978612"
"Acacia pycnantha","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13024424","2978604"
"Acacia recurva","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13024438","2979067"
"Acacia retinodes","Schltdl.","iPlant_TNRS","http://www.tropicos.org/Name/13024443","2979408"
"Acacia roemeriana","Scheele","iPlant_TNRS","http://www.tropicos.org/Name/13004236","9198052"
"Acacia rovumae","Oliv.","iPlant_TNRS","http://www.tropicos.org/Name/13024461","2981034"
"Acacia cyanophylla","(Labill.) H.L. Wendl.","iPlant_TNRS","http://www.tropicos.org/Name/13024476","2978552"
"Acacia saligna","(Labill.) H.L. Wendl.","iPlant_TNRS","http://www.tropicos.org/Name/13024476","2978552"
"Acacia schinoides","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13024493","2978902"
"Acacia scorpioides","(L.) W. Wight","iPlant_TNRS","http://www.tropicos.org/Name/13037451","2978426"
"Acacia senegal","(L.) Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13024505","2978697"
"Acacia serra","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13024511","3973601"
"Acacia seyal","Delile","iPlant_TNRS","http://www.tropicos.org/Name/13024519","3973601"
"Acacia sieberiana","DC.","iPlant_TNRS","http://www.tropicos.org/Name/13024523","2978561"
"Acacia rehmanniana","(Schinz) Roberty","iPlant_TNRS","http://www.tropicos.org/Name/13072921","2978561"
"Acacia sinuata","(Lour.) Merr.","iPlant_TNRS","http://www.tropicos.org/Name/13037656","2978544"
"Acacia sphaerocephala","Cham. & Schltdl.","iPlant_TNRS","http://www.tropicos.org/Name/13024546","2979441"
"Acacia tortilis","(Forssk.) Hayne","iPlant_TNRS","http://www.tropicos.org/Name/13024626","8731919"
"Acacia heteracantha","(Burch.) Brenan","iPlant_TNRS","http://www.tropicos.org/Name/13071622","2979913"
"Acacia spirocarpa","(Hochst. ex A. Rich.) Brenan","iPlant_TNRS","http://www.tropicos.org/Name/13071621","2979909"
"Acacia tortuosa","(L.) Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13024627","7522856"
"Acacia verticillata","(L'Hér.) Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13024680","2979292"
"Acacia vestita","Ker Gawl.","iPlant_TNRS","http://www.tropicos.org/Name/13024682","2980497"
"Acacia woodii","Burtt Davy","iPlant_TNRS","http://www.tropicos.org/Name/13037499","2978564"
"Acacia zanzibarica","(S. Moore) Taub.","iPlant_TNRS","http://www.tropicos.org/Name/13037203","2980766"
"Acaena anserinifolia","(J.R. Forst. & G. Forst.) Druce","iPlant_TNRS","http://www.tropicos.org/Name/27800866","7942884"
"Acaena caesiglauca","Bergmans","iPlant_TNRS","http://www.tropicos.org/Name/27800003","5370829"
"Acaena fissistipula","Bitter","iPlant_TNRS","http://www.tropicos.org/Name/27800004","5370717"
"Acaena magellanica","Vahl","iPlant_TNRS","http://www.tropicos.org/Name/27800007","5370832"
"Acaena ovalifolia","Ruiz & Pav.","iPlant_TNRS","http://www.tropicos.org/Name/27801691","5370651"
"Acaena pallida","(Kirk) Allan","iPlant_TNRS","http://www.tropicos.org/Name/50312657","5370801"
"Acaena pinnatifida","Ruiz & Pav.","iPlant_TNRS","http://www.tropicos.org/Name/27800013","5370645"
"Acalypha alopecuroidea","Jacq.","iPlant_TNRS","http://www.tropicos.org/Name/12801950","6374020"
"Acalypha australis","L.","iPlant_TNRS","http://www.tropicos.org/Name/12805430","3056835"
"Acalypha ciliata","Wall.","iPlant_TNRS","http://www.tropicos.org/Name/50236782","3056276"
"Acalypha fallax","Willd.","iPlant_TNRS","http://www.tropicos.org/Name/12800114","3056367"
