"species","AI","BM","KY","MS","TC","VG","origin"
"Crotalaria incana",1,0,0,0,0,0,"gbif"
"Crotalaria juncea",0,0,0,0,0,0,"gbif"
"Crotalaria laburnifolia",0,0,0,0,0,0,"gbif"
"Crotalaria longirostrata",0,0,0,0,0,0,"gbif"
"Crotalaria micans",0,0,0,1,0,0,"gbif"
"Crotalaria pallida",0,0,0,0,0,0,"gbif"
"Crotalaria retusa",1,1,1,0,0,1,"gbif"
"Crotalaria sagittalis",0,0,0,0,0,0,"gbif"
"Crotalaria spectabilis",0,0,0,0,0,0,"gbif"
"Crotalaria virgulata",0,0,0,0,0,0,"gbif"
"Croton glandulosus",0,0,0,0,0,0,"gbif"
"Croton monanthogynus",0,1,0,0,0,0,"gbif"
"Cryptostegia grandiflora",0,0,0,0,0,0,"danielle"
"Cryptostegia madagascariensis",0,0,1,0,0,0,"gbif"
"Cryptotaenia canadensis",0,0,1,0,0,0,"danielle"
"Cucumis anguria",0,0,1,0,0,0,"gbif"
"Cucumis dipsaceus",0,0,0,0,0,1,"gbif"
"Cucumis melo",0,0,0,0,0,0,"gbif"
"Cucurbita maxima",0,0,0,0,0,0,"gbif"
"Cucurbita pepo",0,0,0,0,0,0,"gbif"
"Cupaniopsis anacardioides",0,0,0,0,0,0,"danielle"
"Cuphea hyssopifolia",0,0,0,0,0,0,"gbif"
"Cupressus sempervirens",0,1,0,0,0,0,"gbif"
"Curcuma longa",0,0,0,0,0,0,"gbif"
"Cuscuta americana",1,0,0,1,1,1,"gbif"
"Cuscuta epithymum",0,0,0,0,0,0,"gbif"
"Cuscuta indecora",0,0,0,0,0,0,"gbif"
"Cuscuta palaestina",0,0,0,0,0,0,"gbif"
"Cuscuta pentagona",0,0,0,0,0,0,"gbif"
"Cuscuta umbellata",0,0,0,0,1,1,"gbif"
"Cyathea cooperi",0,0,0,0,0,0,"danielle"
"Cydonia oblonga",0,0,0,0,0,0,"gbif"
"Cynara cardunculus",0,0,0,0,0,0,"gbif"
"Cynara scolymus",0,0,0,0,0,0,"gbif"
"Cynodon dactylon",0,0,0,0,0,0,"danielle"
"Cynodon nlemfuensis",0,0,0,0,0,0,"gbif"
"Cynodon radiatus",0,0,0,0,0,0,"gbif"
"Cynoglossum lanceolatum",0,0,0,0,0,0,"gbif"
"Cynoglossum officinale",0,0,0,0,0,0,"gbif"
"Cynosurus cristatus",1,0,0,0,0,0,"gbif"
"Cynosurus echinatus",0,0,0,0,0,0,"gbif"
"Cyperus alopecuroides",0,0,0,1,0,0,"gbif"
"Cyperus alternifolius",0,1,0,1,0,0,"gbif"
"Cyperus amabilis",0,0,0,0,0,0,"gbif"
"Cyperus arenarius",0,0,0,0,0,0,"gbif"
"Cyperus articulatus",1,0,0,1,0,0,"gbif"
"Cyperus cephalotes",0,0,0,0,0,0,"gbif"
"Cyperus compactus",0,0,0,0,0,0,"gbif"
"Cyperus compressus",0,0,0,0,0,1,"gbif"
"Cyperus difformis",0,0,0,0,0,0,"gbif"
"Cyperus digitatus",0,0,0,0,0,0,"gbif"
"Cyperus dubius",0,0,0,0,0,0,"gbif"
"Cyperus eragrostis",0,0,0,0,0,0,"gbif"
"Cyperus esculentus",0,1,0,0,0,1,"gbif"
"Cyperus flavidus",0,0,0,0,0,0,"gbif"
"Cyperus fuscus",0,0,0,0,0,0,"gbif"
"Cyperus gracilis",0,0,0,0,0,0,"danielle"
"Cyperus haspan",0,0,0,0,0,0,"gbif"
"Cyperus imbricatus",0,0,0,0,0,0,"gbif"
"Cyperus involucratus",0,0,0,0,0,0,"danielle"
"Cyperus iria",0,0,0,0,0,0,"gbif"
"Cyperus laevigatus",1,0,0,0,0,0,"gbif"
"Cyperus longus",0,0,0,0,1,0,"gbif"
"Cyperus odoratus",1,1,0,1,0,0,"gbif"
"Cyperus papyrus",0,0,0,0,0,0,"gbif"
"Cyperus procerus",0,0,0,0,0,0,"gbif"
"Cyperus prolifer",0,0,0,0,0,0,"danielle"
"Cyperus reflexus",0,0,0,0,0,0,"gbif"
"Cyperus rotundus",1,1,0,1,1,1,"gbif"
"Cyperus sanguinolentus",0,0,0,0,0,0,"gbif"
"Cyperus serotinus",0,0,0,0,0,0,"gbif"
"Cyperus sphacelatus",0,0,0,1,0,1,"gbif"
"Cyperus tenuispica",0,0,0,0,0,0,"gbif"
"Cyperus virens",0,0,0,0,0,0,"gbif"
"Cyrtomium falcatum",0,0,0,0,0,0,"danielle"
"Cytisus multiflorus",0,1,0,0,0,0,"gbif"
"Cytisus striatus",0,0,0,0,0,0,"gbif"
"Dactylis glomerata",0,0,0,1,0,0,"gbif"
"Dactyloctenium aegyptium",1,0,1,1,1,1,"gbif"
"Datura discolor",0,0,0,0,0,0,"gbif"
"Datura ferox",0,0,0,0,0,0,"gbif"
"Datura metel",1,1,0,0,0,0,"gbif"
"Datura stramonium",1,1,0,0,1,1,"gbif"
"Daucus carota",0,0,0,0,0,0,"gbif"
"Delairea odorata",0,0,0,0,0,0,"gbif"
"Delonix regia",0,0,0,0,0,0,"danielle"
"Derris elliptica",0,0,0,0,0,0,"danielle"
"Dianthus armeria",0,0,0,0,0,0,"gbif"
"Dianthus barbatus",0,0,0,0,0,0,"gbif"
"Dianthus plumarius",0,0,0,0,0,0,"gbif"
"Dichanthium annulatum",0,0,0,0,0,0,"gbif"
"Dichondra micrantha",0,0,0,0,0,0,"gbif"
"Dichrostachys cinerea",0,0,0,0,0,0,"gbif"
"Dichrostachys cinerea",0,0,0,0,0,0,"caribdb"
"Digitalis purpurea",0,0,0,0,0,0,"gbif"
"Digitaria ciliaris",0,1,1,1,1,1,"gbif"
"Digitaria didactyla",0,0,0,0,0,0,"gbif"
"Digitaria eriantha",0,0,0,0,0,0,"gbif"
"Digitaria horizontalis",1,1,1,1,1,0,"gbif"
"Digitaria ischaemum",0,0,0,0,0,0,"gbif"
"Digitaria longiflora",0,1,0,0,0,0,"gbif"
"Digitaria nuda",0,0,0,0,0,0,"gbif"
"Digitaria sanguinalis",1,1,0,0,1,0,"gbif"
"Digitaria setigera",0,0,0,0,0,0,"gbif"
"Digitaria violascens",0,1,0,0,0,0,"gbif"
"Dillenia suffruticosa",0,0,0,0,0,0,"danielle"
"Diodia virginiana",0,0,0,0,0,0,"gbif"
"Dioscorea alata",0,0,0,1,0,1,"gbif"
"Dioscorea alata",0,0,0,0,0,0,"caribdb"
"Dioscorea bulbifera",0,0,0,0,0,0,"gbif"
"Dioscorea villosa",0,0,0,0,0,0,"gbif"
"Diospyros texana",0,0,0,0,0,0,"gbif"
"Diospyros virginiana",0,0,0,0,0,0,"gbif"
"Diplazium esculentum",0,0,0,0,0,0,"gbif"
"Diplotaxis muralis",0,0,0,0,0,0,"gbif"
"Dipogon lignosus",0,0,0,0,0,0,"gbif"
"Dissotis rotundifolia",0,0,0,0,0,0,"danielle"
"Dittrichia viscosa",0,0,0,0,0,0,"gbif"
"Dodonaea viscosa",1,1,1,0,1,1,"gbif"
"Dorstenia contrajerva",0,0,0,0,0,0,"danielle"
"Dovyalis hebecarpa",0,0,0,0,0,0,"danielle"
"Duchesnea indica",0,0,0,0,0,0,"danielle"
"Duranta erecta",1,1,1,1,0,1,"gbif"
"Dypsis lutescens",0,0,0,0,0,0,"danielle"
"Dyssodia papposa",0,0,0,0,0,0,"gbif"
"Dyssodia tenuiloba",0,0,0,0,0,0,"danielle"
"Echinochloa colona",1,1,1,1,1,1,"gbif"
"Echinochloa crus-galli",0,0,0,0,0,0,"caribdb"
"Echinochloa frumentacea",0,0,0,0,0,0,"gbif"
"Echinochloa oryzoides",0,0,0,0,0,0,"gbif"
"Echium plantagineum",0,0,0,0,0,0,"gbif"
"Echium vulgare",0,0,0,0,0,0,"gbif"
"Egeria densa",0,0,0,0,0,0,"gbif"
"Eichhornia crassipes",0,1,0,0,0,0,"caribdb"
"Elaeagnus umbellata",0,0,0,0,0,0,"danielle"
"Elatine triandra",0,0,0,0,0,0,"gbif"
"Eleocharis acicularis",0,0,0,0,0,0,"gbif"
"Eleocharis cellulosa",0,1,0,0,1,0,"gbif"
"Eleocharis geniculata",1,1,0,0,1,1,"gbif"
"Eleocharis interstincta",0,1,1,0,0,0,"gbif"
"Eleocharis mutata",1,0,0,1,0,0,"gbif"
"Eleocharis parvula",0,0,0,0,0,0,"gbif"
"Eleocharis retroflexa",0,0,0,1,0,0,"gbif"
"Elephantopus mollis",1,0,0,1,0,1,"gbif"
"Elephantopus tomentosus",0,0,0,0,0,0,"gbif"
"Eleusine indica",1,1,1,1,1,1,"gbif"
"Eleusine indica",0,0,0,0,0,0,"caribdb"
"Elodea canadensis",0,0,0,0,0,0,"gbif"
"Elsholtzia ciliata",0,0,0,0,0,0,"danielle"
"Emilia coccinea",0,0,0,0,0,0,"caribdb"
"Emilia fosbergii",1,0,1,1,0,0,"gbif"
"Emilia fosbergii",0,0,0,0,0,0,"caribdb"
"Emilia sonchifolia",0,0,0,0,0,0,"caribdb"
"Enterolobium contortisiliquum",0,0,0,0,0,0,"gbif"
"Epilobium ciliatum",0,0,0,0,0,0,"gbif"
"Epidendrum ×obrienianum",0,0,0,0,0,0,"danielle"
"Epipremnum pinnatum",0,0,0,0,0,0,"danielle"
"Epiphyllum phyllanthus",0,0,0,0,0,0,"gbif"
"Equisetum arvense",0,0,0,0,0,0,"gbif"
"Equisetum hyemale",0,0,0,0,0,0,"gbif"
"Equisetum ramosissimum",0,0,0,0,0,0,"gbif"
"Eragrostis airoides",0,0,0,0,0,0,"gbif"
"Eragrostis amabilis",0,0,1,1,0,0,"gbif"
"Eragrostis atrovirens",0,0,0,0,0,0,"gbif"
"Eragrostis lugens",0,0,0,0,0,0,"gbif"
"Eragrostis mexicana",0,0,0,0,0,0,"gbif"
"Eragrostis minor",0,1,0,0,0,0,"gbif"
"Eragrostis superba",0,0,0,0,0,0,"gbif"
"Eremopyrum triticeum",0,0,0,0,0,0,"gbif"
"Erigeron karvinskianus",0,0,0,0,0,0,"gbif"
"Erigeron philadelphicus",0,1,0,0,0,0,"gbif"
"Erigeron strigosus",0,0,0,0,0,0,"gbif"
"Eriobotrya japonica",0,0,0,0,0,0,"gbif"
"Eriocephalus racemosus",0,0,0,0,0,0,"gbif"
"Eriochloa meyeriana",0,0,0,0,0,0,"gbif"
"Eriochloa polystachya",0,0,0,0,0,0,"gbif"
"Eruca vesicaria",0,0,0,0,0,0,"danielle"
"Eryngium campestre",0,0,0,0,0,0,"gbif"
"Eryngium foetidum",0,0,0,0,0,0,"danielle"
"Erysimum repandum",0,0,0,0,0,0,"gbif"
"Erythroxylum coca",0,0,0,0,0,0,"gbif"
"Eschscholzia californica",0,0,0,0,0,0,"gbif"
"Eucalyptus botryoides",0,0,0,0,0,0,"gbif"
"Eucalyptus camaldulensis",0,0,0,0,0,0,"gbif"
"Eucalyptus globulus",0,1,0,0,0,0,"gbif"
"Eucalyptus polyanthemos",0,1,0,0,0,0,"gbif"
"Eucalyptus saligna",0,1,0,0,0,0,"gbif"
"Eucalyptus tereticornis",0,0,0,0,0,0,"gbif"
"Eugenia uniflora",1,1,0,1,0,0,"gbif"
"Eugenia uniflora",0,1,1,0,0,0,"caribdb"
"Eupatorium adenophorum",0,0,0,0,0,0,"caribdb"
"Euphorbia chamaesyce",1,0,0,0,0,0,"gbif"
"Euphorbia cotinifolia",0,0,1,1,0,0,"gbif"
"Euphorbia cyparissias",0,0,0,0,0,0,"gbif"
"Euphorbia dentata",0,0,0,0,0,0,"gbif"
"Euphorbia esula",0,0,0,0,0,0,"gbif"
"Euphorbia heterophylla",1,1,1,1,1,1,"gbif"
"Euphorbia hirta",1,0,1,1,1,1,"gbif"
"Euphorbia humifusa",0,0,0,0,0,0,"gbif"
"Euphorbia hypericifolia",1,1,1,0,1,1,"gbif"
"Euphorbia hyssopifolia",0,1,1,0,1,0,"gbif"
"Euphorbia lactea",0,0,0,0,0,0,"danielle"
"Euphorbia lathyris",0,0,0,0,0,0,"gbif"
"Euphorbia leucocephala",0,0,0,0,0,0,"danielle"
"Euphorbia leuconeura",0,0,0,0,0,0,"danielle"
"Euphorbia maculata",0,1,0,0,0,0,"gbif"
"Euphorbia milii",0,1,1,0,0,1,"gbif"
"Euphorbia nutans",0,1,0,0,0,0,"gbif"
"Euphorbia oerstediana",1,0,0,0,0,0,"gbif"
"Euphorbia peplus",0,1,0,0,0,0,"gbif"
"Euphorbia segetalis",0,0,0,0,0,0,"gbif"
"Euphorbia serpens",0,1,1,0,0,1,"gbif"
"Euphorbia thymifolia",0,0,0,0,0,0,"gbif"
"Euphorbia tirucalli",0,0,0,0,0,0,"gbif"
"Fagopyrum esculentum",0,1,0,0,0,0,"gbif"
"Fagus grandifolia",0,0,0,0,0,0,"gbif"
"Falcataria moluccana",0,0,0,0,0,0,"danielle"
"Ferula communis",0,0,0,0,0,0,"gbif"
"Festuca rubra",0,0,0,0,0,1,"gbif"
"Ficus altissima",0,1,0,0,0,0,"gbif"
"Ficus benghalensis",0,1,0,0,0,0,"gbif"
"Ficus benjamina",0,0,0,0,0,0,"gbif"
"Ficus carica",0,1,0,0,0,0,"gbif"
"Ficus elastica",0,0,0,0,0,0,"gbif"
"Ficus microcarpa",0,0,0,0,0,0,"danielle"
"Ficus nota",0,0,0,0,0,0,"danielle"
"Ficus pumila",1,1,0,0,0,0,"gbif"
"Ficus religiosa",0,0,0,0,0,0,"gbif"
"Ficus retusa",0,0,0,0,0,0,"gbif"
"Ficus retusa",0,1,0,0,0,0,"caribdb"
"Filicium decipiens",0,0,0,0,0,0,"danielle"
"Fimbristylis aestivalis",0,0,0,0,0,0,"gbif"
"Fimbristylis dichotoma",0,0,0,1,0,1,"gbif"
"Fimbristylis littoralis",0,0,0,0,0,0,"gbif"
"Fimbristylis schoenoides",0,0,0,0,0,0,"gbif"
"Flacourtia indica",0,0,0,0,0,0,"danielle"
"Flemingia macrophylla",0,0,0,0,0,0,"gbif"
"Flemingia strobilifera",0,0,0,0,0,0,"caribdb"
"Flindersia brayleyana",0,0,0,0,0,0,"danielle"
"Foeniculum vulgare",0,1,0,0,0,1,"gbif"
"Fragaria ×ananassa",0,0,0,0,0,0,"danielle"
"Fragaria vesca",0,0,0,0,0,0,"gbif"
"Fragaria vesca",0,0,0,0,0,0,"caribdb"
"Fraxinus americana",0,0,0,0,0,0,"gbif"
"Fraxinus angustifolia",0,1,0,0,0,0,"gbif"
"Fraxinus caroliniana",0,0,0,0,0,0,"gbif"
"Fraxinus ornus",0,0,0,0,0,0,"gbif"
"Fraxinus pennsylvanica",0,0,0,0,0,0,"gbif"
"Fraxinus uhdei",0,0,0,0,0,0,"gbif"
"Freesia leichtlinii",0,1,0,0,0,0,"gbif"
"Fuchsia boliviana",0,0,0,0,0,0,"danielle"
"Fuchsia magellanica",0,0,0,0,0,0,"gbif"
"Fuchsia paniculata",0,0,0,0,0,0,"danielle"
"Fuirena umbellata",0,0,0,0,0,0,"gbif"
"Fumaria agraria",0,0,0,0,0,0,"gbif"
"Fumaria capreolata",0,1,0,0,0,0,"gbif"
"Fumaria officinalis",0,1,0,0,0,0,"gbif"
"Fumaria vaillantii",0,0,0,0,0,0,"gbif"
"Furcraea foetida",0,0,0,0,0,0,"danielle"
"Gaillardia pulchella",0,0,0,0,0,0,"gbif"
"Gaillardia pulchella",0,0,0,0,0,0,"caribdb"
"Galinsoga parviflora",0,1,0,0,0,0,"gbif"
"Galium aparine",0,1,0,0,0,0,"gbif"
"Gamochaeta pensylvanica",0,0,0,0,0,0,"gbif"
"Gamochaeta purpurea",0,0,0,0,0,0,"gbif"
"Gaultheria shallon",0,0,0,0,0,0,"gbif"
"Genista canariensis",0,1,0,0,0,0,"gbif"
"Geranium carolinianum",0,1,0,0,0,0,"gbif"
"Geranium dissectum",0,0,0,0,0,0,"gbif"
"Geranium maculatum",0,0,0,0,0,0,"gbif"
"Geranium molle",0,0,0,0,0,0,"gbif"
"Geranium purpureum",0,0,0,0,0,0,"gbif"
"Geranium robertianum",0,1,0,0,0,0,"gbif"
"Geranium rotundifolium",0,0,0,0,0,0,"gbif"
"Geum urbanum",0,0,0,0,0,0,"gbif"
"Gladiolus cardinalis",0,0,0,0,0,0,"gbif"
"Gladiolus communis",0,0,0,0,0,0,"gbif"
"Gladiolus undulatus",0,0,0,0,0,0,"gbif"
"Glaucium flavum",0,0,0,0,0,0,"gbif"
"Gleditsia triacanthos",0,0,0,0,0,0,"gbif"
"Glinus lotoides",0,0,0,0,0,0,"gbif"
"Gloriosa superba",0,0,0,0,0,0,"gbif"
"Glyceria maxima",0,0,0,0,0,0,"gbif"
"Glyceria striata",0,0,0,0,0,0,"gbif"
"Gmelina arborea",0,0,0,0,0,0,"gbif"
"Gmelina asiatica",0,0,0,0,0,0,"gbif"
"Gnaphalium polycaulon",0,0,0,0,0,0,"gbif"
"Gomphrena globosa",0,0,0,0,0,0,"danielle"
"Gossypium hirsutum",1,1,1,1,1,1,"gbif"
"Grateloupia turuturu",0,0,0,0,0,0,"caribdb"
"Grevillea banksii",0,0,0,0,0,0,"danielle"
"Grevillea robusta",0,0,0,0,0,0,"caribdb"
"Grewia asiatica",0,0,0,0,0,0,"gbif"
"Grewia caffra",0,0,0,0,0,0,"gbif"
"Guaiacum officinale",0,0,0,0,0,0,"danielle"
"Guazuma ulmifolia",1,0,0,1,0,1,"gbif"
"Guettarda speciosa",0,0,0,0,0,0,"gbif"
"Gypsophila paniculata",0,0,0,0,0,0,"gbif"
"Haematoxylum campechianum",1,1,1,1,0,1,"gbif"
"Haematoxylum campechianum",0,0,0,0,0,0,"caribdb"
"Halophila stipulacea",0,0,0,0,0,0,"caribdb"
"Hamamelis virginiana",0,0,0,0,0,0,"gbif"
"Hebe speciosa",0,0,0,0,0,0,"danielle"
"Hedera helix",0,1,0,0,0,0,"gbif"
"Hedychium coccineum",0,0,0,0,0,0,"gbif"
"Hedychium coccineum",0,0,0,0,0,0,"caribdb"
"Hedychium coronarium",0,0,0,0,0,0,"caribdb"
"Hedychium flavescens",0,0,0,0,0,0,"danielle"
"Hedychium gardnerianum",0,0,0,0,0,0,"caribdb"
"Heimia salicifolia",0,0,0,0,0,0,"gbif"
"Helianthus annuus",0,0,0,0,0,0,"gbif"
"Helianthus debilis",0,1,0,0,0,0,"gbif"
"Helianthus tuberosus",0,0,0,0,0,0,"gbif"
"Heliconia bihai",0,0,0,0,0,0,"danielle"
"Heliconia latispatha",0,0,0,0,0,0,"danielle"
"Heliconia metallica",0,0,0,0,0,0,"danielle"
"Heliconia psittacorum",0,0,0,0,0,0,"danielle"
"Heliocarpus popayanensis",0,0,0,0,0,0,"danielle"
"Heliotropium amplexicaule",0,0,0,0,0,0,"gbif"
"Heliotropium curassavicum",1,1,1,0,1,1,"gbif"
"Heliotropium europaeum",0,0,0,0,0,0,"gbif"
"Heliotropium indicum",1,0,1,1,0,1,"gbif"
"Hemigraphis reptans",0,0,0,0,0,0,"danielle"
"Heracleum sphondylium",0,0,0,0,0,0,"gbif"
"Heritiera littoralis",0,0,0,0,0,0,"danielle"
"Heteranthera reniformis",0,0,0,0,0,0,"gbif"
"Heterocentron subtriplinervium",0,0,0,0,0,0,"danielle"
"Heteromeles arbutifolia",0,0,0,0,0,0,"danielle"
"Heteropogon contortus",0,0,0,0,0,0,"caribdb"
"Hibiscus diversifolius",0,0,0,0,0,0,"gbif"
"Hibiscus mutabilis",0,1,0,0,0,0,"gbif"
"Hibiscus rosa-sinensis",0,0,0,1,0,1,"gbif"
"Hibiscus sabdariffa",1,0,0,0,0,0,"gbif"
"Hibiscus syriacus",0,1,0,0,0,0,"gbif"
"Hibiscus trionum",0,0,0,0,0,0,"gbif"
"Hippeastrum striatum",0,0,0,0,0,0,"danielle"
"Hiptage benghalensis",0,0,0,0,0,0,"danielle"
"Holcus lanatus",0,0,0,0,0,0,"gbif"
"Holcus mollis",0,0,0,0,0,0,"gbif"
"Hordeum brachyantherum",0,0,0,0,0,0,"gbif"
"Hordeum bulbosum",0,0,0,0,0,0,"gbif"
"Hordeum jubatum",0,0,0,0,0,0,"gbif"
"Hordeum murinum",0,0,0,0,0,0,"gbif"
"Hordeum pusillum",0,1,0,0,0,0,"gbif"
"Hordeum secalinum",0,0,0,0,0,0,"gbif"
"Hordeum vulgare",0,1,0,0,0,0,"gbif"
"Houttuynia cordata",0,0,0,0,0,0,"danielle"
"Hovenia dulcis",0,0,0,0,0,0,"gbif"
"Hoya australis",0,0,0,0,0,0,"danielle"
"Humulus lupulus",0,0,0,0,0,0,"gbif"
"Hura crepitans",1,0,0,0,0,0,"gbif"
"Hydrilla verticillata",0,0,0,0,0,0,"caribdb"
"Hydrocleys nymphoides",0,0,0,0,0,0,"gbif"
"Hydrocotyle bonariensis",0,0,0,0,0,0,"gbif"
"Hydrocotyle sibthorpioides",0,0,0,0,0,0,"gbif"
"Hydrocotyle umbellata",0,0,0,0,0,0,"gbif"
"Hydrocotyle verticillata",0,1,0,0,0,0,"gbif"
"Hydrolea spinosa",0,0,0,0,0,0,"gbif"
"Hylocereus costaricensis",0,0,0,0,0,0,"danielle"
"Hylocereus undatus",0,1,0,0,0,0,"gbif"
"Hymenachne amplexicaulis",0,0,0,0,0,0,"gbif"
"Hyoscyamus niger",0,0,0,0,0,0,"gbif"
"Hyparrhenia hirta",0,0,0,0,0,0,"gbif"
"Hyparrhenia rufa",0,0,0,0,0,0,"gbif"
"Hyparrhenia rufa",0,0,0,0,0,0,"caribdb"
"Hypericum calycinum",0,0,0,0,0,0,"gbif"
"Hypericum perforatum",0,0,0,0,0,0,"gbif"
"Hypochaeris glabra",0,0,0,0,0,0,"gbif"
"Hypochaeris radicata",0,0,0,0,0,0,"gbif"
"Hypoestes phyllostachya",0,0,0,0,0,0,"gbif"
"Hyptis brevipes",0,0,0,0,0,0,"gbif"
"Hyptis capitata",1,0,0,1,0,1,"gbif"
"Hyptis lanceolata",0,0,0,0,0,0,"gbif"
"Iberis amara",0,0,0,0,0,0,"gbif"
"Iberis semperflorens",0,0,0,0,0,0,"gbif"
"Iberis sempervirens",0,0,0,0,0,0,"gbif"
"Ilex aquifolium",0,0,0,0,0,0,"gbif"
"Ilex cassine",0,0,0,0,0,0,"danielle"
"Ilex paraguariensis",0,0,0,0,0,0,"danielle"
"Ilex vomitoria",0,1,0,0,0,0,"gbif"
"Illecebrum verticillatum",0,0,0,0,0,0,"gbif"
"Impatiens balsamina",0,0,0,0,0,0,"gbif"
"Impatiens capensis",0,0,0,0,0,0,"gbif"
"Impatiens glandulifera",0,0,0,0,0,0,"gbif"
"Impatiens noli-tangere",0,0,0,0,0,0,"gbif"
"Impatiens sodenii",0,0,0,0,0,0,"danielle"
"Impatiens walleriana",0,0,0,0,0,0,"danielle"
"Imperata brasiliensis",0,1,0,0,0,0,"gbif"
"Indigofera hirsuta",0,0,0,0,0,0,"gbif"
"Indigofera jamaicensis",0,0,0,0,0,0,"gbif"
"Indigofera jamaicensis",0,0,0,0,0,0,"caribdb"
"Indigofera spicata",0,0,0,0,0,0,"gbif"
"Indigofera suffruticosa",1,1,0,1,0,1,"gbif"
"Indigofera tinctoria",1,0,1,1,1,1,"gbif"
"Ipomoea alba",0,1,0,0,0,0,"gbif"
"Ipomoea aquatica",0,0,0,0,0,0,"gbif"
"Ipomoea aquatica",0,0,0,0,0,0,"caribdb"
"Ipomoea batatas",1,0,1,0,0,0,"gbif"
"Ipomoea cairica",0,0,0,0,0,0,"gbif"
"Ipomoea carnea",0,0,0,1,0,0,"gbif"
"Ipomoea hederacea",0,0,0,1,0,0,"gbif"
"Ipomoea hederifolia",1,0,0,1,0,0,"gbif"
"Ipomoea indica",0,1,1,1,0,1,"gbif"
"Ipomoea lacunosa",0,0,0,0,0,0,"gbif"
"Ipomoea nil",1,0,0,1,0,0,"gbif"
"Ipomoea obscura",0,0,0,0,0,0,"danielle"
"Ipomoea ochracea",0,0,0,0,0,0,"danielle"
"Ipomoea purpurea",1,1,0,0,0,0,"gbif"
"Ipomoea quamoclit",1,0,0,1,0,0,"gbif"
"Ipomoea tricolor",0,0,0,0,0,0,"gbif"
"Ipomoea triloba",1,0,1,0,1,1,"gbif"
"Ipomoea violacea",0,0,1,0,1,0,"gbif"
"Iresine rhizomatosa",0,0,0,0,0,0,"gbif"
"Iris germanica",0,1,0,0,0,0,"gbif"
"Iris orientalis",0,0,0,0,0,0,"gbif"
"Isachne globosa",0,0,0,0,0,0,"gbif"
"Ischaemum aristatum",0,0,0,0,0,0,"gbif"
"Ischaemum barbatum",0,0,0,0,0,0,"gbif"
"Ischaemum rugosum",0,0,0,0,0,0,"gbif"
"Ischaemum rugosum",0,0,0,0,0,0,"caribdb"
"Ischaemum timorense",0,0,0,0,0,0,"gbif"
"Jacaranda mimosifolia ",0,0,0,0,0,0,"danielle"
"Jacquemontia tamnifolia",1,0,0,0,0,0,"gbif"
"Jasione montana",0,0,0,0,0,0,"gbif"
"Jasminum dichotomum",0,0,0,0,0,0,"gbif"
"Jasminum fluminense",1,0,1,0,1,1,"gbif"
"Jasminum fluminense",0,0,0,0,0,0,"caribdb"
"Jasminum mesnyi",0,1,0,0,0,0,"gbif"
"Jasminum sambac",0,1,0,0,0,0,"gbif"
"Jasminum sambac",0,0,0,0,0,0,"caribdb"
"Jatropha curcas",1,0,0,1,0,0,"gbif"
"Jatropha gossypiifolia",1,0,0,1,1,1,"gbif"
"Jatropha podagrica",0,0,0,0,0,0,"gbif"
"Juglans cinerea",0,0,0,0,0,0,"gbif"
"Juglans nigra",0,1,0,0,0,0,"gbif"
"Juglans regia",0,1,0,0,0,0,"gbif"
"Juncus acuminatus",0,0,0,0,0,0,"gbif"
"Juncus acutus",0,1,0,0,0,0,"gbif"
"Juncus articulatus",0,0,0,0,0,0,"gbif"
"Juncus balticus",0,0,0,0,0,0,"gbif"
"Juncus bufonius",0,1,0,0,0,0,"gbif"
"Juncus capillaceus",0,0,0,0,0,0,"gbif"
"Juncus effusus",0,0,0,0,0,0,"gbif"
"Juncus imbricatus",0,0,0,0,0,0,"gbif"
"Juncus marginatus",0,1,0,0,0,0,"gbif"
"Juncus maritimus",0,1,0,0,0,0,"gbif"
"Juncus microcephalus",0,0,0,0,0,0,"gbif"
"Juncus roemerianus",0,0,0,0,0,0,"gbif"
"Juncus tenuis",0,0,0,0,0,0,"gbif"
"Juniperus communis",0,0,0,0,0,0,"gbif"
"Juniperus virginiana",0,1,0,0,0,0,"gbif"
"Justicia betonica",0,0,0,0,0,0,"gbif"
"Kalanchoe pinnata",1,1,1,1,1,1,"gbif"
"Kalimeris indica",0,0,0,0,0,0,"danielle"
"Kallstroemia maxima",1,0,1,0,1,1,"gbif"
"Kickxia elatine",0,1,0,0,0,0,"gbif"
"Kleinhovia hospita",0,0,0,0,0,0,"danielle"
"Koelreuteria elegans",0,0,0,0,0,0,"danielle"
"Kniphofia uvaria",0,0,0,0,0,0,"gbif"
"Lablab purpureus",0,0,0,0,0,0,"danielle"
"Lactuca canadensis",0,0,0,0,0,0,"gbif"
"Lactuca sativa",0,0,0,0,0,0,"gbif"
"Lactuca serriola",0,0,0,0,0,0,"gbif"
"Lactuca virosa",0,0,0,0,0,0,"gbif"
"Lagascea mollis",1,0,0,0,0,0,"gbif"
"Lagerstroemia indica",0,1,1,0,0,0,"gbif"
"Lagurus ovatus",0,0,0,0,0,0,"gbif"
"Lamium amplexicaule",0,1,0,0,0,0,"gbif"
"Lamium maculatum",0,0,0,0,0,0,"gbif"
"Landoltia punctata",0,0,0,0,0,0,"danielle"
"Lantana camara",1,1,1,1,1,1,"gbif"
"Lantana camara",0,1,0,0,0,0,"caribdb"
"Lantana montevidensis",0,1,0,0,0,0,"gbif"
"Lapsana communis",0,0,0,0,0,0,"gbif"
"Larix decidua",0,0,0,0,0,0,"gbif"
