acceptedname,authority,uri,AI,BM,KY,MS,VG,TC,TC_discrep
Allionia incarnata,L.,http://www.tropicos.org/Name/22500001,0,0,0,0,0,0,0
Allium ampeloprasum,L.,http://www.tropicos.org/Name/18400005,0,0,0,0,0,0,0
Allium canadense,L.,http://www.tropicos.org/Name/18401640,0,0,0,0,0,0,0
Allium cepa,L.,http://www.tropicos.org/Name/18401646,0,0,0,0,0,0,0
Alnus glutinosa,(L.) Gaertn.,http://www.tropicos.org/Name/3600001,0,0,0,0,0,0,0
Aloe arborescens,Mill.,http://www.tropicos.org/Name/18400127,0,0,0,0,0,0,0
Aloe vera,(L.) Burm. f.,http://www.tropicos.org/Name/18403421,0,0,0,0,0,1,-1
Alopecurus aequalis,Sobol.,http://www.tropicos.org/Name/25504105,0,0,0,0,0,0,0
Alopecurus geniculatus,L.,http://www.tropicos.org/Name/25504250,0,0,0,0,0,0,0
Alopecurus pratensis,L.,http://www.tropicos.org/Name/25504391,0,0,0,0,0,0,0
Aloysia citriodora,Palau,http://www.tropicos.org/Name/50069454,0,0,0,0,0,0,0
Alpinia mutica,Roxb.,http://www.tropicos.org/Name/50136125,0,0,0,0,0,0,0
Alpinia nigra,(Gaertn.) B.L. Burtt,http://www.tropicos.org/Name/50152524,0,0,0,0,0,0,0
Alpinia purpurata,(Vieill.) K. Schum.,http://www.tropicos.org/Name/34500164,0,0,0,0,0,0,0
Alstonia macrophylla,Wall. ex G. Don,http://www.tropicos.org/Name/1805828,0,0,0,0,0,0,0
Alstroemeria aurea,Graham,http://www.tropicos.org/Name/50122539,0,0,0,0,0,0,0
Alternanthera philoxeroides,(Mart.) Griseb.,http://www.tropicos.org/Name/1100413,0,0,0,0,0,0,0
Alternanthera pungens,Kunth,http://www.tropicos.org/Name/1100414,0,0,0,0,0,0,0
Alysicarpus vaginalis,(L.) DC.,http://www.tropicos.org/Name/13046211,0,0,0,0,0,0,0
Amaranthus albus,L.,http://www.tropicos.org/Name/1100002,0,0,0,0,0,0,0
Amaranthus bouchonii,Thell.,http://www.tropicos.org/Name/1100003,0,0,0,0,0,0,0
Amaranthus caudatus,L.,http://www.tropicos.org/Name/1100004,1,0,0,0,0,0,0
Amaranthus cruentus,L.,http://www.tropicos.org/Name/1100428,1,0,0,0,0,0,0
Amaranthus deflexus,L.,http://www.tropicos.org/Name/1100429,0,0,0,0,0,0,0
Amaranthus dubius,Mart. ex Thell.,http://www.tropicos.org/Name/1100005,1,0,1,0,0,0,0
Amaranthus hybridus,L.,http://www.tropicos.org/Name/1100008,0,1,0,0,0,0,1
Amaranthus retroflexus,L.,http://www.tropicos.org/Name/1100012,0,0,0,0,0,0,0
Amaranthus spinosus,L.,http://www.tropicos.org/Name/1100013,1,0,0,1,1,0,0
Amaranthus thunbergii,Moq.,http://www.tropicos.org/Name/1100944,0,0,0,0,0,0,0
Amaranthus tricolor,L.,http://www.tropicos.org/Name/1100014,0,0,0,0,1,0,0
Amaryllis belladonna,L.,http://www.tropicos.org/Name/1200004,1,1,0,0,0,0,0
Ambrosia artemisiifolia,L.,http://www.tropicos.org/Name/2701648,1,1,0,0,0,0,0
Ambrosia confertiflora,DC.,http://www.tropicos.org/Name/2701649,0,0,0,0,0,0,0
Ambrosia psilostachya,DC.,http://www.tropicos.org/Name/2701652,0,0,0,0,0,0,0
Ambrosia tenuifolia,Spreng.,http://www.tropicos.org/Name/2701653,0,0,0,0,0,0,0
Ammannia auriculata,Willd.,http://www.tropicos.org/Name/19200014,0,0,0,0,0,0,0
Ammannia baccifera,L.,http://www.tropicos.org/Name/19200231,0,0,0,0,0,0,0
Ammannia coccinea,Rottb.,http://www.tropicos.org/Name/19200303,1,0,0,0,1,1,0
Ammi majus,L.,http://www.tropicos.org/Name/1700290,0,1,0,0,0,0,0
Anacardium occidentale,L.,http://www.tropicos.org/Name/1300006,1,0,0,1,1,0,0
Ananas comosus,(L.) Merr.,http://www.tropicos.org/Name/4300877,0,0,0,0,1,0,0
Anchusa officinalis,L.,http://www.tropicos.org/Name/4000008,0,0,0,0,0,0,0
Andropogon bicornis,L.,http://www.tropicos.org/Name/25513250,0,0,0,1,1,0,0
Andropogon distachyos,L.,http://www.tropicos.org/Name/25505144,0,0,0,0,0,0,0
Andropogon gayanus,Kunth,http://www.tropicos.org/Name/25505300,0,0,0,0,0,0,0
Andropogon glomeratus,"(Walter) Britton, Sterns & Poggenb.",http://www.tropicos.org/Name/25505346,0,1,1,0,0,1,0
Andropogon lateralis,Nees,http://www.tropicos.org/Name/25505572,0,0,0,0,0,0,0
