acceptedname,authority,uri,AI,BM,KY,MS,VG,TC,TC_discrep
Cardamine pensylvanica,Muhl. ex Willd.,http://www.tropicos.org/Name/4100100,0,0,0,0,0,0,0
Cardiospermum grandiflorum,Sw.,http://www.tropicos.org/Name/28600003,1,1,0,0,0,0,0
Cardiospermum halicacabum,L.,http://www.tropicos.org/Name/28600004,0,0,1,0,0,1,0
Carduus nutans,L.,http://www.tropicos.org/Name/2702008,0,0,0,0,0,0,0
Carex divulsa,Stokes,http://www.tropicos.org/Name/9904331,0,0,0,0,0,0,0
Carex flacca,Schreb.,http://www.tropicos.org/Name/9900175,0,0,0,0,0,0,0
Carex lupulina,Muhl. ex Willd.,http://www.tropicos.org/Name/9901628,0,0,0,0,0,0,0
Carica papaya,L.,http://www.tropicos.org/Name/6100032,0,1,0,1,0,1,0
Carmona microphylla,(Lam.) G. Don,http://www.tropicos.org/Name/4003160,0,0,0,0,0,0,0
Carpinus caroliniana,Walter,http://www.tropicos.org/Name/3600080,0,0,0,0,0,0,0
Carthamus tinctorius,L.,http://www.tropicos.org/Name/2700365,0,0,0,0,1,0,0
Carum carvi,L.,http://www.tropicos.org/Name/1700044,0,0,0,0,0,0,0
Caryota mitis,Lour.,http://www.tropicos.org/Name/2401065,0,0,0,0,0,1,-1
Caryota urens,L.,http://www.tropicos.org/Name/2401122,0,0,0,0,0,1,-1
Cassia fistula,L.,http://www.tropicos.org/Name/13028064,1,1,0,0,0,1,-1
Cassia javanica,L.,http://www.tropicos.org/Name/13028161,0,1,0,0,0,0,0
Cassytha filiformis,L.,http://www.tropicos.org/Name/17800538,1,0,1,0,0,1,0
Castilla elastica,Sessé,http://www.tropicos.org/Name/21300578,0,0,0,0,0,0,0
Casuarina cristata,Miq.,http://www.tropicos.org/Name/6400001,0,0,0,0,0,0,0
Casuarina cunninghamiana,Miq.,http://www.tropicos.org/Name/6400005,0,0,0,0,0,0,0
Casuarina equisetifolia,L.,http://www.tropicos.org/Name/6400006,1,1,1,0,1,1,0
Casuarina glauca,Sieber ex Spreng.,http://www.tropicos.org/Name/6400003,0,0,0,0,0,0,0
Catharanthus roseus,(L.) G. Don,http://www.tropicos.org/Name/1800007,0,0,0,0,0,1,-1
Ceanothus thyrsiflorus,Eschsch.,http://www.tropicos.org/Name/27500293,0,0,0,0,0,0,0
Cecropia obtusifolia,Bertol.,http://www.tropicos.org/Name/21300586,0,0,0,0,0,0,0
Cecropia peltata,L.,http://www.tropicos.org/Name/21300477,1,0,0,0,0,0,0
Cedrela odorata,L.,http://www.tropicos.org/Name/20400353,0,1,1,1,0,0,0
Celosia argentea,L.,http://www.tropicos.org/Name/1100326,1,0,0,0,0,1,-1
Celosia argentea,L.,http://www.tropicos.org/Name/1100326,0,0,0,0,0,0,0
Celosia trigyna,L.,http://www.tropicos.org/Name/1100328,0,0,0,0,0,0,0
Celtis australis,L.,http://www.tropicos.org/Name/33300008,0,0,0,0,0,0,0
Celtis laevigata,Willd.,http://www.tropicos.org/Name/33300075,0,1,0,0,0,0,0
Cenchrus biflorus,Roxb.,http://www.tropicos.org/Name/25509432,0,0,0,0,0,0,0
Cenchrus brownii,Roem. & Schult.,http://www.tropicos.org/Name/25513328,0,0,1,0,0,0,1
Cenchrus caliculatus,Cav.,http://www.tropicos.org/Name/25528224,0,0,0,0,0,0,0
Cenchrus ciliaris,L.,http://www.tropicos.org/Name/25509433,0,0,0,0,0,0,0
Cenchrus ciliaris,L.,http://www.tropicos.org/Name/25509433,0,0,0,0,0,1,-1
Cenchrus echinatus,L.,http://www.tropicos.org/Name/25513329,1,1,1,1,1,0,1
Cenchrus gracillimus,Nash,http://www.tropicos.org/Name/25518784,1,0,0,0,0,0,1
Cenchrus setaceus,(Forssk.) Morrone,http://www.tropicos.org/Name/100359381,0,0,0,0,0,1,-1
Cenchrus tribuloides,L.,http://www.tropicos.org/Name/25511773,0,1,1,0,0,1,0
Centaurea cineraria,L.,http://www.tropicos.org/Name/2702140,0,0,0,0,0,0,0
Centaurea cyanus,L.,http://www.tropicos.org/Name/2700409,0,0,0,0,0,0,0
Centaurea diffusa,Lam.,http://www.tropicos.org/Name/2700419,0,0,0,0,0,0,0
Centaurium erythraea,Rafn,http://www.tropicos.org/Name/13800005,0,0,0,0,0,0,0
Centaurium pulchellum,(Sw.) Druce,http://www.tropicos.org/Name/13800007,0,1,0,0,0,0,0
Centranthus macrosiphon,Boiss.,http://www.tropicos.org/Name/33500033,0,1,0,0,0,0,0
Centratherum punctatum,Cass.,http://www.tropicos.org/Name/2702241,0,0,0,0,1,0,0
Centrosema pascuorum,Mart. ex Benth.,http://www.tropicos.org/Name/13008066,0,0,0,0,0,0,0
Centrosema pubescens,Benth.,http://www.tropicos.org/Name/13008071,1,0,0,0,0,0,0
Cephalanthus occidentalis,L.,http://www.tropicos.org/Name/27900153,0,0,0,0,0,0,0
Cerastium arvense,L.,http://www.tropicos.org/Name/6300045,0,0,0,0,0,0,0
Cerastium fontanum,Baumg.,http://www.tropicos.org/Name/6300053,0,0,0,0,0,0,0
Cerastium glomeratum,Thuill.,http://www.tropicos.org/Name/6300055,0,1,0,0,0,0,0
Ceratonia siliqua,L.,http://www.tropicos.org/Name/13028551,0,0,0,0,0,0,0
Ceratophyllum demersum,L.,http://www.tropicos.org/Name/7000001,0,0,0,0,0,0,0
Ceratopteris pteridoides,(Hook.) Hieron.,http://www.tropicos.org/Name/26601984,0,0,0,0,0,0,0
Ceratopteris thalictroides,(L.) Brongn.,http://www.tropicos.org/Name/26600076,0,0,0,0,0,0,0
Cercis canadensis,L.,http://www.tropicos.org/Name/13028557,0,0,0,0,0,0,0
Cercis siliquastrum,L.,http://www.tropicos.org/Name/13028565,0,1,0,0,0,0,0
Cereus jamacaru,DC.,http://www.tropicos.org/Name/5103572,0,0,0,0,0,1,-1
Cereus uruguayanus,R. Kiesling,http://www.tropicos.org/Name/50176754,0,0,0,0,0,0,0
Cestrum aurantiacum,Lindl.,http://www.tropicos.org/Name/29602084,0,0,0,0,0,0,0
Cestrum diurnum,L.,http://www.tropicos.org/Name/29600165,0,0,1,0,1,0,0
Cestrum laevigatum,Schltdl.,http://www.tropicos.org/Name/29600545,0,0,0,0,0,0,0
Cestrum nocturnum,L.,http://www.tropicos.org/Name/29602426,0,1,0,0,0,0,0
Chamaecrista rotundifolia,(Pers.) Greene,http://www.tropicos.org/Name/13044964,0,0,0,0,0,0,0
Chamaedorea cataractarum,Mart.,http://www.tropicos.org/Name/2400748,0,0,0,0,0,0,0
Chamaedorea seifrizii,Burret,http://www.tropicos.org/Name/2401388,0,0,0,0,0,0,0
Chelidonium majus,L.,http://www.tropicos.org/Name/24000159,0,0,0,0,0,0,0
Chenopodium album,L.,http://www.tropicos.org/Name/7200019,1,0,1,1,1,0,1
Chenopodium berlandieri,Moq.,http://www.tropicos.org/Name/7200024,0,0,0,0,0,0,0
Chloris gayana,Kunth,http://www.tropicos.org/Name/25520943,0,0,0,0,0,0,0
Chloris virgata,Sw.,http://www.tropicos.org/Name/25510863,1,0,0,0,0,0,0
Chlorophytum comosum,(Thunb.) Jacques,http://www.tropicos.org/Name/18400554,0,0,0,0,0,0,0
Choisya ternata,Kunth,http://www.tropicos.org/Name/50149356,0,0,0,0,0,0,0
Chrysophyllum cainito,L.,http://www.tropicos.org/Name/28700679,0,0,0,0,0,0,0
Chrysophyllum mexicanum,Brandegee ex Standl.,http://www.tropicos.org/Name/28700191,0,0,0,0,0,0,0
Chrysophyllum oliviforme,L.,http://www.tropicos.org/Name/28700676,0,0,0,0,0,1,-1
Chrysopogon aciculatus,(Retz.) Trin.,http://www.tropicos.org/Name/25513332,0,0,0,0,0,0,0
Cicer arietinum,L.,http://www.tropicos.org/Name/13045294,0,0,0,0,0,0,0
Cichorium endivia,L.,http://www.tropicos.org/Name/2709789,0,0,0,0,0,0,0
Cichorium intybus,L.,http://www.tropicos.org/Name/2702287,0,1,0,0,0,0,0
Cicuta maculata,L.,http://www.tropicos.org/Name/1700056,0,0,0,0,0,0,0
Cinchona pubescens,Vahl,http://www.tropicos.org/Name/27900681,0,0,0,0,0,0,0
Cinnamomum burmannii,(Nees & T. Nees) Blume,http://www.tropicos.org/Name/17804456,0,0,0,0,0,0,0
Cinnamomum camphora,(L.) J. Presl,http://www.tropicos.org/Name/17805257,0,0,0,0,0,0,0
Cinnamomum verum,J. Presl,http://www.tropicos.org/Name/17800682,0,0,0,0,0,0,0
Cirsium arvense,(L.) Scop.,http://www.tropicos.org/Name/2700565,0,0,0,0,0,0,0
Cirsium horridulum,Michx.,http://www.tropicos.org/Name/2709815,0,0,0,0,0,0,0
Cirsium vulgare,(Savi) Ten.,http://www.tropicos.org/Name/2700598,0,0,0,0,0,0,0
Cissampelos pareira,L.,http://www.tropicos.org/Name/20600001,0,0,1,1,0,0,0
Cissus incisa,Des Moul.,http://www.tropicos.org/Name/34000219,0,0,0,0,0,0,0
Cissus quadrangularis,L.,http://www.tropicos.org/Name/34000137,0,0,0,0,0,1,-1
Cissus rotundifolia,(Forssk.) Vahl,http://www.tropicos.org/Name/34000298,0,0,0,0,0,0,0
Citharexylum caudatum,L.,http://www.tropicos.org/Name/33700901,0,0,0,0,0,0,0
Citharexylum spinosum,L.,http://www.tropicos.org/Name/33702788,1,1,1,1,1,0,1
Citrullus lanatus,(Thunb.) Matsum. & Nakai,http://www.tropicos.org/Name/9201087,0,0,1,0,0,0,0
Citrus aurantiifolia,(Christm.) Swingle,http://www.tropicos.org/Name/50119437,1,0,0,1,0,1,-1
Citrus aurantium,L.,http://www.tropicos.org/Name/28100388,1,1,0,0,0,1,0
Citrus medica,L.,http://www.tropicos.org/Name/28100004,0,1,0,1,0,0,0
Cladium mariscus,(L.) Pohl,http://www.tropicos.org/Name/9910517,0,1,1,0,0,1,0
Clematis virginiana,L.,http://www.tropicos.org/Name/27100351,0,0,0,0,0,0,0
Clematis vitalba,L.,http://www.tropicos.org/Name/27100078,0,0,0,0,0,0,0
Cleome rutidosperma,DC.,http://www.tropicos.org/Name/5900006,0,0,0,0,1,0,0
Clerodendrum buchananii,(Roxb.) Walp.,http://www.tropicos.org/Name/100169415,0,0,0,0,0,0,0
Clerodendrum macrostegium,Schauer,TNRS,0,0,0,0,0,0,0
Clerodendrum paniculatum,L.,http://www.tropicos.org/Name/33701120,0,0,0,0,0,0,0
Clerodendrum quadriloculare,(Blanco) Merr.,http://www.tropicos.org/Name/50184488,0,0,0,0,0,0,0
Clerodendrum thomsoniae,Balf.,http://www.tropicos.org/Name/33700670,0,1,0,0,0,0,0
Clitoria fairchildiana,R.A. Howard,http://www.tropicos.org/Name/13002231,0,0,0,0,0,0,0
Clitoria laurifolia,Poir.,http://www.tropicos.org/Name/13008196,0,0,0,0,0,0,0
Clitoria ternatea,L.,http://www.tropicos.org/Name/13028697,1,0,1,1,1,1,-1
Clusia rosea,Jacq.,http://www.tropicos.org/Name/7800689,0,0,0,0,0,1,-1
Cobaea scandens,Cav.,http://www.tropicos.org/Name/25800525,0,0,0,0,0,0,0
Coccinia grandis,(L.) Voigt,http://www.tropicos.org/Name/9200002,0,0,0,0,0,0,0
Coccoloba acapulcensis,Standl.,http://www.tropicos.org/Name/26001039,0,0,0,0,0,0,0
Coccoloba uvifera,(L.) L.,http://www.tropicos.org/Name/26001004,0,0,0,0,0,1,-1
Cocos nucifera,L.,http://www.tropicos.org/Name/2400007,1,0,0,0,1,1,0
Coffea arabica,L.,http://www.tropicos.org/Name/27900016,1,1,0,0,0,0,0
Coffea liberica,W. Bull ex Hiern,http://www.tropicos.org/Name/27900018,0,0,0,0,0,0,0
Colchicum autumnale,L.,http://www.tropicos.org/Name/18401617,0,0,0,0,0,0,0
Colubrina asiatica,(L.) Brongn.,http://www.tropicos.org/Name/27500303,0,0,1,0,0,0,0
Combretum paniculatum,Vent.,http://www.tropicos.org/Name/8200363,0,0,0,0,0,0,0
Commelina benghalensis,L.,http://www.tropicos.org/Name/8300281,0,0,0,0,0,0,0
Commelina communis,L.,http://www.tropicos.org/Name/8300033,1,0,0,0,0,1,-1
Commelina subulata,Roth,http://www.tropicos.org/Name/8300488,0,0,0,0,0,0,0
Conium maculatum,L.,http://www.tropicos.org/Name/1700063,0,0,0,0,0,0,0
Conocarpus erectus,L.,TNRS,0,0,0,0,0,1,-1
Convolvulus arvensis,L.,http://www.tropicos.org/Name/8500005,0,0,0,0,0,0,0
Corchorus aestuans,L.,http://www.tropicos.org/Name/32200001,0,0,0,0,1,0,1
Corchorus olitorius,L.,http://www.tropicos.org/Name/32200006,0,0,0,0,0,0,0
Cordia dichotoma,G. Forst.,http://www.tropicos.org/Name/4001256,0,0,0,0,0,0,0
Cordia sebestena,L.,http://www.tropicos.org/Name/4000805,1,1,1,1,1,1,0
Coreopsis lanceolata,L.,http://www.tropicos.org/Name/2702330,0,1,0,0,0,0,0
Coreopsis tinctoria,Nutt.,http://www.tropicos.org/Name/2700615,0,0,0,0,0,0,0
Coriandrum sativum,L.,http://www.tropicos.org/Name/1700064,0,0,0,0,0,1,-1
Cornus florida,L.,http://www.tropicos.org/Name/8700057,0,0,0,0,0,0,0
Cortaderia jubata,(Lemoine) Stapf,http://www.tropicos.org/Name/25514968,0,0,0,0,0,0,0
Cortaderia selloana,(Schult. & Schult. f.) Asch. & Graebn.,http://www.tropicos.org/Name/25509455,0,0,0,0,0,0,0
Corynandra viscosa,(L.) Cochrane & Iltis,http://www.tropicos.org/Name/100385616,0,0,0,0,0,0,0
Cosmos bipinnatus,Cav.,http://www.tropicos.org/Name/2700619,0,0,0,0,0,0,0
Cosmos caudatus,Kunth,http://www.tropicos.org/Name/2704081,1,0,1,1,1,0,0
Cosmos sulphureus,Cav.,http://www.tropicos.org/Name/2702337,0,0,0,1,0,0,0
Costus pulverulentus,C. Presl,http://www.tropicos.org/Name/34500176,0,0,0,0,0,0,0
Cotoneaster franchetii,Bois,http://www.tropicos.org/Name/27801494,0,0,0,0,0,0,0
Cotoneaster pannosus,Franch.,http://www.tropicos.org/Name/27801811,0,0,0,0,0,0,0
Cotula coronopifolia,L.,http://www.tropicos.org/Name/2700621,0,0,0,0,0,0,0
Crassula multicava,Lem.,http://www.tropicos.org/Name/8900822,0,0,0,0,0,0,0
Crassula ovata,(Mill.) Druce,http://www.tropicos.org/Name/8900902,0,0,0,0,0,0,0
Crassula spathulata,Thunb.,http://www.tropicos.org/Name/8901067,0,0,0,0,0,0,0
Crataegus monogyna,Jacq.,http://www.tropicos.org/Name/27800045,0,0,0,0,0,0,0
Crepis capillaris,(L.) Wallr.,http://www.tropicos.org/Name/2700628,0,0,0,0,0,0,0
Crepis occidentalis,Nutt.,http://www.tropicos.org/Name/2709914,0,0,0,1,0,0,0
Crepis vesicaria,L.,http://www.tropicos.org/Name/2700656,0,0,0,0,0,0,0
Crescentia cujete,L.,http://www.tropicos.org/Name/3700574,1,0,1,0,0,1,-1
Crossandra infundibuliformis,(L.) Nees,http://www.tropicos.org/Name/100032,0,0,0,0,0,0,0
Crotalaria agatiflora,Schweinf.,http://www.tropicos.org/Name/13022792,0,0,0,0,0,0,0
Crotalaria goreensis,Guill. & Perr.,http://www.tropicos.org/Name/13029192,0,0,0,0,0,0,0
Crotalaria incana,L.,http://www.tropicos.org/Name/13029234,1,0,0,0,0,0,0
Crotalaria juncea,L.,http://www.tropicos.org/Name/13029244,0,0,0,0,0,0,0
Crotalaria laburnifolia,L.,http://www.tropicos.org/Name/13029248,0,0,0,0,0,0,0
Crotalaria longirostrata,Hook. & Arn.,http://www.tropicos.org/Name/13029284,0,0,0,0,0,0,0
Crotalaria micans,Link,http://www.tropicos.org/Name/13029325,0,0,0,1,0,0,0
Crotalaria pallida,Aiton,http://www.tropicos.org/Name/13048536,0,0,0,0,0,0,0
Crotalaria retusa,L.,http://www.tropicos.org/Name/13029476,1,1,1,0,1,0,0
Crotalaria sagittalis,L.,http://www.tropicos.org/Name/13029494,0,0,0,0,0,0,0
Crotalaria spectabilis,Roth,http://www.tropicos.org/Name/13029531,0,0,0,0,0,0,0
Crotalaria virgulata,Klotzsch,http://www.tropicos.org/Name/13029627,0,0,0,0,0,0,0
Croton glandulosus,L.,http://www.tropicos.org/Name/12802347,0,0,0,0,0,0,0
Croton monanthogynus,Michx.,http://www.tropicos.org/Name/12804806,0,1,0,0,0,0,0
Cryptostegia grandiflora,R. Br.,http://www.tropicos.org/Name/2600099,0,0,0,0,0,1,-1
Cryptostegia madagascariensis,Bojer ex Decne.,http://www.tropicos.org/Name/2603959,0,0,1,0,0,1,-1
Cryptotaenia canadensis,(L.) DC.,http://www.tropicos.org/Name/1700067,0,0,1,0,0,0,0
Cucumis anguria,L.,http://www.tropicos.org/Name/9200598,0,0,1,0,0,0,0
Cucumis dipsaceus,Ehrenb. ex Spach,http://www.tropicos.org/Name/9201730,0,0,0,0,1,0,0
Cucumis melo,L.,http://www.tropicos.org/Name/9200439,0,0,0,0,0,0,0
Cucurbita maxima,Duchesne,http://www.tropicos.org/Name/50172465,0,0,0,0,0,1,-1
Cucurbita pepo,L.,http://www.tropicos.org/Name/9200564,0,0,0,0,0,1,-1
Cupaniopsis anacardioides,Radlk.,http://www.tropicos.org/Name/50004584,0,0,0,0,0,0,0
Cuphea hyssopifolia,Kunth,http://www.tropicos.org/Name/19200091,0,0,0,0,0,0,0
Cupressus sempervirens,L.,http://www.tropicos.org/Name/9400073,0,1,0,0,0,0,0
Curcuma longa,L.,http://www.tropicos.org/Name/34500029,0,0,0,0,0,0,0
Cuscuta americana,L.,http://www.tropicos.org/Name/8500652,1,0,0,1,1,1,0
Cuscuta epithymum,(L.) L.,http://www.tropicos.org/Name/8500035,0,0,0,0,0,0,0
Cuscuta indecora,Choisy,http://www.tropicos.org/Name/8500687,0,0,0,0,0,0,0
Cuscuta palaestina,Boiss.,http://www.tropicos.org/Name/50189058,0,0,0,0,0,0,0
Cuscuta pentagona,Engelm.,http://www.tropicos.org/Name/8500698,0,0,0,0,0,0,0
Cuscuta umbellata,Kunth,http://www.tropicos.org/Name/8501559,0,0,0,0,1,0,1
Cydonia oblonga,Mill.,http://www.tropicos.org/Name/27801567,0,0,0,0,0,0,0
Cynara cardunculus,L.,http://www.tropicos.org/Name/2723017,0,0,0,0,0,0,0
Cynara scolymus,L.,http://www.tropicos.org/Name/2700661,0,0,0,0,0,0,0
Cynodon dactylon,(L.) Pers.,http://www.tropicos.org/Name/25509471,0,0,0,0,0,1,-1
Cynodon nlemfuensis,Vanderyst,http://www.tropicos.org/Name/25515248,0,0,0,0,0,0,0
Cynodon radiatus,Roth,http://www.tropicos.org/Name/50119960,0,0,0,0,0,0,0
Cynoglossum lanceolatum,Forssk.,http://www.tropicos.org/Name/4000111,0,0,0,0,0,0,0
Cynoglossum officinale,L.,http://www.tropicos.org/Name/4000021,0,0,0,0,0,0,0
Cynosurus cristatus,L.,http://www.tropicos.org/Name/25509475,1,0,0,0,0,0,0
Cynosurus echinatus,L.,http://www.tropicos.org/Name/25510897,0,0,0,0,0,0,0
Cyperus alopecuroides,Rottb.,http://www.tropicos.org/Name/9910145,0,0,0,1,0,0,0
Cyperus alternifolius,L.,http://www.tropicos.org/Name/9901050,0,1,0,1,0,1,-1
Cyperus amabilis,Vahl,http://www.tropicos.org/Name/9901096,0,0,0,0,0,0,0
Cyperus arenarius,Retz.,http://www.tropicos.org/Name/9900328,0,0,0,0,0,0,0
Cyperus articulatus,L.,http://www.tropicos.org/Name/9901131,1,0,0,1,0,0,0
Cyperus cephalotes,Vahl,http://www.tropicos.org/Name/9906302,0,0,0,0,0,0,0
Cyperus compactus,Retz.,http://www.tropicos.org/Name/9908224,0,0,0,0,0,0,0
Cyperus compressus,L.,http://www.tropicos.org/Name/9901103,0,0,0,0,1,0,0
Cyperus difformis,L.,http://www.tropicos.org/Name/9901039,0,0,0,0,0,0,0
Cyperus digitatus,Roxb.,http://www.tropicos.org/Name/9900540,0,0,0,0,0,0,0
Cyperus dubius,Rottb.,http://www.tropicos.org/Name/9900926,0,0,0,0,0,0,0
Cyperus eragrostis,Lam.,http://www.tropicos.org/Name/9900331,0,0,0,0,0,0,0
Cyperus esculentus,L.,http://www.tropicos.org/Name/9901112,0,1,0,0,1,0,0
Cyperus flavidus,Retz.,http://www.tropicos.org/Name/9904147,0,0,0,0,0,0,0
Cyperus fuscus,L.,http://www.tropicos.org/Name/9901797,0,0,0,0,0,0,0
Cyperus gracilis,R. Br.,http://www.tropicos.org/Name/50174818,0,0,0,0,0,0,0
Cyperus haspan,L.,http://www.tropicos.org/Name/9901041,0,0,0,0,0,0,0
Cyperus imbricatus,Retz.,http://www.tropicos.org/Name/9901810,0,0,0,0,0,0,0
Cyperus involucratus,Rottb.,http://www.tropicos.org/Name/9904832,0,0,0,0,0,0,0
Cyperus iria,L.,http://www.tropicos.org/Name/9901102,0,0,0,0,0,0,0
Cyperus laevigatus,L.,http://www.tropicos.org/Name/9901090,1,0,0,0,0,0,0
Cyperus longus,L.,http://www.tropicos.org/Name/9904962,0,0,0,0,0,0,1
Cyperus odoratus,L.,http://www.tropicos.org/Name/9901831,1,1,0,1,0,0,0
Cyperus papyrus,L.,http://www.tropicos.org/Name/9902745,0,0,0,0,0,0,0
Cyperus procerus,Rottb.,http://www.tropicos.org/Name/9902682,0,0,0,0,0,0,0
Cyperus prolifer,Lam.,http://www.tropicos.org/Name/9901045,0,0,0,0,0,0,0
Cyperus reflexus,Vahl,http://www.tropicos.org/Name/9900586,0,0,0,0,0,0,0
Cyperus rotundus,L.,http://www.tropicos.org/Name/9901122,1,1,0,1,1,0,1
Cyperus sanguinolentus,Vahl,http://www.tropicos.org/Name/9905964,0,0,0,0,0,0,0
Cyperus serotinus,Rottb.,http://www.tropicos.org/Name/9901845,0,0,0,0,0,0,0
Cyperus sphacelatus,Rottb.,http://www.tropicos.org/Name/9900595,0,0,0,1,1,0,0
Cyperus tenuispica,Steud.,http://www.tropicos.org/Name/9906268,0,0,0,0,0,0,0
Cyperus virens,Michx.,http://www.tropicos.org/Name/9901862,0,0,0,0,0,0,0
Cyrtomium falcatum,(L. f.) C. Presl,http://www.tropicos.org/Name/26602768,0,0,0,0,0,0,0
Cytisus multiflorus,Sweet,http://www.tropicos.org/Name/13029878,0,1,0,0,0,0,0
Cytisus striatus,(Hill) Rothm.,http://www.tropicos.org/Name/13058355,0,0,0,0,0,0,0
Dactylis glomerata,L.,http://www.tropicos.org/Name/25509480,0,0,0,1,0,0,0
Dactyloctenium aegyptium,(L.) Willd.,http://www.tropicos.org/Name/25513580,1,0,1,1,1,1,0
Datura discolor,Bernh.,http://www.tropicos.org/Name/29602646,0,0,0,0,0,0,0
Datura ferox,L.,http://www.tropicos.org/Name/29602647,0,0,0,0,0,0,0
Datura metel,L.,http://www.tropicos.org/Name/29600006,1,1,0,0,0,1,-1
Datura stramonium,L.,http://www.tropicos.org/Name/29600007,1,1,0,0,1,1,0
Daucus carota,L.,http://www.tropicos.org/Name/1701516,0,0,0,0,0,0,0
Delairea odorata,Lem.,http://www.tropicos.org/Name/50154312,0,0,0,0,0,0,0
Delonix regia,(Bojer ex Hook.) Raf.,http://www.tropicos.org/Name/13047083,0,0,0,0,0,1,-1
Derris elliptica,(Roxb.) Benth.,http://www.tropicos.org/Name/13018222,0,0,0,0,0,0,0
Dianthus armeria,L.,http://www.tropicos.org/Name/6300067,0,0,0,0,0,0,0
Dianthus barbatus,L.,http://www.tropicos.org/Name/6300069,0,0,0,0,0,0,0
Dianthus plumarius,L.,http://www.tropicos.org/Name/6300884,0,0,0,0,0,0,0
Dichanthium annulatum,(Forssk.) Stapf,http://www.tropicos.org/Name/25509495,0,0,0,0,0,0,0
Dichondra micrantha,Urb.,http://www.tropicos.org/Name/8501566,0,0,0,0,0,0,0
Dichrostachys cinerea,(L.) Wight & Arn.,http://www.tropicos.org/Name/13050364,0,0,0,0,0,0,0
Digitalis purpurea,L.,http://www.tropicos.org/Name/29200045,0,0,0,0,0,0,0
Digitaria ciliaris,(Retz.) Koeler,http://www.tropicos.org/Name/25509499,0,1,1,1,1,0,1
Digitaria didactyla,Willd.,http://www.tropicos.org/Name/25514421,0,0,0,0,0,0,0
Digitaria eriantha,Steud.,http://www.tropicos.org/Name/25511882,0,0,0,0,0,0,0
Digitaria horizontalis,Willd.,http://www.tropicos.org/Name/25510939,1,1,1,1,0,0,1
Digitaria ischaemum,(Schreb.) Muhl.,http://www.tropicos.org/Name/25511893,0,0,0,0,0,0,0
Digitaria longiflora,(Retz.) Pers.,http://www.tropicos.org/Name/25509504,0,1,0,0,0,0,0
Digitaria nuda,Schumach.,http://www.tropicos.org/Name/25514449,0,0,0,0,0,0,0
Digitaria sanguinalis,(L.) Scop.,http://www.tropicos.org/Name/25513602,1,1,0,0,0,0,1
Digitaria setigera,Roth,http://www.tropicos.org/Name/25509508,0,0,0,0,0,0,0
Digitaria violascens,Link,http://www.tropicos.org/Name/25509511,0,1,0,0,0,0,0
Dillenia suffruticosa,(Griff.) Martelli,http://www.tropicos.org/Name/10900115,0,0,0,0,0,0,0
Diodia virginiana,L.,http://www.tropicos.org/Name/27903137,0,0,0,0,0,0,0
Dioscorea alata,L.,http://www.tropicos.org/Name/11000003,0,0,0,1,1,0,0
Dioscorea bulbifera,L.,http://www.tropicos.org/Name/11000268,0,0,0,0,0,1,-1
Dioscorea villosa,L.,http://www.tropicos.org/Name/11000317,0,0,0,0,0,0,0
Diospyros texana,Scheele,http://www.tropicos.org/Name/11500205,0,0,0,0,0,0,0
Diospyros virginiana,L.,http://www.tropicos.org/Name/11500206,0,0,0,0,0,0,0
Diplazium esculentum,(Retz.) Sw.,http://www.tropicos.org/Name/26602792,0,0,0,0,0,0,0
Diplotaxis muralis,(L.) DC.,http://www.tropicos.org/Name/4100431,0,0,0,0,0,0,0
Dipogon lignosus,(L.) Verdc.,http://www.tropicos.org/Name/13056428,0,0,0,0,0,0,0
Dittrichia viscosa,(L.) Greuter,http://www.tropicos.org/Name/2702391,0,0,0,0,0,0,0
Dodonaea viscosa,Jacq.,http://www.tropicos.org/Name/28601472,1,1,1,0,1,1,0
Dolichandra unguis-cati,(L.) L.G. Lohmann,http://www.tropicos.org/Name/100182537,0,0,0,0,0,0,0
Dorstenia contrajerva,L.,http://www.tropicos.org/Name/21300479,0,0,0,0,0,0,0
Dovyalis hebecarpa,(Gardner) Warb.,http://www.tropicos.org/Name/13201126,0,0,0,0,0,0,0
Duchesnea indica,(Andrews) Teschem.,http://www.tropicos.org/Name/27800853,0,0,0,0,0,0,0
Duranta erecta,L.,http://www.tropicos.org/Name/33701128,1,1,1,1,1,1,-1
Dypsis lutescens,(H. Wendl.) Beentje & J. Dransf.,http://www.tropicos.org/Name/50059207,0,0,0,0,0,1,-1
Dyssodia papposa,(Vent.) Hitchc.,http://www.tropicos.org/Name/2709990,0,0,0,0,0,0,0
Echinochloa colona,(L.) Link,http://www.tropicos.org/Name/25509517,1,1,1,1,1,0,1
Echinochloa crus-galli,(L.) P. Beauv.,http://www.tropicos.org/Name/25529345,0,0,0,0,0,0,0
Echinochloa frumentacea,Link,http://www.tropicos.org/Name/25514531,0,0,0,0,0,0,0
Echinochloa oryzoides,(Ard.) Fritsch,http://www.tropicos.org/Name/25509527,0,0,0,0,0,0,0
Echium plantagineum,L.,http://www.tropicos.org/Name/4001277,0,0,0,0,0,0,0
Echium vulgare,L.,http://www.tropicos.org/Name/4000024,0,0,0,0,0,0,0
Egeria densa,Planch.,http://www.tropicos.org/Name/16100033,0,0,0,0,0,0,0
Eichhornia crassipes,(Mart.) Solms,http://www.tropicos.org/Name/26100027,0,1,0,0,0,1,-1
Elaeagnus umbellata,Thunb.,http://www.tropicos.org/Name/11600010,0,0,0,0,0,0,0
