name,source,Af,Am,As,Aw,Any_A,Cfa,Cfb,Cs,Cw,Notes
Pistia stratiotes,CyprusLongList,1,1,1,1,1,1,1,1,,
Portulaca grandiflora,CyprusLongList,,1,1,1,1,1,1,1,1,
Prosopis juliflora,CyprusLongList,,1,1,1,1,,,,,
Pueraria montana,EULongList,1,,,1,1,1,1,1,1,
Pueraria montana var. lobata,CyprusLongList,1,,,1,1,1,1,1,1,
Pyracantha angustifolia,CyprusLongList,1,,,1,1,1,,1,1,
Pyracantha koidzumii,EULongList,1,,,1,1,1,,1,,
Rhaphiolepis indica,EULongList,,,,1,1,1,,1,1,
Rubus rosifolius,CyprusLongList,1,1,,1,1,1,1,,1,
Sagittaria montevidensis,EULongList,,1,,1,1,1,,1,1,
Salix nigra,EULongList,,,,1,1,1,1,1,,
Salvinia molesta,CyprusLongList,1,,,1,1,1,1,1,,
Senna obtusifolia,CyprusLongList,1,1,1,1,1,1,,,,
Sorghum halepense ,EULongList,,,,1,1,1,1,1,,Sorghum halepense 
Spartina alterniflora,EULongList,1,1,,,1,1,1,1,,
Sporobolus indicus,CyprusLongList,1,1,1,1,1,1,1,,,
Syagrus romanzoffiana,EULongList,1,,,1,1,1,,1,,
Teline monspeliensis,CyprusLongList,1,,,1,1,1,1,1,1,
Tillandsia usneoides,EULongList,1,1,1,1,1,1,,,,
Tillandsia usneoides,EULongList,1,1,1,1,1,1,,,,
Tradescantia fluminensis,CyprusLongList,,,,1,1,1,1,1,1,
Trapa natans,CyprusLongList,,1,,1,1,1,1,1,,
Tripsacum dactyloides,EULongList,1,1,,1,1,1,,1,1,
Verbesina encelioides,EULongList,1,,,1,1,1,1,1,1,
Vitex negundo,EULongList,1,,,1,1,1,1,1,1,
Sphagneticola trilobata,CyprusLongList,1,1,1,1,1,1,,1,,Sphagneticola trilobata
Zantedeschia aethiopica,CyprusLongList,1,1,,1,1,1,1,1,1,
Andropogon virginicius,EULongList,1,,,,1,1,1,1,,*Af: Hawaii only
Andropogon virginicus,EU_GB_combined,1,,,,1,1,1,1,,*Af: Hawaii only
Iris japonica,EULongList,1,,,,1,1,1,1,1,*Few af records; botanical gardens at higher alts?
Kummerowia striata,EULongList,1,,,1,1,1,,1,1,* from Hawaii
Lespedeza cuneata,CyprusLongList,1,,,1,1,1,1,,1,Lespedeza cuneata; *only tropical record is from Hawaii
Limnobium spongia,CyprusLongList,1,,,1,1,1,,1,,*not many tropical records
Lobelia cardinalis,EULongList,,,,1,1,1,1,,,*Mexico only
Microstegium vimineum,CyprusLongList,1,,,,1,1,,,,*only A Panama Isthmus
Oenothera rosea,CyprusLongList,1,,,1,1,1,,1,1,"*Uncertain, in Mexico and N S Amer."
Oxalis debilis,CyprusLongList,1,1,,1,1,1,1,1,,*Most records not in tropics
Prunus campanulata,CyprusLongList,1,,,1,1,1,,,,"*Hawaii only, possibly philippines"
Pseudosasa japonica,EULongList,1,,,,1,1,1,1,,*only 1 case in mexico
Acaena novae-zelandiae,EULongList,,,,,,1,1,1,,"UK, NZ, SE Austr., Calif."
Acer rufinerve,CyprusLongList,,,,,,1,1,1,,
Acer spicatum,EULongList,,,,,,,1,,,Mainly Northern N America
Actinidia arguta,EULongList,,,,,,1,1,1,1,
Actinidia polygama,EULongList,,,,,,1,,,,mainly Japan
Akebia quinata,CyprusLongList,,,,,,1,1,1,,
Amaranthus muricatus,CyprusLongList,,,,,,1,1,1,1,"Not in tropical regions, 1 case in Mexico"
Amaranthus powellii,CyprusLongList,,,,,,1,1,1,1,
Ambrosia artemiisifolia,CyprusLongList,,,,,,1,1,1,,primarily cf
Amelanchier spicata,CyprusLongList,,,,,,,1,,,
Amorpha fruticosa,CyprusLongList,,,,,,1,1,1,,
Ampelopsis glandulosa,EULongList,,,,,,1,1,,,
Araujia sericifera,CyprusLongList,,,,,,1,1,1,1,
Arctotheca calendula,CyprusLongList,,,,,,,1,1,,
Atriplex nummularia,CyprusLongList,,,,,,1,,1,1,
Berberis thunbergii,CyprusLongList,,,,,,1,1,,,"N Namerica, N Europe (Scand, E)"
Boltonia asteroides,EULongList,,,,,,1,1,1,,
Brachychiton acerifolius,EULongList,,,,,,1,1,1,,
Callicarpa japonica,EULongList,,,,,,1,,,,
Carpinus caroliniana,EULongList,,,,,,1,1,,1,"Mexico, but no Aw"
Carpobrotus chilensis,EULongList,,,,,,1,1,1,,
Casuarina glauca,EULongList,,,,,,1,1,1,,
Celastrus orbiculatus,CyprusLongList,,,,,,1,1,,,
Celastrus scandens,EULongList,,,,,,1,1,,,
Centranthus macrosiphon,CyprusLongList,,,,,,1,1,1,,
Clematis paniculata,EULongList,,,,,,1,1,,,
