Family,Taxa,Genus,Species,Common name  ,WRA score  ,WRA rating,WRA designation,Date  ,Filename,
Caprifoliaceae,Abelia x grandiflora,Abelia,x grandiflora,glossy abelia,-13,Low Risk,L (HPWRA),01/06/2004,Abelia x grandiflora.xls,
Malvaceae,Abelmoschus manihot,Abelmoschus,manihot,"bele, manioc hibiscus",1,Low Risk,L (HPWRA),04/12/2012,Abelmoschus manihot.pdf,
Pinaceae,Abies concolor,Abies ,concolor,"silver fir, white fir",1,Evaluate,Evaluate,16/01/2015,Abies concolor.pdf,
Pinaceae,Abies fraseri,Abies,fraseri,Fraser fir,3,Evaluate,Evaluate,22/08/2012,Abies fraseri.pdf,
Pinaceae,Abies grandis,Abies,grandis,grand fir,1,Evaluate,Evaluate,24/05/2012,Abies grandis.pdf,
Pinaceae,Abies guatemalensis,Abies,guatemalensis,"Guatemalan fir, abeto de Guatemala",-2,Low Risk,L (HPWRA),13/03/2012,Abies guatemalensis.pdf,
Pinaceae,Abies nordmanniana,Abies,nordmanniana,"Nordmann fir, Turkey fir",2,Evaluate,Evaluate,20/08/2012,Abies nordmanniana.pdf,
Pinaceae,Abies procera,Abies,procera,noble fir,1,Evaluate,Evaluate,22/05/2012,Abies procera.pdf,
Pinaceae,Abies religiosa,Abies,religiosa,"oyamel, sacred fir",-2,Low Risk,L (HPWRA),08/03/2012,Abies religiosa.pdf,
Malvaceae,Abutilon grandifolium,Abutilon ,grandifolium,hairy abutilon,10,High Risk,H (HPWRA),24/09/2014,Abutilon grandifolium.pdf,
Fabaceae,Acacia angustissima,Acacia,angustissima,"fern acacia, prairie acacia, Acaciella",9,High Risk,H (HPWRA),28/01/2016,Acacia angustissima.pdf,
Fabaceae,Acacia auriculiformis,Acacia ,auriculiformis,Darwin black wattle,13,High Risk,H (HPWRA),07/10/2002,Acacia auriculiformis.xls,
Fabaceae,Acacia cochliacantha,Acacia ,cochliacantha,boat thorn acacia,10,High Risk,H (HPWRA),07/03/2011,Acacia cochliacantha.pdf,
Fabaceae,Acacia confusa,Acacia,confusa,Formosan koa,10,High Risk,H (Hawaii),07/10/2002,Acacia confusa.xls,
Fabaceae,Acacia crassicarpa,Acacia ,crassicarpa,northern wattle,7,High Risk,H (HPWRA),30/04/2004,Acacia crassicarpa.xls,
Fabaceae,Acacia cyclops,Acacia,cyclops,coastal wattle,15,High Risk,H (HPWRA),29/08/2014,Acacia cyclops.pdf,
Fabaceae,Acacia dealbata,Acacia,dealbata,"silver wattle, mimosa",22,High Risk,H (HPWRA),15/05/2012,Acacia dealbata.pdf,
Fabaceae,Acacia glaucoptera,Acacia ,glaucoptera,"clay wattle, flat wattle",-1,Low Risk,L (HPWRA),14/07/2016,Acacia glaucoptera.pdf,
Fabaceae,Acacia holosericea,Acacia ,holosericea,candelabra wattle,4,Evaluate,Evaluate,23/11/2008,Acacia holosericea.xls,
Fabaceae,Acacia insuavis,Acacia ,insuavis,"cha-om, pak la",5,Evaluate,Evaluate,08/03/2011,Acacia insuavis.pdf,
Fabaceae,Acacia karroo,Acacia ,karroo,karroothorn,20,High Risk,H (HPWRA),23/01/2015,Acacia karroo.pdf,
Fabaceae,Acacia longifolia,Acacia ,longifolia,Sydney goldern wattle,10,High Risk,H (HPWRA),30/01/2004,Acacia longifolia.xls,
Fabaceae,Acacia mangium,Acacia ,mangium,mangium,8,High Risk,H (HPWRA),02/11/2006,Acacia mangium.xls,
Fabaceae,Acacia mearnsii,Acacia ,mearnsii,black wattle,15,High Risk,H (Hawaii),11/02/2003,Acacia mearnsii.xls,
Fabaceae,Acacia melanoxylon,Acacia ,melanoxylon,Australian blackwood,12,High Risk,H (HPWRA),07/10/2002,Acacia melanoxylon.xls,
Fabaceae,Acacia nilotica,Acacia ,nilotica,gum arabic tree,14,High Risk,H (HPWRA),11/02/2003,Acacia nilotica.xls,
Fabaceae,Acacia parramattensis,Acacia ,parramattensis,Parramatta green wattle,9,High Risk,H (HPWRA),30/04/2004,Acacia parramattensis.xls,
Fabaceae,Acacia pendula,Acacia,pendula,"weeping myall, silver leaf boree, myall acacia",8,High Risk,H (HPWRA),29/12/2017,Acacia pendula.pdf,
Fabaceae,Acacia podalyriifolia,Acacia ,podalyriifolia,Queensland silver wattle,12,High Risk,H (HPWRA),09/06/2010,Acacia podalyriifolia.pdf,
Fabaceae,Acacia pycnantha,Acacia ,pycnantha,"broadleaf wattle, golden wattle",16,High Risk,H (HPWRA),14/04/2011,Acacia pycnantha.xls,
Fabaceae,Acacia retinodes,Acacia ,retinodes,water wattle,8,High Risk,H (HPWRA),16/06/2010,Acacia retinodes.pdf,
Fabaceae,Acacia robusta,Acacia,robusta,"splendid acacia, ankle thorn",7,High Risk,H (HPWRA),09/04/2012,Acacia robusta.pdf,
Fabaceae,Acacia saligna,Acacia ,saligna,"Port Jackson wattle, golden wreath wattle",17,High Risk,H (HPWRA),22/07/2011,Acacia saligna.pdf,
Fabaceae,Acacia stenophylla,Acacia ,stenophylla,"shoestring acacia, river cooba, river myall",3,Low Risk,L (HPWRA),14/08/2017,Acacia stenophylla.pdf,
Euphorbiaceae,Acalypha godseffiana,Acalypha ,godseffiana,acalypha,-7,Low Risk,L (HPWRA),15/06/2004,Acalypha godseffiana.xls,
Euphorbiaceae,Acalypha hispida,Acalypha ,hispida,chenille plant,2,Low Risk,L (HPWRA),07/10/2002,Acalypha hispida.xls,
Euphorbiaceae,Acalypha wilkesiana,Acalypha ,wilkesiana,beefsteak plant,-2,Low Risk,L (HPWRA),07/10/2002,Acalypha wilkesiana.xls,
Myrtaceae,Acca sellowiana,Acca ,sellowiana,"guvasteen, pineapple guava",5,Evaluate,Evaluate,23/08/2011,Acca sellowiana.pdf,
Aceraceae,Acer rubrum,Acer ,rubrum,red maple,8,High Risk,H (HPWRA),21/11/2011,Acer rubrum.pdf,
Asteraceae,Achillea millefolium,Achillea ,millefolium,common yarrow,19,High Risk,H (HPWRA),02/07/2009,Achillea millefolium.pdf,
Amaranthaceae,Achyranthes aspera,Achyranthes,aspera,"burweed, chaff flower",18,High Risk,H (HPWRA),06/09/2013,Achyranthes aspera.pdf,
Asteraceae,Acmella grandiflora,Acmella ,grandiflora,acmella,0,Low Risk,L (HPWRA),21/12/2006,Acmella granidiflora.xls,
Solanaceae,Acnistus arborescens,Acnistus,arborescens,"wild tabbaco, gallinero",2,Evaluate,Evaluate,19/04/2012,Acnistus arborescens.pdf,
Arecaceae,Acoelorraphe wrightii,Acoelorraphe ,wrightii,everglades palm,2,Evaluate,Evaluate,03/12/2004,Acoelorraphe wrightii.xls,
Apocynaceae,Acokanthera schimperi,Acokanthera,schimperi,"arrow-poison-tree, common-poisonbush",6,Evaluate,Evaluate,09/10/2012,Acokanthera schimperi.pdf,
Acoraceae,Acorus calamus,Acorus,calamus,"sweet flag, sweetroot",11,High Risk,H (HPWRA),15/09/2013,Acorus calamus.pdf,
Arecaceae,Acrocomia aculeata,Acrocomia,aculeata,"coyoli palm, macaw palm, Paraguay palm",5,Low Risk,L (HPWRA),21/11/2012,Acrocomia aculeata.pdf,
Actinidiaceae,Actinidia deliciosa,Actinidia ,deliciosa,"kiwifruit, Chinese gooseberry",6.5,High Risk,H (HPWRA),21/01/2015,Actinidia deliciosa.pdf,
Actinidiaceae,Actinidia polygama,Actinidia,polygama,"cat-powder, silvervine",2,Evaluate,Evaluate,01/06/2012,Actinidia polygama.pdf,
Arecaceae,Actinorhytis calapparia,Actinorhytis,calapparia,"calappa palm, pinang penawar",1,Evaluate,Evaluate,20/11/2012,Actinorhytis calapparia.pdf,
Bombacaceae,Adansonia digitata,Adansonia ,digitata,baobab tree,-6,Low Risk,L (HPWRA),01/08/2003,Adansonia digitata.xls,
Fabaceae,Adenanthera pavonina,Adenanthera ,pavonina,peacock tree,7,High Risk,H (HPWRA),07/10/2002,Adenanthera pavonina.xls,
Passifloraceae,Adenia digitata,Adenia ,digitata,wild granadilla,2,Evaluate,Evaluate,07/03/2017,Adenia digitata.pdf,
Apocynaceae,Adenium obesum,Adenium ,obesum,desert rose,-8,Low Risk,L (HPWRA),01/06/2004,Adenium obesum.xls,
Pteridaceae,Adiantum hispidulum,Adiantum ,hispidulum,"rosy maidenhair fern, rough maidenhair",18,High Risk,H (Hawaii),06/10/2015,Adiantum hispidulum.pdf,
Pteridaceae,Adiantum raddianum,Adiantum ,raddianum,delta maidenhair,15,High Risk,H (HPWRA),22/07/2010,Adiantum raddianum.pdf,
Bromeliaceae,Aechmea blanchetiana,Aechmea ,blanchetiana,orange blanchetiana,0,Low Risk,L (HPWRA),17/05/2005,Aechmea blanchetiana.xls,
Bromeliaceae,Aechmea bracteata,Aechmea ,bracteata,"vase bromeliad, gallito",7,High Risk,H (HPWRA),11/04/2018,Aechmea bracteata.pdf,
Bromeliaceae,Aechmea fasciata,Aechmea ,fasciata,urn plant,2,Low Risk,L (HPWRA),17/05/2005,Aechmea fasicata.xls,
Rutaceae,Aegle marmelos,Aegle,marmelos,"bael, Bengal quince, golden apple",4,Evaluate,Evaluate,28/11/2012,Aegle marmelos.pdf,
Fabaceae,Aeschynomene americana,Aeschynomene ,americana,American joint vetch,12,High Risk,H (HPWRA),20/11/2002,Aeschynomene americana.xls,
Hippocastanaceae,Aesculus californica,Aesculus ,californica,California buckeye,0,Low Risk,L (HPWRA),02/07/2009,Aesculus californica.pdf,
Podocarpaceae,Afrocarpus falcatus,Afrocarpus ,falcatus,bastard yellow wood,0,Low Risk,L (HPWRA),02/11/2006,Afrocarpus falcatus.xls,
Amaryllidaceae,Agapanthus africanus,Agapanthus ,africanus,lily of the Nile,2.5,Low Risk,L (HPWRA),03/07/2008,Agapanthus africanus.xls,
Amaryllidaceae,Agapanthus praecox,Agapanthus ,praecox,common agapanthus,12,High Risk,H (HPWRA),03/07/2008,Agapanthus praecox.xls,
Araucariaceae,Agathis australis,Agathis ,australis,"kauri, New Zealand kauri",-8,Low Risk,L (HPWRA),13/04/2015,Agathis australis.pdf,
Araucariaceae,Agathis robusta,Agathis ,robusta,Queensland kauri,-5,Low Risk,L (HPWRA),07/10/2002,Agathis robusta.xls,
Asparagaceae,Agave americana,Agave ,americana,American century plant,12,High Risk,H (HPWRA),05/11/2014,Agave americana.pdf,
Asparagaceae,Agave sisalana,Agave,sisalana,"sisal, hemp plant, mescal",10,High Risk,H (HPWRA),04/09/2013,Agave sisalana.pdf,
Asteraceae,Ageratum conyzoides,Ageratum,conyzoides,"billygoat-weed, maile hohono, whiteweed",26,High Risk,H (Hawaii),18/03/2016,Ageratum conyzoides.pdf,
Meliaceae,Aglaia odorata,Aglaia ,odorata,Chinese perfume plant,-4,Low Risk,L (HPWRA),09/02/2004,Aglaia odorata.xls,
Araceae,Aglaonema commutatum,Aglaonema ,commutatum,aglaonema,1,Low Risk,L (HPWRA),01/10/2003,Aglaonema commutatum.xls,
Araceae,Aglaonema nitidum,Aglaonema ,nitidum,aglaonema,0,Low Risk,L (HPWRA),01/10/2003,Aglaonema nitidum.xls,
Myrtaceae,Agonis flexuosa,Agonis ,flexuosa,willow myrtle,7,High Risk,H (HPWRA),12/04/2011,Agonis flexuosa.xls,
Poaceae,Agrostis stolonifera,Agrostis ,stolonifera,carpet bentgrass,21,High Risk,H (HPWRA),25/02/2016,Agrostis stolonifera.pdf,
Simaroubaceae,Ailanthus altissima,Ailanthus ,altissima,tree of heaven,21,High Risk,H (HPWRA),03/07/2008,Ailanthus altissima.xls,
Simaroubaceae,Ailanthus excelsa,Ailanthus,excelsa,"Indian tree of heaven, ardu",4,Evaluate,Evaluate,24/08/2016,Ailanthus excelsa.pdf,
Arecaceae,Aiphanes horrida,Aiphanes,horrida,"ruffle palm, spine palm",7,High Risk,H (HPWRA),13/11/2012,Aiphanes horrida.pdf,
Asteraceae,Ajania pacifica,Ajania,pacifica,ajania,1,Low Risk,L (HPWRA),04/02/2013,Ajania pacifica.pdf,
Lamiaceae,Ajuga reptans,Ajuga ,reptans,common bugleweed,11,High Risk,H (HPWRA),15/07/2003,Ajuga reptans.xls,
Fabaceae,Albizia adianthifolia,Albizia,adianthifolia,"flat crown, west African albizia",9,High Risk,H (HPWRA),06/01/2012,Albizia adianthifolia.pdf,
Fabaceae,Albizia chinensis,Albizia ,chinensis,Chinese albizia,8,High Risk,H (HPWRA),03/12/2004,Albizia chinensis.xls,
Fabaceae,Albizia julibrissin,Albizia ,julibrissin,pink sirus,18,High Risk,H (HPWRA),08/09/2009,Albizia julibrissin.pdf,
Fabaceae,Albizia lebbeck,Albizia ,lebbeck,woman's-tongue tree,7,High Risk,H (HPWRA),07/10/2002,Albizia lebbeck.xls,
Fabaceae,Albizia niopoides,Albizia ,niopoides,"Caribbean albizia, guanacaste",6,Evaluate,Evaluate,17/02/2011,Albizia niopoides.pdf,
Fabaceae,Albizia procera,Albizia,procera,"white siris, black siris, false lebbeck",10,High Risk,H (HPWRA),02/02/2015,Albizia procera.pdf,
Euphorbiaceae,Aleurites moluccana,Aleurites ,moluccana,kukui,12,High Risk,H (HPWRA),02/11/2006,Aleurites moluccana.xls,
Rubiaceae,Alibertia edulis,Alibertia,edulis,"marmelada, puruí",-3,Low Risk,L (HPWRA),04/04/2016,Alibertia edulis.pdf,
Rubiaceae,Alibertia patinoi,Alibertia,patinoi,"burijo, burojó",-5,Low Risk,L (HPWRA),01/04/2016,Alibertia patinoi.pdf,
Arecaceae,Allagoptera arenaria,Allagoptera,arenaria,"seashore palm, coco da praia",2,Evaluate,Evaluate,31/12/2012,Allagoptera arenaria.pdf,
Apocynaceae,Allamanda blanchetii,Allamanda ,blanchetii,purple allamanda,4,Evaluate,Evaluate,24/10/2014,Allamanda blanchetii.pdf,
Apocynaceae,Allamanda cathartica,Allamanda ,cathartica,golden trumpet allamanda,8,High Risk,H (HPWRA),12/05/2008,Allamanda cathartica.xls,
Apocynaceae,Allamanda schottii,Allamanda ,schottii,bush allamanda,8,High Risk,H (HPWRA),01/07/2011,Allamanda schotti.pdf,
Amaryllidaceae,Allium sativum,Allium ,sativum,garlic,-2,Low Risk,L (HPWRA),12/01/2015,Allium sativum.pdf,
Casuarinaceae,Allocasuarina verticillata,Allocasuarina ,verticillata,drooping she oak,-5,Low Risk,L (HPWRA),15/07/2003,Allocasuarina verticillata.xls,
Sapindaceae,Allophylus cobbe,Allophylus,cobbe,"wild berry, titberry",9,High Risk,H (HPWRA),15/11/2011,Allophylus cobbe.pdf,
Didiereaceae,Alluaudia procera,Alluaudia ,procera,Madagascar ocotillo,-7,Low Risk,L (HPWRA),28/04/2009,Alluaudia procera.xls,
Betulaceae,Alnus nepalensis,Alnus ,nepalensis,Nepalese alder,-2,Low Risk,L (HPWRA),13/02/2004,Alnus nepalensis.xls,
Araceae,Alocasia cucullata,Alocasia ,cucullata,dwarf elephant ear,9,High Risk,H (HPWRA),27/06/2005,Alocasia cucullata.xls,
Araceae,Alocasia sanderiana,Alocasia ,sanderiana,kris plant,-2,Low Risk,L (HPWRA),06/08/2004,Alocasia sanderiana.xls,
Xanthorrhoeaceae,Aloe delphinensis,Aloe ,delphinensis,aloe,2,Low Risk,L (HPWRA),07/07/2015,Aloe delphinensis.pdf,
Xanthorrhoeaceae,Aloe hemmingii,Aloe ,hemmingii,aloe,1,Low Risk,L (HPWRA),08/07/2015,Aloe hemmingii.pdf,
Xanthorrhoeaceae,Aloe 'Hercules',Aloe ,'Hercules',Hercules aloe,-4,Low Risk,L (HPWRA),05/10/2016,Aloe 'Hercules'.pdf,
Xanthorrhoeaceae,Aloe plicatilis,Aloe,plicatilis,fan aloe,-6,Low Risk,L (HPWRA),20/09/2016,Aloe plicatilis.pdf,
Verbenaceae,Aloysia citrodora,Aloysia ,citrodora,lemon verbena,0,Low Risk,L (HPWRA),25/04/2011,Aloysia citriodora.pdf,
Rhamnaceae,Alphitonia zizyphoides,Alphitonia ,zizyphoides,toi,0,Low Risk,L (HPWRA),09/02/2004,Alphitonia zizyphoides.xls,
Zingiberaceae,Alpinia galanga,Alpinia,galanga,"false galangal, greater galanga, Thai ginger",5,Low Risk,L (HPWRA),16/06/2016,Alpinia galanga.pdf,
Zingiberaceae,Alpinia hainanensis,Alpinia,hainanensis,cao dou kou,4,Low Risk,L (HPWRA),11/07/2016,Alpinia hainanensis.pdf,
Zingiberaceae,Alpinia luteocarpa,Alpinia ,luteocarpa,"bamboo ginger, red bamboo ginger",4,Low Risk,L (HPWRA),11/10/2016,Alpinia luteocarpa.pdf,
Zingiberaceae,Alpinia purpurata,Alpinia ,purpurata,red ginger,4,Evaluate,Evaluate,20/11/2002,Alpinia purpurata.xls,
Zingiberaceae,Alpinia vittata,Alpinia,vittata,variegated ginger,3,Low Risk,L (HPWRA),16/08/2016,Alpinia vittata.pdf,
Zingiberaceae,Alpinia zerumbet,Alpinia ,zerumbet,shell ginger,10,High Risk,H (HPWRA),03/07/2008,Alpinia zerumbet.xls,
Apocynaceae,Alstonia macrophylla,Alstonia ,macrophylla,deviltree,9,High Risk,H (HPWRA),12/05/2008,Alstonia macrophylla.xls,
Apocynaceae,Alstonia scholaris,Alstonia ,scholaris,scholar tree,3,Evaluate,Evaluate,19/02/2010,Alstonia scholaris.xls,
Malvaceae,Alyogyne huegelii,Alyogyne ,huegelii,lilac hibiscus,0,Low Risk,L (HPWRA),02/07/2009,Alyogyne huegelii.xls,
Amaranthaceae,Amaranthus spinosus,Amaranthus,spinosus,"spiny amaranth, spiny pigweed",20,High Risk,H (Hawaii),16/03/2016,Amaranthus spinosus.pdf,
Amaranthaceae,Amaranthus tricolor,Amaranthus,tricolor,"Chinese amaranth, Chinese spinach",14,High Risk,H (HPWRA),11/12/2012,Amaranthus tricolor.pdf,
Asteraceae,Ambrosia psilostachya,Ambrosia ,psilostachya,western ragweed,15,High Risk,H (HPWRA),02/07/2009,Ambrosia psilostachya.xls,
Fabaceae,Amherstia nobilis,Amherstia ,nobilis,pride of Burma,-8,Low Risk,L (HPWRA),25/02/2010,Amherstia nobilis.xls,
Anacardiaceae,Anacardium occidentale,Anacardium ,occidentale,cashew tree,0,Low Risk,L (HPWRA),07/10/2002,Anacardium occidentale.xls,
Bromeliaceae,Ananas comosus,Ananas ,comosus,pineapple,3,Low Risk,L (HPWRA),09/12/2013,Ananas comosus.pdf,
Fabaceae,Andira inermis,Andira ,inermis,cabbage tree,-3,Low Risk,L (HPWRA),01/10/2003,Andira inermis.xls,
Poaceae,Andropogon bicornis,Andropogon ,bicornis,west Indian foxtail grass,18,High Risk,H (HPWRA),16/08/2010,Andropogon bicornis.pdf,
Poaceae,Andropogon glomeratus,Andropogon ,glomeratus,bushy bluestem,14,High Risk,H (HPWRA),23/11/2008,Andropogon glomeratus.xls,
Poaceae,Andropogon virginicus,Andropogon ,virginicus,"broomsedge, yellow bluestem",20,High Risk,H (Hawaii),15/12/2009,Andropogon virginicus.xls,
Ranunculaceae,Anemone hupehensis,Anemone ,hupehensis,Japanese anemone,8.5,High Risk,H (HPWRA),25/08/2009,Anemone hupehensis.pdf,
Marattiaceae,Angiopteris evecta,Angiopteris ,evecta,mule's foot fern,8,High Risk,H (HPWRA),03/07/2008,Angiopteris evecta.xls,
Haemodoraceae,Anigozanthos flavidus,Anigozanthos ,flavidus,tall kangaroo paw,12,High Risk,H (HPWRA),18/05/2011,Anigozanthos flavidus.pdf,
Annonaceae,Annona cherimola,Annona ,cherimola,cherimoya,-4,Low Risk,L (HPWRA),07/10/2002,Annona cherimola.xls,
Annonaceae,Annona glabra,Annona ,glabra,pond apple,10,High Risk,H (HPWRA),30/06/2011,Annona glabra.pdf,
Annonaceae,Annona hypoglauca,Annona ,hypoglauca,"wild soursop, majagua de aparo",2,Low Risk,L (HPWRA),07/04/2016,Annona hypoglauca.pdf,
Annonaceae,Annona macroprophyllata,Annona,macroprophyllata,"ilama, anona blanca",-2,Low Risk,L (HPWRA),07/08/2012,Annona macroprophyllata.pdf,
Annonaceae,Annona mucosa,Annona,mucosa,"wild sweetsop, anona",-3,Low Risk,L (HPWRA),23/04/2012,Annona mucosa.pdf,
Annonaceae,Annona muricata,Annona ,muricata,soursop,-3,Low Risk,L (HPWRA),07/10/2002,Annona muricata.xls,
Annonaceae,Annona neosericea,Annona,neosericea,"araticum, pinha-de-mata",2,Evaluate,Evaluate,08/04/2016,"Annona neosericea,pdf",
Annonaceae,Annona reticulata,Annona,reticulata,"ox-heart, bullock's-heart, custard-apple",11,High Risk,H (HPWRA),22/03/2012,Annona reticulata.pdf,
Annonaceae,Annona squamosa,Annona ,squamosa,sugar apple,-2,Low Risk,L (HPWRA),07/10/2002,Annona squamosa.xls,
Basellaceae,Anredera cordifolia,Anredera ,cordifolia,Madeira-vine,20,High Risk,H (Hawaii),23/08/2010,Anredera cordifolia.pdf,
Gentianaceae,Anthocleista grandiflora,Anthocleista,grandiflora,"forest fevertree, forest bigleaf",3,Evaluate,Evaluate,02/10/2012,Anthocleista grandiflora.pdf,
Poaceae,Anthoxanthum nitens,Anthoxanthum ,nitens,vanilla grass,4,Evaluate,Evaluate,18/02/2010,Anthoxanthum nitens.xls,
Poaceae,Anthoxanthum odoratum,Anthoxanthum ,odoratum,sweet vernalgrass,11,High Risk,H (HPWRA),14/08/2008,Anthoxanthum odoratum.xls,
Araceae,Anthurium hookeri,Anthurium ,hookeri,birds nest anthurium,-6,Low Risk,L (HPWRA),06/08/2004,Anthurium hookeri.xls,
Polygonaceae,Antigonon leptopus,Antigonon ,leptopus,Mexican creeper,19,High Risk,H (HPWRA),07/10/2002,Antigonon leptopus.xls,
Plantaginaceae,Antirrhinum majus,Antirrhinum ,majus,snapdragon,3,Evaluate,Evaluate,14/12/2013,Antirrhinum majus.pdf,
Meliaceae,Aphanamixis polystachya,Aphanamixis,polystachya,"shan lian, amoora, Pithraj tree",3,Evaluate,Evaluate,23/08/2012,Aphanamixis polystachya.pdf,
Cannabaceae,Aphananthe aspera,Aphananthe ,aspera,"mukutree, scabrous aphananthe",0,Low Risk,L (HPWRA),25/01/2018,Aphananthe aspera.pdf,
Acanthaceae,Aphelandra aurantiaca,Aphelandra ,aurantiaca,fiery spike,-2,Low Risk,L (HPWRA),22/01/2008,Aphelandra aurantiaca.xls,
Acanthaceae,Aphelandra sinclairiana,Aphelandra,sinclairiana,coral aphelandra,-3,Low Risk,L (HPWRA),02/02/2012,Aphelandra sinclairiana.pdf,
Aizoaceae,Aptenia cordifolia,Aptenia ,cordifolia,hearts and flowers,5,Low Risk,L (HPWRA),07/10/2002,Aptenia cordifolia.xls,
Fabaceae,Arachis glabrata,Arachis ,glabrata,perennial peanut,-1,Low Risk,L (HPWRA),20/11/2002,Arachis glabrata.xls,
Fabaceae,Arachis hypogaea,Arachis ,hypogaea,peanut,-2,Low Risk,L (HPWRA),16/11/2009,Arachis hypogaea.xls,
Fabaceae,Arachis pintoi,Arachis ,pintoi,perennial peanut,-1,Low Risk,L (HPWRA),07/10/2002,Arachis pintoi.xls,
Araucariaceae,Araucaria araucana,Araucaria,araucana,"Chilean pine, monkey puzzle tree",-1,Low Risk,L (HPWRA),05/07/2012,Araucaria araucana.pdf,
Araucariaceae,Araucaria bidwillii,Araucaria,bidwillii,bunya-pine,1,Low Risk,L (HPWRA),06/06/2012,Araucaria bidwillii.pdf,
Araucariaceae,Araucaria columnaris,Araucaria ,columnaris,coral reef araucaria,-5,Low Risk,L (HPWRA),07/10/2002,Araucaria columnaris.xls,
Araucariaceae,Araucaria heterophylla,Araucaria ,heterophylla,Norfolk Island pine,-5,Low Risk,L (HPWRA),01/10/2003,Araucaria heterophylla.xls,
Apocynaceae,Araujia sericifera,Araujia,sericifera,"cruel plant, bladder flower",24,High Risk,H (HPWRA),11/04/2012,Araujia sericifera.pdf,
Fabaceae,Archidendron clypearia,Archidendron ,clypearia,archidendron,3,Evaluate,Evaluate,30/03/2010,Archidendron clypearia.pdf,
Arecaceae,Archontophoenix alexandrae,Archontophoenix ,alexandrae,Alexandra palm,8,High Risk,H (HPWRA),22/01/2008,Archontophoenix alexandrae.xls,
Arecaceae,Archontophoenix cunninghamiana,Archontophoenix ,cunninghamiana,king palm,6,Evaluate,Evaluate,22/01/2008,Archontophoenix cunninghamiana.xls,
Arecaceae,Archontophoenix purpurea,Archontophoenix,purpurea,"purple king palm, Mount Lewis king palm",1,Evaluate,Evaluate,28/12/2012,Archontophoenix purpurea.pdf,
Arecaceae,Archontophoenix tuckeri,Archontophoenix ,tuckeri,peach creek palm,4,Evaluate,Evaluate,22/01/2008,Archontophoenix tuckeri.xls,
Asteraceae,Arctotheca calendula,Arctotheca  ,calendula,capeweed fertile,24,High Risk,H (HPWRA),02/05/2011,Arctotheca calendula.xls,
Asteraceae,Arctotheca calendula,Arctotheca  ,calendula,capeweed sterile,8,High Risk,H (HPWRA),02/05/2011,Arctotheca calendula sterile.pdf,
Myrsinaceae,Ardisia crenata,Ardisia ,crenata,coral ardisia,10,High Risk,H (HPWRA),03/07/2008,Ardisia crenata.xls,
Myrsinaceae,Ardisia elliptica,Ardisia ,elliptica,shoebutton ardisia,11,High Risk,H (Hawaii),07/10/2002,Ardisia elliptica.xls,
Myrsinaceae,Ardisia polysticta,Ardisia ,polysticta,niu zi guo,8,High Risk,H (HPWRA),03/03/2011,Ardisia polysticta.pdf,
Myrsinaceae,Ardisia sieboldii,Ardisia,sieboldii,duo zhi zi jin niu,7,High Risk,H (HPWRA),30/05/2012,Ardisia sieboldii.pdf,
Myrsinaceae,Ardisia solanacea,Ardisia,solanacea,China shrub,6,High Risk,H (HPWRA),23/06/2013,Ardisia solanacea.pdf,
Arecaceae,Areca catechu,Areca ,catechu,betel nut palm,-4,Low Risk,L (HPWRA),07/10/2002,Areca catechu.xls,
Arecaceae,Areca triandra,Areca ,triandra,Australian areca palm,5,Evaluate,Evaluate,01/09/2010,Areca triandra.pdf,
Arecaceae,Areca vestiaria,Areca,vestiaria,"orange crownshaft palm, pinang merah",-2,Low Risk,L (HPWRA),19/12/2012,Areca vestiaria.pdf,
Arecaceae,Arenga pinnata,Arenga ,pinnata,sugar palm,7,High Risk,H (HPWRA),28/05/2010,Arenga pinnata.pdf,
Arecaceae,Arenga tremula,Arenga,tremula,Philippines dwarf sugar palm,1,Evaluate,Evaluate,04/08/2012,Arenga tremula.pdf,
Arecaceae,Arenga undulatifolia,Arenga ,undulatifolia,aren gelora,2,Evaluate,Evaluate,14/08/2014,Arenga undulatifolia.pdf,
Papaveraceae,Argemone mexicana,Argemone,mexicana,Mexican poppy,22,High Risk,H (HPWRA),16/05/2012,Argemone mexicana.pdf,
Convolvulaceae,Argyreia nervosa,Argyreia ,nervosa,Hawaiian baby woodrose,1,Low Risk,L (HPWRA),12/08/2004,Argyreia nervosa.xls,
Aristolochiaceae,Aristolochia ringens,Aristolochia ,ringens,gaping dutchman's pipe,4,Evaluate,Evaluate,12/05/2008,Aristolochia ringens.xls,
Aristolochiaceae,Aristolochia trilobata,Aristolochia ,trilobata,Dutchman's pipe,3,Evaluate,Evaluate,02/03/2017,Aristolochia trilobata.pdf,
Brassicaceae,Armoracia rusticana,Armoracia ,rusticana,horseradish,1,Evaluate,Evaluate,02/09/2014,Armoracia rusticana.pdf,
Asteraceae,Arnica montana,Arnica ,montana,"European arnica, leopardsbane",-1.5,Low Risk,L (HPWRA),17/07/2014,Arnica montana.pdf,
Annonaceae,Artabotrys hexapetalus,Artabotrys ,hexapetalus,climbing ylang-ylang,-1,Low Risk,L (HPWRA),07/10/2002,Artabotrys hexapetalus.xls,
Melastomataceae,Arthrostemma ciliatum,Arthrostemma ,ciliatum,pinkfringe,7,High Risk,H (Hawaii),10/11/2009,Arthrostemma ciliatum.xls,
Moraceae,Artocarpus altilis,Artocarpus ,altilis,breadfruit,-12,Low Risk,L (HPWRA),07/10/2002,Artocarpus altilis.xls,
