Family,Taxa,Genus,Species,Common name  ,WRA score  ,WRA rating,WRA designation,Date  ,Filename,
Calophyllaceae,Mesua ferrea,Mesua,ferrea,"Ceylon iron wood, Indian rose chestnut",-1,Low Risk,L (HPWRA),01/02/2013,Mesua ferrea.pdf,
Myrtaceae,Metrosideros collina,Metrosideros ,collina,vunga,3,Evaluate,Evaluate,03/10/2011,Metrosideros collina.pdf,
Myrtaceae,Metrosideros excelsa,Metrosideros ,excelsa,New Zealand christmas tree,6.5,High Risk,H (HPWRA),15/03/2011,Metrosideros excelsa.pdf,
Myrtaceae,Metrosideros kermadecensis,Metrosideros ,kermadecensis,Kermadec pohutukawa,3,Evaluate,Evaluate,22/01/2008,Metrosideros kermadecensis.xls,
Arecaceae,Metroxylon amicarum,Metroxylon ,amicarum,Caroline ivory nut palm,0,Low Risk,L (HPWRA),23/01/2004,Metroxylon amicarnum.xls,
Magnoliaceae,Michelia champaca,Michelia ,champaca,orange champaca,-5,Low Risk,L (HPWRA),23/01/2004,Michelia champaca.xls,
Magnoliaceae,Michelia figo,Michelia ,figo,banana shrub,-5,Low Risk,L (HPWRA),30/01/2004,Michelia figo.xls,
Magnoliaceae,Michelia x alba,Michelia  ,x alba,white champaca,-6,Low Risk,L (HPWRA),30/01/2004,Michelia x alba.xls,
Melastomataceae,Miconia calvescens,Miconia ,calvescens,miconia,14,High Risk,H (Hawaii),20/08/2003,Miconia calvescens.xls,
Polypodiaceae,Microsorum musifolium,Microsorum ,musifolium,crocodile fern,5,Low Risk,L (HPWRA),02/11/2006,Microsoreum musifolium.xls,
Asteraceae,Mikania micrantha,Mikania ,micrantha,mile-a-minute weed,25,High Risk,H (HPWRA),19/10/2009,Mikania micrantha.xls,
Fabaceae,Millettia pinnata,Millettia,pinnata,"pongamia tree, Indian beech",7,High Risk,H (HPWRA),22/06/2017,Millettia pinnata.pdf,
Fabaceae,Mimosa caesalpiniifolia,Mimosa ,caesalpiniifolia,sabiá,7,High Risk,H (HPWRA),28/11/2017,Mimosa caesalpiniifolia.pdf,
Fabaceae,Mimosa diplotricha,Mimosa ,diplotricha,giant sensitive plant,24,High Risk,H (HPWRA),13/02/2004,Mimosa diplotricha.xls,
Fabaceae,Mimosa pigra,Mimosa ,pigra,catclaw mimosa,25,High Risk,H (HPWRA),13/02/2004,Mimosa pigra.xls,
Fabaceae,Mimosa pudica,Mimosa,pudica,sensitive plant,18,High Risk,H (Hawaii),26/12/2017,Mimosa pudica.pdf,
Fabaceae,Mimosa strigillosa,Mimosa ,strigillosa,"powderpuff, sunshine mimosa",9,High Risk,H (HPWRA),28/04/2017,Mimosa strigillosa.pdf,
Fabaceae,Mimosa tenuiflora,Mimosa ,tenuiflora,jurema,7,High Risk,H (HPWRA),24/01/2008,Mimosa tenuiflora.xls,
Sapotaceae,Mimusops caffra,Mimusops ,caffra,coastal red milkwood,2,Evaluate,Evaluate,24/01/2013,Mimusops caffra.pdf,
Sapotaceae,Mimusops elengi,Mimusops ,elengi,"bullet wood, medlar, Spanish cherry",0,Low Risk,L (HPWRA),22/10/2014,Mimusops elengi.pdf,
Olacaceae,Minquartia guianensis,Minquartia ,guianensis,black manwood,-1,Low Risk,L (HPWRA),17/09/2009,Minquartia guianensis.xls,
Nyctaginaceae,Mirabilis jalapa,Mirabilis ,jalapa,four-o'clock,15,High Risk,H (HPWRA),22/06/2011,Mirabilis jalapa.pdf,
Poaceae,Miscanthus floridulus,Miscanthus ,floridulus,giant miscanthus,18,High Risk,H (HPWRA),12/08/2011,Miscanthus floridulus.pdf,
Rubiaceae,Mitragyna speciosa,Mitragyna ,speciosa,kratom,0,Low Risk,L (HPWRA),03/01/2011,Mitragyna speciosa.pdf,
Hypoxidaceae,Molineria capitulata,Molineria ,capitulata,"palm grass, weevil lily",6,Evaluate,Evaluate,23/10/2015,Molineria capitulata.pdf,
Hypoxidaceae,Molineria latifolia,Molineria,latifolia,"curculigo, lemboh, palm grass, weevil lily",1,Low Risk,L (HPWRA),14/01/2016,Molineria latifolia.pdf,
Molluginaceae,Mollugo cerviana,Mollugo,cerviana,"slender carpetweed, threadstem carpetweed",9,High Risk,H (HPWRA),14/01/2016,Mollugo cerviana.pdf,
Cucurbitaceae,Momordica charantia,Momordica ,charantia,bitter melon,13,High Risk,H (Hawaii),07/07/2010,Momordica charantia.pdf,
Cucurbitaceae,Momordica cochinchinensis,Momordica,cochinchinensis,"gac, giant spine gourd, spiny bitter-cucumber",4,Evaluate,Evaluate,07/03/2016,Momordica cochinchinensis.pdf,
Annonaceae,Monodora junodii,Monodora ,junodii,green apple,-5,Low Risk,L (HPWRA),17/05/2011,Monodora junodii.xls,
Araceae,Monstera deliciosa,Monstera ,deliciosa,swiss-cheese plant,1,Low Risk,L (HPWRA),07/10/2002,Monstera deliciosa.xls,
Asteraceae,Montanoa hibiscifolia,Montanoa ,hibiscifolia,treedaisy,13,High Risk,H (HPWRA),07/10/2002,Montanoa hibiscifolia.xls,
Myricaceae,Morella cerifera,Morella ,cerifera,wax myrtle,19,High Risk,H (Hawaii),01/06/2010,Morella cerifera.pdf,
Myricaceae,Morella faya,Morella ,faya,firetree,17,High Risk,H (Hawaii),17/11/2011,Morella faya.pdf,
Rubiaceae,Morinda citrifolia,Morinda ,citrifolia,noni,10,High Risk,H (HPWRA),02/11/2006,Morinda citrifolia.xls,
Moringaceae,Moringa drouhardii,Moringa ,drouhardii,bottle tree,-3,Low Risk,L (HPWRA),14/05/2015,Moringa drouhardii.pdf,
Moringaceae,Moringa hildebrandtii,Moringa ,hildebrandtii,"azomaroseranana, Hildebrandt's moringa",-2,Low Risk,L (HPWRA),14/05/2015,Moringa hildebrandtii.pdf,
