cn_number,reporter,partner_num,partner,product,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Reporter Code,Partner Code,Product Code,source
1,Anguilla,1,North America,Agricultural  &  Related Products Total,301,83,31,94,169,0,218,39,104,0,0,0,0,0,0,0,0,0,AV,R05,M2,GATS
1,Anguilla,1.1,Canada,Agricultural  &  Related Products Total,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,AV,CA,M2,GATS
1,Anguilla,1.2,Mexico,Agricultural  &  Related Products Total,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,AV,MX,M2,GATS
1,Anguilla,1.3,United States,Agricultural  &  Related Products Total,301,83,31,94,158,0,216,38,104,0,0,0,0,0,0,0,0,0,AV,US,M2,GATS
1,Anguilla,2,Caribbean,Agricultural  &  Related Products Total,11,99,6,16,4,0,"5,173",186,17,0,0,0,0,0,0,0,0,0,AV,R10,M2,GATS
1,Anguilla,2.1,St. Kitts and Nevis,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AV,A1,M2,GATS
1,Anguilla,2.2,Antigua and Barbuda,Agricultural  &  Related Products Total,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,AC,M2,GATS
1,Anguilla,2.3,Barbados,Agricultural  &  Related Products Total,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,BB,M2,GATS
1,Anguilla,2.4,Dominica,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,DO,M2,GATS
1,Anguilla,2.5,Dominican Republic,Agricultural  &  Related Products Total,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,DR,M2,GATS
1,Anguilla,2.6,Jamaica,Agricultural  &  Related Products Total,0,0,0,0,0,0,19,11,0,0,0,0,0,0,0,0,0,0,AV,JM,M2,GATS
1,Anguilla,2.7,Montserrat,Agricultural  &  Related Products Total,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,MH,M2,GATS
1,Anguilla,2.8,Netherlands Antilles,Agricultural  &  Related Products Total,5,34,0,1,1,0,"5,154",173,5,0,0,0,0,0,0,0,0,0,AV,NT,M2,GATS
1,Anguilla,2.9,Saint Lucia,Agricultural  &  Related Products Total,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,ST,M2,GATS
1,Anguilla,2.1,Trinidad and Tobago,Agricultural  &  Related Products Total,0,63,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,TD,M2,GATS
1,Anguilla,2.11,Saint Vincent and the Grenadines,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,VC,M2,GATS
1,Anguilla,2.12,British Virgin Islands,Agricultural  &  Related Products Total,0,0,0,0,3,0,0,1,11,0,0,0,0,0,0,0,0,0,AV,VI,M2,GATS
